schedule,t,reward,gap,n_cal,n_mon,cum_aud,xi_sq,cert,cert_hp
adaptive,1,0.8890411483753936,0.034385700144310416,8,25,33,0.02645376763772848,0.1956503025612434,21.951482297529093
adaptive,2,0.8890205333255303,0.03457787081683217,8,25,66,0.03183873905296706,0.15365936235493213,21.909491357322782
adaptive,3,0.8890207654203033,0.03457697145882388,8,25,99,0.007721860537511498,0.17613124908621985,21.931963244054067
adaptive,4,0.8892082570525401,0.034164233419597845,8,25,132,0.008502124797145114,0.06874790876692656,21.824579903734776
adaptive,5,0.8893994705054576,0.03384486539152509,8,25,165,0.017604382945674592,0.14177214167248148,21.897604136640332
adaptive,6,0.8893751402577206,0.034049266212705986,8,25,198,0.0363723179971631,0.1039799734481934,21.859811968416043
adaptive,7,0.8894070643365527,0.03400913260535732,8,25,231,0.04645840925500717,0.15855374392287028,21.91438573889072
adaptive,8,0.8896341420509181,0.033501950966646876,8,25,264,0.06382773228907089,0.17162526235649067,21.92745725732434
adaptive,9,0.8897544444246744,0.033266560113242694,8,25,297,0.03484615446503545,0.22844796186373284,21.984279956831582
adaptive,10,0.8897202710666829,0.033492054378004066,8,25,330,0.03880127139288765,0.15590608313961485,21.911738078107465
adaptive,11,0.8900373425934192,0.03285012877970783,8,25,363,0.02809772571316535,0.1618415736726055,21.917673568640456
adaptive,12,0.8900555152585949,0.032830601753453426,8,25,396,0.022762667622978846,0.2419666078901392,21.997798602857987
adaptive,13,0.8900527697774687,0.0328325980363684,8,25,429,0.007744528537546557,0.14494025602198932,21.90077225098984
adaptive,14,0.8901085660723947,0.03283024314254801,8,25,462,0.09649065554865356,0.24106954165805006,21.9969015366259
adaptive,15,0.8902037971822392,0.03281461471360969,8,25,495,0.065025,0.1268292632294182,21.882661258197267
adaptive,16,0.8902893843870743,0.03260110122632187,8,25,528,0.08041947468815125,0.2670596307440192,22.022891625711868
adaptive,17,0.8902855387865214,0.032606925292117395,8,25,561,0.011981868143371358,0.29734210394994137,22.05317409891779
adaptive,18,0.8902945685313302,0.03259903226821714,8,25,594,0.013642046423044717,0.12129681516040904,21.87712881012826
adaptive,19,0.8903299781274505,0.032549149779860675,8,25,627,0.025420232450334725,0.18466677643310087,21.94049877140095
adaptive,20,0.890615081142402,0.031936315066589116,8,25,660,0.053530579719568386,0.2569974465409749,22.012829441508824
adaptive,21,0.8906099698428913,0.03194481253043635,8,25,693,0.010991513050798773,0.05930802872204634,21.815140023689896
adaptive,22,0.8907996102691852,0.031642143492145,8,25,726,0.014871863171703683,0.1682861506408685,21.924118145608716
adaptive,23,0.8908840794233548,0.031798153321273115,8,25,759,0.08702500000000002,0.2009985216944721,21.956830516662322
adaptive,24,0.8909635459381601,0.03162884553410483,8,25,792,0.009657991989742301,0.20855093038442948,21.96438292535228
adaptive,25,0.8911939613224793,0.031275932155836794,8,25,825,0.09513964316485765,0.17874883093420596,21.934580825902056
adaptive,26,0.891378851393037,0.030902824152763353,8,25,858,0.024484554302912517,0.07100755846043554,21.826839553428286
adaptive,27,0.891391799888892,0.03133294843353873,8,25,891,0.08927166135867762,0.22370802136086687,21.979540016328716
adaptive,28,0.8915413905490296,0.031019866382709926,8,25,924,0.065025,0.1587394889357146,21.914571483903565
adaptive,29,0.8916356841286059,0.030841846806422435,8,25,957,0.035428125790574555,0.12108413337077475,21.876916128338625
