schedule,t,reward,gap,n_cal,n_mon,cum_aud,xi_sq,cert,cert_hp
high,1,0.8891836853966568,0.03426559134957008,250,25,275,0.014027519311368947,0.10013336217453583,21.855965357142384
high,2,0.8893266316302098,0.03400753887392638,250,25,550,0.0021056182851600046,0.18331427778814033,21.93914627275599
high,3,0.889437668759249,0.03378209780788344,250,25,825,0.0059454590188506105,0.16309087008648723,21.918922865054338
high,4,0.8895327855532378,0.03361179717992069,250,25,1100,0.008321232161572654,0.16575748770373763,21.921589482671585
high,5,0.889611779288931,0.03345895886837069,250,25,1375,0.019224856289484553,0.1759903877101674,21.931822382678018
high,6,0.889713270918352,0.0332577041113119,250,25,1650,0.004159406410011526,0.11034118089707969,21.86617317586493
high,7,0.8898303856672676,0.03304455981612342,250,25,1925,0.007913318321587991,0.21397499971728653,21.969806994685136
high,8,0.889922082885503,0.03290358495533441,250,25,2200,0.012356450691071566,0.09161572298381995,21.84744771795167
high,9,0.8900594978031485,0.03265570181097188,250,25,2475,0.011578494204402698,0.105398516700151,21.861230511668
high,10,0.8901627637323137,0.03246166063845157,250,25,2750,0.02729080479523998,0.19008212161260785,21.945914116580457
high,11,0.8903072241948663,0.03221779596106267,250,25,3025,0.00484025843043047,0.14128597196567444,21.897117966933525
high,12,0.8904255008220574,0.03207281431027975,250,25,3300,0.026940194036715673,0.16658780470586626,21.922419799673715
high,13,0.8905248695837291,0.03191387144647695,250,25,3575,0.009270090278700526,0.15341584036951336,21.90924783533736
high,14,0.8906539954156383,0.03165272382298223,250,25,3850,0.007133374898350602,0.19723334716296168,21.95306534213081
high,15,0.8907353907879022,0.03151083229271834,250,25,4125,0.007533868552899407,0.1729799918589888,21.928811986826837
high,16,0.8908678738199671,0.031306817065663184,250,25,4400,0.010099736132593976,0.11394617425904598,21.869778169226894
high,17,0.891000686207784,0.031071691975341875,250,25,4675,0.0059162975637046195,0.13260833994914697,21.888440334916996
high,18,0.8910912270491462,0.030922580696783997,250,25,4950,0.009354913472086489,0.23189665345718888,21.987728648425037
high,19,0.8911852685198416,0.030763055153375518,250,25,5225,0.03490112272918783,0.28176148871333834,22.03759348368119
high,20,0.8912970537817104,0.030575233853895045,250,25,5500,0.007971256326860687,0.16596279130421793,21.921794786272066
high,21,0.8913818915490832,0.03043214316363152,250,25,5775,0.011112479840281993,0.04976653061590907,21.805598525583758
high,22,0.8914835068792409,0.030262189331171974,250,25,6050,0.007397797479453257,0.22002100027491586,21.975852995242764
high,23,0.8915961570360014,0.03003886725400995,250,25,6325,0.010335391424490888,0.17453559185763334,21.930367586825483
high,24,0.8916946252836634,0.029859586508714897,250,25,6600,0.010193195033093166,0.13234638422123798,21.888178379189085
high,25,0.8917724844655576,0.02972616370671899,250,25,6875,0.00623832390686717,0.21176523301916134,21.96759722798701
high,26,0.8918899368607207,0.029514345606070913,250,25,7150,0.012806498894150243,0.08601293923917804,21.841844934207028
high,27,0.891979938072365,0.02938396001305532,250,25,7425,0.02127181723077464,0.12809418327321342,21.88392617824106
high,28,0.8921499062735658,0.02908529327883358,250,25,7700,0.009729525877494673,0.12559018971360716,21.881422184681455
high,29,0.8922469786662452,0.028878631389124387,250,25,7975,0.003948204350416994,0.09686107692586376,21.852693071893714
high,30,0.8924102555755085,0.028590000174937735,250,25,8250,0.015378733893123189,0.12999593008702728,21.885827925054876
high,31,0.8924775083516563,0.028447289426551503,250,25,8525,0.04114027835737739,0.3050148661655948,22.060846861133445
high,32,0.8925760401051333,0.028274882453684813,250,25,8800,0.019938758486780676,0.20002734666402705,21.955859341631875
high,33,0.8926766428026459,0.02812237702687781,250,25,9075,0.007047460726985216,0.20346902880796336,21.95930102377581
high,34,0.892796585039934,0.02787687012614437,250,25,9350,0.033358111238856944,0.231518051955236,21.987350046923083
high,35,0.8929157567778235,0.027707992199686005,250,25,9625,0.008062271517293227,0.19736316162972567,21.953195156597573
high,36,0.8930148477482327,0.027513272566002334,250,25,9900,0.004815433444207156,0.14703385147025452,21.902865846438104
high,37,0.8931138529906117,0.027379443516232893,250,25,10175,0.01545484956728135,0.18666984668310127,21.94250184165095
high,38,0.89322216063624,0.027187091032660704,250,25,10450,0.0072751454220421705,0.14753738454388252,21.90336937951173
high,39,0.8933451748551677,0.026985259119504557,250,25,10725,0.009015487306027354,0.1826778775429188,21.938509872510767
high,40,0.8934466056149928,0.02679033548337839,250,25,11000,0.023093076012709265,0.1795691568939747,21.935401151861825
high,41,0.8935918585424378,0.026528946492149208,250,25,11275,0.007846667627123927,0.187775932195715,21.943607927163566
high,42,0.8936885887869188,0.026393179215086326,250,25,11550,0.00927610739848139,0.20161065747539192,21.95744265244324
high,43,0.8938043800123743,0.026205746960135,250,25,11825,0.014805623739914701,0.1695248734496022,21.925356868417452
high,44,0.8938827032205331,0.02607344582139559,250,25,12100,0.06212204132913923,0.2715496914497183,22.027381686417566
high,45,0.8940073746824586,0.025885232942166048,250,25,12375,0.010257439617581658,0.16490758850666332,21.920739583474514
high,46,0.8941076863007122,0.02570801381329324,250,25,12650,0.01705751631669345,0.09013514330698973,21.84596713827484
high,47,0.8942401247475376,0.02551728967870892,250,25,12925,0.04877240210333029,0.31241776670602944,22.06824976167388
high,48,0.8943720146551135,0.0253061284932814,250,25,13200,0.008083377945487642,0.20911311329236262,21.964945108260213
high,49,0.8944654117929782,0.025192126164145012,250,25,13475,0.017938470325587704,0.2590830061923516,22.0149150011602
high,50,0.8945801976819416,0.02501195163908243,250,25,13750,0.00782434076677606,0.17843718293851538,21.934269177906366
high,51,0.894687684888396,0.024823157157062625,250,25,14025,0.03158497534451898,0.0642147269207405,21.82004672188859
high,52,0.8947884771091348,0.024685390542702468,250,25,14300,0.009147966120602402,0.3015332634038291,22.05736525837168
high,53,0.8949187946387702,0.024472821273833323,250,25,14575,0.009039637183246463,0.2083174009903242,21.964149395958174
high,54,0.8950483105817184,0.024260240604986327,250,25,14850,0.006103345242510642,0.0858998281451849,21.841731823113033
high,55,0.8951268659309775,0.024109987946300926,250,25,15125,0.007740701994519462,0.19857393353430214,21.95440592850215
high,56,0.8951905655816546,0.023992872477449412,250,25,15400,0.010718998251189443,0.2221107093694683,21.977942704337316
high,57,0.895250269039265,0.02388450393800068,250,25,15675,0.010941583694917743,0.26916761287022245,22.024999607838073
high,58,0.8953753388513572,0.023675109957918994,250,25,15950,0.02369950342365695,0.07515475466342943,21.83098674963128
high,59,0.8954647394364297,0.023505925094687075,250,25,16225,0.004602516380270448,0.20325530308697423,21.959087298054822
high,60,0.8955647656011052,0.023338284259759146,250,25,16500,0.015791860060866254,0.13259168850590358,21.888423683473754
high,61,0.8956887393805758,0.023149084087165428,250,25,16775,0.00911789543148773,0.1873719917570303,21.94320398672488
high,62,0.8957920261564101,0.02298035284552813,250,25,17050,0.012813239703744258,0.14262840028143242,21.89846039524928
high,63,0.8959263693673121,0.022799227462965033,250,25,17325,0.008044142592767568,0.12437052552626712,21.880202520494116
high,64,0.895995481179353,0.02271705053938211,250,25,17600,0.014531783367604103,0.14618922817977587,21.902021223147624
