schedule,t,reward,gap,beta_true,beta_hat,cert,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
exp3,1,0.6357968990626149,0.059910182615099505,0.0,0.3859400028001069,3.7655208134548097,25.52135280842266,8,25,33,4.273285464433366,1,0.3333333333333333,0.04058628371546692
exp3,2,0.6284560053155406,0.06846811094613114,0.0,0.46380894809269885,2.0495601746261465,23.805392169593997,8,25,66,3.7057519420753766,1,0.33295574012654594,0.03604601553660301
exp3,3,0.6306922228879028,0.06591688299398268,0.0,-0.05696241273583411,3.7627985883314907,25.51863058329934,250,25,341,2.982716599630839,2,0.3336899024378463,0.22386173279704674
exp3,4,0.6244322461961963,0.07296588734420406,0.0,0.3500824816823408,3.665323362091223,25.42115535705907,8,25,374,3.084552314956148,1,0.33365787113872014,0.031076418519649186
exp3,5,0.617732336383724,0.08145009969026284,0.0,0.3500824816823408,3.471642674563036,25.227474669530885,0,25,399,3.3839635391726217,0,0.3348762786416291,0.02707170831338097
exp3,6,0.6105508013860015,0.09027279193206916,0.0,0.3500824816823408,5.259906080058662,27.015738075026512,0,25,424,6.597103534696554,0,0.3346249489169074,0.05277682827757243
exp3,7,0.6021573312546759,0.1010493520805793,0.0,0.3500824816823408,3.497466177700227,25.253298172668075,0,25,449,3.7603668970277595,0,0.33413489102429267,0.030082935176222077
exp3,8,0.6007325026537816,0.10317821334703314,0.0,0.0952359943194107,3.7064305942815046,25.462262589249352,8,25,482,3.0976871050292565,1,0.33388064430608433,0.031181496840234052
exp3,9,0.598739815895448,0.10627640100560187,0.0,0.0952359943194107,4.0308312999769145,25.786663294944763,0,25,507,2.736396715516976,0,0.3340006213153444,0.021891173724135807
exp3,10,0.6041598038658287,0.09971040254159891,0.0,-0.11966872309331379,5.445282615586874,27.201114610554722,8,25,540,6.064224168968992,1,0.33369269279792163,0.054913793351751936
exp3,11,0.6052346245006185,0.09817759045708396,0.0,0.007656979336674731,2.09598299286865,23.851814987836498,8,25,573,0.7211410503934635,1,0.3331821196860847,0.012169128403147707
exp3,12,0.6061565704765074,0.09691677961264067,0.0,0.016083745933445453,1.8358020512706712,23.59163404623852,8,25,606,1.213969893898408,1,0.3330688565833335,0.016111759151187267
exp3,13,0.6087921375881586,0.09389639515876946,0.0,-0.009886210376246696,3.765263617413879,25.52109561238173,250,25,881,2.518995111064974,2,0.3328963090990579,0.2201519608885198
