schedule,t,reward,gap,beta_true,beta_hat,cert,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
high,1,0.6404979636972636,0.05490938899543818,0.0,0.11302051331818802,1.7599356855560653,23.515767680523915,250,25,275,1.1259352956580375,,,
high,2,0.6405314881440757,0.05469955311836161,0.0,0.05549525168559938,3.119588258328127,24.875420253295978,250,25,550,3.2216831011100737,,,
high,3,0.6416025910466581,0.053445400062071435,0.0,0.0022850897690196276,3.540358649667901,25.29619064463575,250,25,825,3.0026031213517115,,,
high,4,0.6427733948010466,0.05266056300492217,0.0,-0.02914898443875862,3.52457024894529,25.280402243913137,250,25,1100,2.870945012569727,,,
high,5,0.6441754514053382,0.050966592130694766,0.0,-0.003103333146864978,2.0968543052750603,23.852686300242908,250,25,1375,1.272648540026209,,,
high,6,0.6456248389405091,0.049303027093269614,0.0,-0.04750311886967249,2.0996076356788356,23.855439630646686,250,25,1650,1.2478922800093313,,,
high,7,0.6474679438384516,0.04714937949881837,0.0,-0.08068023029510138,3.338428070188454,25.094260065156302,250,25,1925,2.667934432957299,,,
high,8,0.6490941109441112,0.045404016681532156,0.0,-0.07093580229110445,3.885717054632983,25.641549049600833,250,25,2200,2.945402120787824,,,
high,9,0.649235817452886,0.04516883936332383,0.0,0.04815383396932329,2.0205882945643525,23.7764202895322,250,25,2475,1.2075437362320167,,,
high,10,0.6502293336576496,0.044276479323585693,0.0,-0.02337827387019291,4.969913615966355,26.725745610934204,250,25,2750,7.403325840926096,,,
high,11,0.6508263535841431,0.04356940798608133,0.0,0.023146958529618896,3.210648290502689,24.96648028547054,250,25,3025,3.3329539986158654,,,
high,12,0.6519106114683831,0.042319454931971645,0.0,-0.07767876054676472,4.889723421840915,26.645555416808765,250,25,3300,6.6574728905588145,,,
high,13,0.6526975759813269,0.04182596511199865,0.0,0.0370007377166881,2.19569778050157,23.951529775469417,250,25,3575,0.9194058918224256,,,
high,14,0.6530851773936012,0.04147896568761922,0.0,0.01595791806025938,3.7861151438434164,25.541947138811267,250,25,3850,2.887941319435813,,,
high,15,0.6540620967074057,0.040244139705802096,0.0,-0.019994506121357062,3.982135543458855,25.737967538426705,250,25,4125,3.009200206238798,,,
high,16,0.6543952504045137,0.03967553527317835,0.0,0.048946103503503445,3.575816218244931,25.33164821321278,250,25,4400,3.2584900651294215,,,
high,17,0.6552513339071397,0.03839869361862025,0.0,-0.003736267191451315,1.8581219929586852,23.613953987926536,250,25,4675,1.1553773480082292,,,
high,18,0.65583341648909,0.03774924141669278,0.0,-0.03942814264441444,2.345318123497318,24.101150118465167,250,25,4950,0.8481598419621573,,,
high,19,0.6564497323504389,0.036761481299387055,0.0,-0.05129343243611828,3.525596037191541,25.28142803215939,250,25,5225,3.425896498263963,,,
high,20,0.657013712187433,0.03617275769684958,0.0,-0.01139306527111976,3.3684168082447954,25.124248803212645,250,25,5500,3.687600889257941,,,
high,21,0.6573164943396077,0.036079965743243125,0.0,0.037344894886721734,1.7591919455998533,23.5150239405677,250,25,5775,1.2935348479469484,,,
high,22,0.6580473986928219,0.03536029959190978,0.0,-0.0009756037131526982,3.3289348414810145,25.084766836448864,250,25,6050,3.074418041997704,,,
