schedule,t,reward,gap,beta_true,beta_hat,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
high,1,0.3972542604044615,0.03234264742035453,0.0,-0.007519294185682089,14.626458642932938,250,25,275,1.0046736807177572,,,
high,2,0.3973459139539173,0.032399206228093835,0.0,0.054923538478846456,14.552810384611723,250,25,550,1.0755233985135744,,,
high,3,0.39745592869446417,0.03226246804458249,0.0,0.05501687719769371,13.655618978136838,250,25,825,0.3349530275136816,,,
high,4,0.39751114875243987,0.032105842641030946,0.0,0.03482937220774888,13.981428454105371,250,25,1100,1.4085103819209743,,,
high,5,0.39759319328465204,0.03204291869713388,0.0,-0.02534310204234271,14.2982976853417,250,25,1375,1.0075664389593446,,,
high,6,0.3976753568803267,0.03177688720766625,0.0,0.020371881687194993,15.342227399208813,250,25,1650,2.140447018802918,,,
high,7,0.3977351862276062,0.031767251066293634,0.0,-0.036536341063873295,14.289600452888438,250,25,1925,0.9309703175130992,,,
high,8,0.39768386730009614,0.03182547370737265,0.0,-0.002606843434979566,14.555086844471063,250,25,2200,1.2857832117999606,,,
high,9,0.3978773800585539,0.03184532207072921,0.0,-0.0642392077144959,15.287954913952131,250,25,2475,2.2144217227710703,,,
high,10,0.39806478415345603,0.0314567736070282,0.0,0.01275732177704508,14.501814304249155,250,25,2750,1.161392196261696,,,
high,11,0.39806094267979697,0.03187311285551836,0.0,0.0034517495107648493,13.592253842434568,250,25,3025,0.3070804017252795,,,
high,12,0.39815742472984395,0.031469522442897024,0.0,-0.022539185096089376,13.534572924327813,250,25,3300,0.5907850346879715,,,
high,13,0.3982429531465492,0.031397005507133535,0.0,0.0244216095222484,13.498814029524974,250,25,3575,0.3729527286731954,,,
high,14,0.3985191635570258,0.03100154681991235,0.0,-0.08038794983656078,14.147290741139896,250,25,3850,0.9540350482723386,,,
high,15,0.39873276654275475,0.030548986559239877,0.0,-0.02297542247295028,14.488861503209119,250,25,4125,1.0870361857531865,,,
high,16,0.3987985007441815,0.030515034798525298,0.0,0.0287086364126403,13.701126737520802,250,25,4400,0.30108177438538036,,,
high,17,0.39902873203551187,0.030366913291008935,0.0,-0.01392768187806693,13.51946232767036,250,25,4675,0.3479528952075147,,,
high,18,0.3990817014089873,0.030428806937965458,0.0,-0.021860071421806983,13.671221845723878,250,25,4950,0.40527131460482335,,,
high,19,0.3988132144986338,0.030965261576513137,0.0,0.07446830252076814,13.385908142955646,250,25,5225,0.5798461955205019,,,
high,20,0.3989276350503805,0.030858879264901107,0.0,-0.047499345044649546,14.554729068323233,250,25,5500,1.2888826359948728,,,
high,21,0.39890320544514923,0.030840849752244714,0.0,0.008792929920133502,13.639212238903788,250,25,5775,0.3599201389873188,,,
high,22,0.3990202814974535,0.030733984574733697,0.0,0.0027487632468052325,13.700868066466409,250,25,6050,0.41614109485949013,,,
high,23,0.399007995566042,0.030904763583747774,0.0,0.005314616417279353,14.679755674825923,250,25,6325,1.1512251020559863,,,
high,24,0.3990015035548453,0.031072747809359202,0.0,0.022907265335667372,13.40897424505306,250,25,6600,0.409931904174374,,,
high,25,0.3990062400218618,0.03100426675383261,0.0,0.015974235397730352,13.015780051771433,250,25,6875,0.2746789582628206,,,
high,26,0.3990704873845062,0.03114389676139162,0.0,0.02676747576679644,15.162165470114813,250,25,7150,2.205230321674597,,,
high,27,0.3991962805440854,0.031017559997316424,0.0,-0.02064599913941204,14.563591963007607,250,25,7425,1.0450375969407877,,,
high,28,0.3993650682632813,0.0307263223303621,0.0,-0.016230931958869314,13.733738432394013,250,25,7700,0.49179571922084103,,,
high,29,0.39968548388572894,0.029961544358937164,0.0,-0.008043201964556617,14.668341185600168,250,25,7975,1.0117559718629954,,,
high,30,0.39967482731533743,0.030003601469833274,0.0,0.04772798890855507,14.706857605983268,250,25,8250,1.1217175873042913,,,
high,31,0.3995345049346716,0.030077186341105788,0.0,0.06081729484140105,14.113459966301791,250,25,8525,0.28162597628548464,,,
high,32,0.3999462063891967,0.028988635971642418,0.0,-0.0761273744060507,14.200931224819167,250,25,8800,0.9321342361620871,,,
high,33,0.40008261220850355,0.028885101775444955,0.0,-0.051616715681471505,14.545350728930643,250,25,9075,1.0127057193270648,,,
high,34,0.4001838028334013,0.02875276167462193,0.0,-0.0510193400378464,13.475767714775282,250,25,9350,0.32722032344158053,,,
high,35,0.4005636154307923,0.02780679117151086,0.0,-0.05718439059473455,13.668437585773544,250,25,9625,0.44004614210439497,,,
high,36,0.4005086321621597,0.028123956288947205,0.0,-0.0022757712889654082,13.40060570754434,250,25,9900,0.3088192697240675,,,
high,37,0.40039548977653033,0.028179879250469053,0.0,0.02602307021562218,13.674225420515748,250,25,10175,0.249280629807951,,,
high,38,0.40051955052681454,0.02762727740896148,0.0,0.03413160218243308,14.4949381460432,250,25,10450,1.1458375816253064,,,
high,39,0.4004653044884011,0.027928018752453487,0.0,0.016855768158370803,12.959846833670744,250,25,10725,0.13286821239153682,,,
high,40,0.4003745526247984,0.02832240004590636,0.0,0.034477279191881295,13.592645551719253,250,25,11000,0.5399310798558717,,,
high,41,0.4000716033332373,0.02900167047201868,0.0,0.027165672243681865,13.492391459756377,250,25,11275,0.4868427260192574,,,
high,42,0.4003222086893842,0.028405704496933526,0.0,-0.03732679798350637,16.24170873933343,250,25,11550,4.720224004191012,,,
high,43,0.40036282434931275,0.028430132961642207,0.0,0.046860989688954774,13.447889175515709,250,25,11825,0.3267802593744057,,,
high,44,0.40040884443210684,0.028081601207705698,0.0,-0.01169954949272578,13.768389659237531,250,25,12100,0.20057781051115214,,,
high,45,0.4003805497395119,0.028065341190646853,0.0,-0.05613518268087757,14.219229327767433,250,25,12375,1.2407662274330455,,,
high,46,0.40062271396404675,0.02728603745257202,0.0,-0.04901745301777794,16.181086034004156,250,25,12650,3.5096808689939296,,,
high,47,0.40067056538902845,0.027317559843049677,0.0,0.049599814198478226,14.334533266000019,250,25,12925,0.9997821425794121,,,
high,48,0.4005550804863945,0.027359471246699962,0.0,0.0910768695008732,14.62951519993657,250,25,13200,0.8146731218770297,,,
high,49,0.40064046566555644,0.027163372316324097,0.0,-0.014624145929061309,14.304259047713657,250,25,13475,0.8338208676523263,,,
high,50,0.40062924491459234,0.027143906739511725,0.0,0.0038910356965685734,15.272971052854773,250,25,13750,2.418161669526022,,,
high,51,0.40074216233911075,0.026961074085737946,0.0,-0.0011021790955846197,13.951895006674137,250,25,14025,0.2811500354029821,,,
high,52,0.4009479334588257,0.02665953221949008,0.0,-0.08094918320703944,13.478236538466131,250,25,14300,0.29635114804845153,,,
high,53,0.40089396902514346,0.026811537536627017,0.0,0.011384210227547143,13.59001081584231,250,25,14575,0.2336875377300419,,,
high,54,0.4011250373160605,0.02652279499296256,0.0,-0.014346464283996758,13.623714461287555,250,25,14850,0.49839765911316813,,,
high,55,0.40119259169791166,0.026173136219501403,0.0,-0.024701125563549885,13.508859180551774,250,25,15125,0.39540715982155655,,,
high,56,0.4010744498045828,0.026427484523629696,0.0,0.04112264372146731,13.518613530902341,250,25,15400,0.3371298236187865,,,
high,57,0.40110882903877604,0.0264108810183753,0.0,0.034491103362629214,13.410151025899596,250,25,15675,0.40133961491854486,,,
high,58,0.4009892567125846,0.026727550030760105,0.0,0.019997389025470547,13.39920334789728,250,25,15950,0.25356448025365175,,,
high,59,0.4010200178187756,0.026641431787727876,0.0,-0.035998426780086266,13.817787843238435,250,25,16225,0.4981821944719334,,,
high,60,0.40107996343374674,0.026647403097598776,0.0,0.013676129776545799,15.133743005099454,250,25,16500,2.2673822861450263,,,
high,61,0.40123394829788983,0.026148890597751495,0.0,-0.03204224817447988,13.769824841266704,250,25,16775,0.36295973664879433,,,
high,62,0.4015317835379006,0.025166647078883775,0.0,-0.05342552835702245,14.496649537668382,250,25,17050,1.1004645359166831,,,
high,63,0.4013805334579699,0.025451127478034186,0.0,0.03199030889922009,13.686108891985372,250,25,17325,0.41927999352861395,,,
high,64,0.4014129884721121,0.026065182285003263,0.0,-0.007827694943510287,13.421370615188016,250,25,17600,0.4892185158913706,,,
high,65,0.40153929034116953,0.026010539122618137,0.0,-0.030535727706655056,14.980019659570882,250,25,17875,2.256432355742285,,,
high,66,0.4015361750361763,0.026352943934683293,0.0,0.04104390423053239,13.426497670081728,250,25,18150,0.3601869622238951,,,
high,67,0.4016708757140749,0.026145280663625314,0.0,-0.02870554217396996,14.378274602428858,250,25,18425,1.28958983562387,,,
high,68,0.4017895549147944,0.025875805136282737,0.0,-0.007464849631832832,13.42591242845785,250,25,18700,0.27023975981472054,,,
high,69,0.40177906163705357,0.02585201419687644,0.0,-0.024533092036841973,12.94282920567965,250,25,18975,0.2325748466021445,,,
high,70,0.402045951036493,0.025100724661594853,0.0,-0.035780138639317234,14.027610477104057,250,25,19250,1.1940247327402351,,,
high,71,0.40230253123701615,0.024762378366659066,0.0,-0.04223715497813379,15.624115038453457,250,25,19525,2.2060107196725856,,,
high,72,0.40224927072347705,0.025055886575702013,0.0,-0.015553220115119474,13.64781221604244,250,25,19800,0.5639762739041383,,,
