schedule,t,reward,gap,beta_true,beta_hat,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
adaptive,1,0.39789168589157914,0.031151899473049194,0.0,-0.22522226856082508,13.569205937156596,8,25,33,0.34723084223767436,,,
adaptive,2,0.39818573173319993,0.03068751762286248,0.0,-0.05476964700605451,14.296521975732599,8,25,66,1.0268742570789717,,,
adaptive,3,0.3983078979240241,0.030601000019583213,0.0,-0.04516552443366335,15.240613943270443,8,25,99,1.9779953032391167,,,
adaptive,4,0.39840028782196907,0.030214312252487663,0.0,0.011268406983174595,14.302520101858669,8,25,132,1.2829805628907587,,,
adaptive,5,0.3981588717678622,0.03053547107565363,0.0,0.12893594736410402,13.893369574295331,8,25,165,0.5839500844044456,,,
adaptive,6,0.40029739975709905,0.02739030177214019,0.0,-0.6451619012462495,14.315639703171598,8,25,198,2.0475603099897377,,,
adaptive,7,0.3994631790236697,0.028711510065193957,0.0,0.31683802826118784,13.5069011844674,8,25,231,0.7452487737979692,,,
adaptive,8,0.39872416706931063,0.02984367435077029,0.0,0.25411421264227846,14.374245681306178,8,25,264,1.7279757863256322,,,
adaptive,9,0.39898101694440447,0.029364676859345573,0.0,-0.05118338760127156,14.176549512369638,8,25,297,0.8894053795244494,,,
adaptive,10,0.3982027045713943,0.03078582730637186,0.0,0.2611309214321748,13.631127934258952,8,25,330,0.6709421178839609,,,
adaptive,11,0.39824807903117904,0.0310959666774005,0.0,-0.01326072632652759,13.507508023668043,8,25,363,0.3384357489475946,,,
adaptive,12,0.3982728358130603,0.030986657215778868,0.0,-0.0030706699339515847,13.417315495969817,8,25,396,0.43318360265408995,,,
adaptive,13,0.3979781866330995,0.03130708431953355,0.0,0.14882718187045885,15.183865037724832,8,25,429,2.7316821451700166,,,
adaptive,14,0.398703395110565,0.030119949730124385,0.0,-0.19919712042877455,16.04562063736488,8,25,462,4.196027274300242,,,
adaptive,15,0.39873002050915113,0.03018860176064697,0.0,0.02271868778913311,13.382330549168884,8,25,495,0.4665150742682417,,,
adaptive,16,0.39872984227604646,0.030195724878476715,0.0,0.010743638317332403,14.497465530766473,8,25,528,1.2404676892933704,,,
adaptive,17,0.39996003391900276,0.028482786712797248,0.0,-0.3055346008337593,12.943209700718525,8,25,561,0.4920016033473168,,,
adaptive,18,0.3993024490069034,0.029347153545010718,0.0,0.24833144697013204,13.626578996196503,8,25,594,0.7025667777993723,,,
adaptive,19,0.3991463977798535,0.029329275654651377,0.0,0.06796213915235506,13.452487897951215,8,25,627,0.6442498870732574,,,
adaptive,20,0.4015328784505654,0.025673927121539264,0.0,-0.7075031793580762,14.184948390159887,8,25,660,4.966051138676304,,,
adaptive,21,0.40225689154373073,0.02471402575265408,0.0,-0.23275995119958315,13.46296530056971,8,25,693,0.13990691554879117,,,
adaptive,22,0.40289779435309314,0.023890110986281354,0.0,-0.1690681783510941,15.402175560977312,8,25,726,2.3682125524389295,,,
adaptive,23,0.4026654099863661,0.024124319963855057,0.0,0.13012245819494908,13.031463208608189,8,25,759,0.2297354158768787,,,
adaptive,24,0.40169010129054217,0.025251621736045893,0.0,0.3794719075562125,12.909323115094692,8,25,792,0.5460232908927405,,,
adaptive,25,0.40170011147093493,0.02502584851807471,0.0,0.06102198353969091,13.652969496207202,8,25,825,0.4195675732827025,,,
adaptive,26,0.40236158181059567,0.02416207653453234,0.0,-0.13800770381746902,13.607751995940786,8,25,858,0.6736291010068071,,,
