schedule,t,reward,gap,beta_true,beta_hat,cert,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
fixed_low,1,0.9294626088993092,0.026598266186613206,0.0,-0.041571495529290105,2.346901986198217,27.611612592991115,5,20,25,1.3686474423519883,,,
fixed_low,2,0.9295553283278774,0.026477713889012322,0.0,0.1709314002665979,2.174096317444091,27.438806924236985,5,20,50,1.5442053960933255,,,
fixed_low,3,0.9296791397814895,0.026365872049325945,0.0,-0.01694459582020592,4.012485851946744,29.27719645873964,5,20,75,4.571965235783321,,,
fixed_low,4,0.9300876001364001,0.026812128006713398,0.0,-0.9582666364190645,4.220694177348527,29.485404784141423,5,20,100,10.356421505968044,,,
fixed_low,5,0.9302042980812834,0.026558002016407234,0.0,0.05271139646939566,4.234942228236754,29.49965283502965,5,20,125,4.677923782131787,,,
fixed_low,6,0.9303329341350445,0.029264477073887907,0.0,-0.9898253364924715,4.105010563352911,29.36972117014581,5,20,150,11.837129019251297,,,
fixed_low,7,0.9303869115034042,0.029358532666270976,0.0,-0.039907360843931615,4.510556561979347,29.775267168772242,5,20,175,4.278268195755171,,,
fixed_low,8,0.9303801541889793,0.03048243538033557,0.0,-0.23552950626577956,3.6224979487086544,28.88720855550155,5,20,200,4.95916748510017,,,
fixed_low,9,0.9304756056123145,0.029700585841751392,0.0,0.08972961401991952,2.250821341180313,27.51553194797321,5,20,225,1.43058494430015,,,
fixed_low,10,0.9304371748622697,0.029237169610707325,0.0,0.10378922391611234,6.876521200567975,32.14123180736087,5,20,250,8.805851950000019,,,
fixed_low,11,0.9304531018680786,0.02847669141778697,0.0,0.16523494627085883,5.2343317905428846,30.49904239733578,5,20,275,10.094129630288297,,,
fixed_low,12,0.9304780879992385,0.02859146469604268,0.0,-0.020308810913440466,4.184200906059111,29.448911512852007,5,20,300,4.472691443658946,,,
fixed_low,13,0.9304929074505761,0.030809206343827,0.0,-0.4829033404069054,3.885864411178199,29.150575017971093,5,20,325,6.080647838158821,,,
fixed_low,14,0.9305914077384242,0.030595487160507973,0.0,-0.0031097182325727927,2.5559545781411757,27.82066518493407,5,20,350,1.4179970910750008,,,
fixed_low,15,0.9307354915864211,0.026312877149475722,0.0,1.1158984772280336,5.84558873372746,31.110299340520356,5,20,375,24.84738925023468,,,
