schedule,t,reward,gap,beta_true,beta_hat,cert,cert_hp,n_cal,n_mon,cum_aud,xi_sq,exp3_arm,exp3_p,exp3_loss
high,1,0.929363467348529,0.02685965721522099,0.0,0.0007090505689041612,6.027058227399673,31.291768834192567,200,20,220,9.743789486269788,,,
high,2,0.929378687138875,0.02678541210708607,0.0,-0.014525011296977171,4.00998774612019,29.274698352913084,200,20,440,4.659449804502364,,,
high,3,0.9295020502063541,0.026535388479042687,0.0,-0.011558434546327618,4.429720180110958,29.694430786903855,200,20,660,4.583342671762129,,,
high,4,0.9295346743964826,0.026563510400974155,0.0,0.010722654307796304,4.047086412662328,29.311797019455224,200,20,880,4.4355802930418005,,,
high,5,0.9295036823016011,0.026534036395919003,0.0,0.007909994970852556,4.209348076830276,29.47405868362317,200,20,1100,3.9271317203069125,,,
high,6,0.9297115408300697,0.026335652840802748,0.0,-0.009982905660215275,6.240626383424416,31.505336990217312,200,20,1320,9.443437454772587,,,
high,7,0.9297677759103397,0.026202889008358987,0.0,-0.001834488087966924,3.9801743656891193,29.244884972482016,200,20,1540,4.451248152126518,,,
high,8,0.9298539250661971,0.026208995421536208,0.0,0.04239574569477901,4.225062427576777,29.489773034369673,200,20,1760,4.277356520299623,,,
high,9,0.9298995618033203,0.026264878817080395,0.0,0.023720131864331785,4.060609578039113,29.32532018483201,200,20,1980,4.326240671345753,,,
high,10,0.9300185909367735,0.026060822767641323,0.0,-0.002290020139364434,4.346870432218022,29.611581039010918,200,20,2200,4.091021777617827,,,
high,11,0.9300585845025833,0.02610977422514349,0.0,-0.019661397775017162,6.158066353988835,31.422776960781732,200,20,2420,9.498141134246943,,,
high,12,0.9301999796882933,0.02593219562929705,0.0,0.010055910463835686,4.242107768998203,29.5068183757911,200,20,2640,4.298111614164117,,,
high,13,0.9302929881215303,0.025858675716077695,0.0,0.0027239946049682235,4.340142387669615,29.60485299446251,200,20,2860,4.4227367757558955,,,
high,14,0.9305009463297532,0.02532357138309238,0.0,0.015077955508250892,4.14646185805526,29.411172464848157,200,20,3080,4.473225931403235,,,
high,15,0.9305637688405175,0.0252551057471051,0.0,0.011174240559205208,7.993118663515867,33.25782927030876,200,20,3300,16.482797181493574,,,
high,16,0.930742234854656,0.024951369975167226,0.0,-0.001571745435268753,3.9953849451723817,29.26009555196528,200,20,3520,3.8649417435895512,,,
high,17,0.9309216548162392,0.02474525596374011,0.0,-0.04165929510653632,4.359355354347459,29.624065961140353,200,20,3740,4.238935729624994,,,
high,18,0.9309093107726928,0.024747519192344858,0.0,-0.0018549758170587286,4.299227284223464,29.56393789101636,200,20,3960,4.2276518073421805,,,
high,19,0.9310044994576911,0.024562872015832626,0.0,0.012033149217331852,4.093258001264866,29.35796860805776,200,20,4180,4.694427250303773,,,
high,20,0.931068931543193,0.024384950608472233,0.0,-0.016585163070848525,6.214269762409845,31.47898036920274,200,20,4400,9.3578554522704,,,
high,21,0.9311270623314163,0.024299087594727653,0.0,0.006164526392204149,2.2808971903334894,27.545607797126387,200,20,4620,1.2655518187465165,,,
high,22,0.9311839700043147,0.02431361822859901,0.0,0.00019747068709694525,2.2810936826882684,27.545804289481165,200,20,4840,1.34587538507611,,,
high,23,0.9313903225595356,0.02399889633148966,0.0,0.009337666912177264,6.144539760073054,31.40925036686595,200,20,5060,9.78543860899185,,,
high,24,0.9314173847916236,0.023916912165502846,0.0,-0.02353782357329539,4.058814747471244,29.32352535426414,200,20,5280,4.636584586945183,,,
high,25,0.9315852106727531,0.02361410949864351,0.0,-0.02815097097834608,2.5531070574113235,27.81781766420422,200,20,5500,1.474342368605041,,,
high,26,0.9317156948854722,0.023476021484319598,0.0,0.03677657426078003,5.922686909014569,31.187397515807465,200,20,5720,9.368245653398183,,,
high,27,0.9318687971274723,0.023401103977401028,0.0,-0.005903353172522596,4.126243229136732,29.39095383592963,200,20,5940,4.226739814412455,,,
high,28,0.9319324279345512,0.02342345904136045,0.0,-0.020100885858441764,2.3146798880033783,27.579390494796275,200,20,6160,1.326592627362954,,,
high,29,0.931994065302829,0.0233832434525022,0.0,-0.004304313742955202,3.8014514107702038,29.0661620175631,200,20,6380,4.615061154473438,,,
high,30,0.9320134530428671,0.02351951304571276,0.0,-0.01671656079684927,3.973292387337726,29.23800299413062,200,20,6600,4.3395383001007275,,,
high,31,0.9320648906394033,0.023609610004205694,0.0,-0.009118564903323866,4.273183980292734,29.53789458708563,200,20,6820,4.747888276977345,,,
high,32,0.9321993606106179,0.023456515173897796,0.0,-0.012585594848612032,4.281904962013942,29.54661556880684,200,20,7040,4.5035888185413935,,,
high,33,0.9322908521171137,0.023274150663295856,0.0,-0.02730011680517919,6.115992994510256,31.380703601303154,200,20,7260,9.63401641645997,,,
high,34,0.9322409624738659,0.023259387312379642,0.0,0.04967369709319025,4.113492850677132,29.37820345747003,200,20,7480,4.346183302606017,,,
high,35,0.9323068656512262,0.02319545092312847,0.0,-0.039649346425192585,8.106553845386212,33.371264452179105,200,20,7700,16.498160653385924,,,
high,36,0.9322561687550642,0.02321998305255568,0.0,0.00336131345388092,4.002294956603382,29.26700556339628,200,20,7920,4.491335287854675,,,
high,37,0.9322143937675067,0.023384747678042328,0.0,-0.016810909955658728,2.3102747364188865,27.574985343211782,200,20,8140,1.2687272148550184,,,
high,38,0.932333254268939,0.02334177878781174,0.0,-0.024925237454006547,4.190299875611694,29.45501048240459,200,20,8360,3.9514480182885263,,,
high,39,0.9325239101399306,0.023035543300469863,0.0,0.02548734256044716,4.073075555172915,29.33778616196581,200,20,8580,4.563932417124765,,,
high,40,0.9326185108293477,0.022951593227525047,0.0,-0.0029869576083252185,6.171781551806297,31.436492158599194,200,20,8800,8.815891885391133,,,
high,41,0.9326909744946308,0.0227457763045672,0.0,0.00047870327893625796,6.043116770349361,31.307827377142257,200,20,9020,9.414231182449122,,,
high,42,0.932726209314835,0.022691051046890287,0.0,0.021368790294481046,6.0341048979213845,31.29881550471428,200,20,9240,9.845873662019427,,,
high,43,0.9328018455366415,0.02257067595476403,0.0,0.0020631302522760844,3.9859699506409174,29.250680557433814,200,20,9460,4.236012913284649,,,
high,44,0.9327838787514323,0.022688417403224248,0.0,-0.0007338986644236362,4.277859682425601,29.542570289218496,200,20,9680,4.472430446016942,,,
high,45,0.9327612425735949,0.02273410926062891,0.0,0.02712622304637575,5.9848792332509255,31.24958984004382,200,20,9900,9.988404572977913,,,
high,46,0.9328554321407645,0.02270080447819156,0.0,-0.028411616350652237,6.161464895997531,31.42617550279043,200,20,10120,10.129101678106359,,,
high,47,0.9329573096172706,0.022560771370558674,0.0,0.00607459234237085,4.348059474712241,29.612770081505136,200,20,10340,3.9914668624341227,,,
high,48,0.9330335976623948,0.02250693614878907,0.0,0.008070982868606849,4.093169494686831,29.357880101479726,200,20,10560,4.911183137831724,,,
high,49,0.9330981915402529,0.022489881760992314,0.0,-0.05967135747684438,3.9962947166138645,29.26100532340676,200,20,10780,4.082175791968247,,,
high,50,0.9331893444313183,0.022448168519353273,0.0,0.00027214504168708613,4.0242589586366355,29.288969565429532,200,20,11000,4.363536263168015,,,
high,51,0.9334645752795792,0.02226075602109201,0.0,-0.03454029762385419,6.084072906751375,31.34878351354427,200,20,11220,9.513080771577538,,,
high,52,0.9337491114899408,0.021918326678420197,0.0,0.021384512829397517,3.9407768456864094,29.205487452479304,200,20,11440,4.205183501235823,,,
high,53,0.9338534296132235,0.02182307712674103,0.0,-0.00850323686580242,3.84837416410923,29.113084770902127,200,20,11660,4.320653377270514,,,
high,54,0.9339447703304776,0.021579688277383657,0.0,0.027642561985201954,2.173904788319565,27.43861539511246,200,20,11880,1.5250200070179654,,,
high,55,0.9342198102082421,0.02126711708109208,0.0,0.02084352825301554,6.282951500505506,31.5476621072984,200,20,12100,9.4516314985253,,,
high,56,0.9343568992135318,0.020911918466612556,0.0,0.046531509940467286,2.5624237206497904,27.827134327442685,200,20,12320,1.2301731286360682,,,
high,57,0.9344789343154359,0.02067966507424035,0.0,0.03284890451859027,2.206709854384395,27.471420461177292,200,20,12540,1.243803131026999,,,
