task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-20,False,0.25,1,3,4,2,True,0.0,nan,True,0.0,0.0,0.55,0.55,0.7474999999999999,2.1062454819211522,,True,0
scienceworld-21,True,1.0,1,3,8,3,True,0.05,0.35355339059327373,False,1.0,1.0,0.55,0.55,0.7224999999999999,2.08,,True,0
scienceworld-22,True,1.0,1,3,12,5,True,0.1,0.1924500897298753,False,0.0,0.9395769176926606,0.4,0.4,0.6900000000000001,1.8951922953252538,,True,0
scienceworld-23,True,1.0,1,3,16,6,False,0.1,0.08518354199999197,False,0.1,0.8615563104383206,0.35,0.35,0.6775,1.8315869869838894,,False,0
scienceworld-24,True,0.875,1,3,20,6,True,0.1,0.09072184232530289,False,0.26666666666666666,0.7846970802072145,0.4,0.4,0.6900000000000001,1.8951922953252538,,True,0
scienceworld-25,True,0.8,1,3,24,7,False,0.15,0.061855801585433794,False,0.06666666666666667,0.7028787137234856,0.35,0.35,0.6525,1.803994497926316,,False,0
scienceworld-26,True,0.75,1,3,28,9,False,0.2,0.038765586975305355,False,0.047619047619047616,0.6620113940825563,0.3,0.3,0.61,1.7058449416631978,,False,0
scienceworld-27,True,0.875,1,3,32,10,False,0.2,0.03472222222222222,False,0.1111111111111111,0.6437848456182125,0.3,0.3,0.61,1.7058449416631978,,False,0
scienceworld-28,True,0.8,1,3,36,10,False,0.2,0.029280348705262766,False,0.08888888888888889,0.592504731018074,0.3,0.3,0.61,1.7058449416631978,,False,0
scienceworld-29,True,0.75,1,3,40,10,False,0.2,0.03689323936863109,False,0.1111111111111111,0.5213556940130984,0.35,0.35,0.6275,1.7758681565979373,,False,0
scienceworld-30,True,0.8571428571428571,1,3,44,10,True,0.2,0.03353930851693735,False,0.1111111111111111,0.46310378936524155,0.45,0.45,0.6475000000000001,1.8984129245487973,,True,0
scienceworld-31,True,0.7142857142857143,1,3,48,11,True,0.2,0.03513641844631532,False,0.06666666666666667,0.415411163604675,0.45,0.45,0.6475000000000001,1.8984129245487973,,True,0
scienceworld-32,True,0.5714285714285714,1,3,52,12,True,0.25,0.03865530058689278,False,0.05454545454545454,0.4165789268247801,0.45,0.45,0.6225,1.8701760454253549,,True,0
scienceworld-33,True,0.7,1,3,56,13,True,0.25,0.02322673496739874,False,0.045454545454545456,0.4110829175128654,0.45,0.45,0.6225,1.8701760454253549,,True,0
scienceworld-34,True,1.0,1,3,60,14,False,0.3,0.01444531761003201,False,0.038461538461538464,0.40154338203966494,0.45,0.45,0.5975,1.8413662350366276,,False,0
scienceworld-35,True,1.0,1,3,64,15,False,0.35,0.010480833016173504,False,0.03296703296703297,0.38964972495304345,0.45,0.45,0.5725,1.81194713553794,,False,0
scienceworld-36,True,1.0,1,3,68,15,False,0.35,0.014344382763731173,False,0.0380952380952381,0.37650161502573937,0.45,0.45,0.5725,1.81194713553794,,False,0
scienceworld-37,True,1.0,1,3,72,16,False,0.35,0.018119220333134112,False,0.02857142857142857,0.3324226837280358,0.45,0.45,0.5725,1.81194713553794,,False,0
scienceworld-38,True,1.0,1,3,76,18,False,0.35,0.014227642276422765,False,0.03333333333333333,0.32898370998468096,0.45,0.45,0.5725,1.81194713553794,,False,0
scienceworld-39,True,1.0,1,3,80,19,False,0.35,0.016070608663330627,False,0.0457516339869281,0.35053251611213,0.45,0.45,0.5725,1.81194713553794,,False,0
