task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-0,True,1.0,1,3,4,2,True,0.0,nan,True,0.0,0.0,0.4709378184135128,0.4709378184135128,0.7106053320760575,1.988291197137937,,True,0
scienceworld-1,True,1.0,1,3,8,3,True,0.1,0.35355339059327373,False,1.0,1.0,0.4,0.4,0.6900000000000001,1.8951922953252538,,True,0
scienceworld-2,True,1.0,1,3,12,3,True,0.1,0.1924500897298753,False,1.0,0.9395769176926606,0.4,0.4,0.6900000000000001,1.8951922953252538,,True,0
scienceworld-3,True,1.0,1,3,16,3,False,0.1,0.1924500897298753,False,1.0,0.8901066820118798,0.35,0.35,0.6775,1.8315869869838894,,False,0
scienceworld-4,True,1.0,1,3,20,3,False,0.15,0.19245008972987523,False,1.0,0.8496038786980088,0.3,0.3,0.635,1.7343639705458305,,False,0
scienceworld-5,True,1.0,1,3,24,3,False,0.15,0.19245008972987523,False,1.0,0.8164429880390739,0.3,0.3,0.635,1.7343639705458305,,False,0
scienceworld-6,True,1.0,1,3,28,3,False,0.15,0.1924500897298753,False,1.0,0.7892931470571475,0.3,0.3,0.635,1.7343639705458305,,False,0
scienceworld-7,True,1.0,1,3,32,4,False,0.15,0.1924500897298753,False,1.0,0.7670647373040674,0.3,0.3,0.635,1.7343639705458305,,False,0
scienceworld-8,True,1.0,1,3,36,4,False,0.15,0.06060606060606061,False,1.0,0.766331929254897,0.3,0.3,0.635,1.7343639705458305,,False,0
scienceworld-9,True,1.0,1,3,40,4,True,0.15,0.16666666666666666,False,1.0,0.7180541410075737,0.45,0.45,0.6725000000000001,1.9261097520171053,,True,0
scienceworld-10,True,1.0,1,0,41,5,False,0.2,0.13095238095238096,False,0.5,0.6785276310789032,0.4,0.4,0.6400000000000001,1.8400000000000003,,False,0
scienceworld-11,True,1.0,1,0,42,6,False,0.2,0.0438444701470547,False,0.4,0.6444251507019596,0.35,0.35,0.6275,1.7758681565979373,,False,0
scienceworld-12,True,1.0,1,0,43,7,False,0.2,0.0408248290463863,False,0.4,0.6063422407805061,0.35,0.35,0.6275,1.7758681565979373,,False,0
scienceworld-13,True,1.0,1,0,44,8,False,0.25,0.043821967885127794,False,0.2857142857142857,0.5683694623576125,0.35,0.35,0.6025,1.7471757226634024,,False,0
scienceworld-14,True,1.0,1,0,45,9,False,0.25,0.03626188621469475,False,0.25,0.5321738631997539,0.35,0.35,0.6025,1.7471757226634024,,False,0
scienceworld-15,True,1.0,1,3,49,8,True,0.25,0.034482758620689655,False,0.25,0.4984063180319585,0.45,0.45,0.6225,1.8701760454253549,,True,0
scienceworld-16,True,1.0,1,3,53,10,False,0.25,0.021824283369955167,False,0.17857142857142858,0.50457575781794,0.4,0.4,0.615,1.811594842722231,,False,0
scienceworld-17,True,1.0,1,3,57,11,False,0.3,0.01405456737852613,False,0.15555555555555556,0.5304893521465404,0.4,0.4,0.5900000000000001,1.7826062346163494,,False,0
scienceworld-18,True,1.0,1,3,61,11,False,0.3,0.021985202208795268,False,0.12727272727272726,0.5022317013408996,0.45,0.45,0.5975,1.8413662350366276,,False,0
scienceworld-19,True,1.0,1,3,65,12,False,0.35,0.050251890762960605,False,0.10909090909090909,0.4441505839533831,0.45,0.45,0.5725,1.81194713553794,,False,0
scienceworld-20,True,1.0,1,3,69,13,False,0.4,0.04421150710010648,False,0.09090909090909091,0.43177553415033204,0.45,0.45,0.5475000000000001,1.7818783728253869,,False,0
scienceworld-21,True,1.0,1,3,73,14,False,0.45,0.023112508176051216,False,0.07692307692307693,0.41718185736527763,0.45,0.45,0.5225000000000001,1.7511149065320866,,False,0
scienceworld-22,True,1.0,1,3,77,15,False,0.5,0.006363362902676771,False,0.06593406593406594,0.40153887558477874,0.45,0.45,0.49750000000000005,1.7196062381699297,,False,0
scienceworld-23,True,1.0,1,3,81,16,False,0.5,0.007824208780217003,False,0.05714285714285714,0.38558669405923907,0.45,0.45,0.49750000000000005,1.7196062381699297,,False,0
scienceworld-24,True,1.0,1,3,85,17,False,0.5,0.012681159420289856,False,0.058333333333333334,0.3697902820613482,0.45,0.45,0.49750000000000005,1.7196062381699297,,False,0
scienceworld-25,True,1.0,1,0,86,18,False,0.55,0.006599608844526067,False,0.058823529411764705,0.35443576851353703,0.45,0.45,0.47250000000000003,1.6872954376380769,,False,0
scienceworld-26,True,1.0,1,0,87,19,False,0.6,0.0075545596280614065,False,0.05228758169934641,0.32962149346881353,0.45,0.45,0.44750000000000006,1.6541179344233687,,False,0
scienceworld-27,True,1.0,1,0,88,20,False,0.6,0.008342390322565882,False,0.05263157894736842,0.3082990823374418,0.45,0.45,0.44750000000000006,1.6541179344233687,,False,0
scienceworld-28,True,1.0,1,0,89,21,False,0.6,0.007710579232757894,False,0.05263157894736842,0.2897932428626152,0.45,0.45,0.44750000000000006,1.6541179344233687,,False,0
scienceworld-29,True,1.0,1,0,90,22,False,0.6,0.00953957990102699,False,0.05714285714285714,0.27358346663411376,0.45,0.45,0.44750000000000006,1.6541179344233687,,False,0
