task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-20,True,1.0,1,0,1,1,False,0.05,nan,True,0.0,1.0,,,,,,False,0
scienceworld-21,True,0.6,1,0,2,2,False,0.1,1.0,False,0.0,0.9093653765389909,,,,,,False,0
scienceworld-22,True,0.5,1,0,3,3,False,0.1,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
scienceworld-23,True,0.5,1,0,4,4,False,0.1,0.19245008972987523,False,0.16666666666666666,0.7594656088019118,,,,,,False,0
scienceworld-24,True,0.75,1,0,5,5,False,0.15,0.16666666666666666,False,0.1,0.6974382798649738,,,,,,False,0
scienceworld-25,True,0.7,1,0,6,6,False,0.2,0.1242259987499883,False,0.06666666666666667,0.6425118067493852,,,,,,False,0
scienceworld-26,True,0.625,1,0,7,7,False,0.2,0.08164965809277261,False,0.09523809523809523,0.5937521503440734,,,,,,False,0
scienceworld-27,True,0.75,1,0,8,8,False,0.2,0.04199605255658081,False,0.10714285714285714,0.550357752043765,,,,,,False,0
scienceworld-28,True,0.7,1,0,9,9,False,0.2,0.03367175148507368,False,0.1388888888888889,0.5116398371494194,,,,,,False,0
scienceworld-29,True,0.625,1,0,10,10,False,0.2,0.037037037037037035,False,0.17777777777777778,0.47700574225663617,,,,,,False,0
scienceworld-30,False,0.42857142857142855,1,0,11,11,False,0.2,0.03904046494035036,False,0.14545454545454545,0.445944791436634,,,,,,False,0
scienceworld-31,False,0.42857142857142855,1,0,12,12,False,0.25,0.04020151261036848,False,0.12121212121212122,0.41801632201377575,,,,,,False,0
scienceworld-32,False,0.42857142857142855,1,0,13,13,False,0.25,0.029159104504526554,False,0.10256410256410256,0.39283952441959386,,,,,,False,0
scienceworld-33,True,0.9,1,0,14,14,False,0.3,0.023112508176051216,False,0.08791208791208792,0.370084813976361,,,,,,False,0
scienceworld-34,True,1.0,1,0,15,15,False,0.35,0.013705704713457662,False,0.0761904761904762,0.34946649721961814,,,,,,False,0
scienceworld-35,True,1.0,1,0,16,16,False,0.35,0.016393580301407053,False,0.075,0.3307365329163835,,,,,,False,0
scienceworld-36,True,1.0,1,0,17,17,False,0.35,0.011111111111111112,False,0.0661764705882353,0.3136792194494414,,,,,,False,0
scienceworld-37,True,0.9,1,0,18,18,False,0.35,0.011789926217043964,False,0.06535947712418301,0.29810666670004604,,,,,,False,0
scienceworld-38,True,1.0,1,0,19,19,False,0.35,0.012324301197151158,False,0.06432748538011696,0.28385493279200635,,,,,,False,0
scienceworld-39,True,1.0,1,0,20,20,False,0.35,0.01274531854836454,False,0.06842105263157895,0.27078072474521436,,,,,,False,0
