task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-0,True,1.0,1,0,1,1,False,0.1,nan,True,0.0,1.0,,,,,,False,0
scienceworld-1,True,1.0,1,0,2,2,False,0.1,1.0,False,1.0,0.9093653765389909,,,,,,False,0
scienceworld-2,True,1.0,1,0,3,3,False,0.1,0.35355339059327373,False,1.0,0.8296835997045404,,,,,,False,0
scienceworld-3,True,1.0,1,0,4,4,False,0.15,0.1924500897298753,False,1.0,0.7594656088019118,,,,,,False,0
scienceworld-4,True,1.0,1,0,5,5,False,0.15,0.14814814814814814,False,1.0,0.6974382798649738,,,,,,False,0
scienceworld-5,True,1.0,1,0,6,6,False,0.15,0.09938079899999064,False,1.0,0.6425118067493852,,,,,,False,0
scienceworld-6,True,1.0,1,0,7,7,False,0.15,0.05443310539518174,False,1.0,0.5937521503440734,,,,,,False,0
scienceworld-7,True,1.0,1,0,8,8,False,0.15,0.05599473674210773,False,1.0,0.550357752043765,,,,,,False,0
scienceworld-8,True,1.0,1,0,9,9,False,0.15,0.04489566864676492,False,1.0,0.5116398371494194,,,,,,False,0
scienceworld-9,True,1.0,1,0,10,10,False,0.2,0.05555555555555556,False,0.8,0.47700574225663617,,,,,,False,0
scienceworld-10,True,1.0,1,0,11,11,False,0.2,0.050752604422455466,False,0.6727272727272727,0.445944791436634,,,,,,False,0
scienceworld-11,True,1.0,1,0,12,12,False,0.2,0.036851386559504436,False,0.5909090909090909,0.41801632201377575,,,,,,False,0
scienceworld-12,True,1.0,1,0,13,13,False,0.25,0.017495462702715934,False,0.5,0.39283952441959386,,,,,,False,0
scienceworld-13,True,1.0,1,0,14,14,False,0.25,0.02054445171204552,False,0.43956043956043955,0.370084813976361,,,,,,False,0
scienceworld-14,True,1.0,1,0,15,15,False,0.25,0.01827427295127688,False,0.4,0.34946649721961814,,,,,,False,0
scienceworld-15,True,1.0,1,0,16,16,False,0.25,0.018442777839082936,False,0.35,0.3307365329163835,,,,,,False,0
scienceworld-16,True,1.0,1,0,17,17,False,0.3,0.016666666666666666,False,0.3088235294117647,0.3136792194494414,,,,,,False,0
scienceworld-17,True,1.0,1,0,18,18,False,0.3,0.01010565104318054,False,0.28104575163398693,0.29810666670004604,,,,,,False,0
scienceworld-18,True,1.0,1,0,19,19,False,0.35,0.018486451795726735,False,0.25146198830409355,0.28385493279200635,,,,,,False,0
scienceworld-19,True,1.0,1,0,20,20,False,0.4,0.008496879032243027,False,0.22631578947368422,0.27078072474521436,,,,,,False,0
scienceworld-20,True,1.0,1,0,21,21,False,0.45,0.01046113673684112,False,0.20476190476190476,0.25875857779966766,,,,,,False,0
scienceworld-21,True,0.6,1,0,22,22,False,0.5,0.01454785934906616,False,0.18614718614718614,0.24767844139152267,,,,,,False,0
scienceworld-22,True,1.0,1,0,23,23,False,0.5,0.009024368946269224,False,0.16996047430830039,0.23744361089202465,,,,,,False,0
scienceworld-23,True,1.0,1,0,24,24,False,0.5,0.005265515506491788,False,0.15942028985507245,0.22796895359421673,,,,,,False,0
scienceworld-24,True,1.0,1,0,25,25,False,0.55,0.01479160472695156,False,0.14666666666666667,0.21917938533240885,,,,,,False,0
scienceworld-25,True,1.0,1,0,26,26,False,0.6,0.004629629629629629,False,0.13538461538461538,0.21100856078112715,,,,,,False,0
scienceworld-26,True,1.0,1,0,27,27,False,0.6,0.004358136336404091,False,0.1282051282051282,0.20339774610111358,,,,,,False,0
scienceworld-27,True,1.0,1,0,28,28,False,0.6,0.004934617685381417,False,0.12169312169312169,0.19629484734545286,,,,,,False,0
scienceworld-28,True,1.0,1,0,29,29,False,0.6,0.004666228061842311,False,0.11822660098522167,0.18965357204790217,,,,,,False,0
scienceworld-29,True,1.0,1,0,30,30,False,0.6,0.005895090100858789,False,0.11724137931034483,0.18343270480448462,,,,,,False,0
scienceworld-30,True,1.0,1,0,31,31,False,0.6,0.006995179533910168,False,0.10967741935483871,0.1775954805261679,,,,,,False,0
scienceworld-31,True,1.0,1,0,32,32,False,0.65,0.007982457867856662,False,0.1028225806451613,0.1721090414671094,,,,,,False,0
scienceworld-32,True,1.0,1,0,33,33,False,0.65,0.006336082268696662,False,0.09659090909090909,0.1669439661885053,,,,,,False,0
scienceworld-33,True,0.9,1,0,34,34,False,0.7,0.010275417191829388,False,0.09090909090909091,0.16207386036053595,,,,,,False,0
scienceworld-34,True,1.0,1,0,35,35,False,0.7,0.00692923576333369,False,0.08571428571428572,0.15747500078303048,,,,,,False,0
scienceworld-35,True,1.0,1,0,36,36,False,0.7,0.003866718812483409,False,0.08253968253968254,0.15312602526032282,,,,,,False,0
scienceworld-36,True,1.0,1,0,37,37,False,0.7,0.004232804232804233,False,0.07807807807807808,0.14900766203189186,,,,,,False,0
scienceworld-37,True,0.9,1,0,38,38,False,0.7,0.00862587279071319,False,0.07539118065433854,0.14510249336687178,,,,,,False,0
scienceworld-38,True,1.0,1,0,39,39,False,0.7,0.005845816977685137,False,0.07422402159244265,0.14139474870191202,,,,,,False,0
scienceworld-39,True,1.0,1,0,40,40,False,0.7,0.006086742688497464,False,0.07435897435897436,0.13787012335883872,,,,,,False,0
scienceworld-40,True,1.0,1,0,41,41,False,0.7,0.0018018676126315553,False,0.07195121951219512,0.134515619438572,,,,,,False,0
scienceworld-41,True,0.8333333333333334,1,0,42,42,False,0.7,0.002602896031476768,False,0.06852497096399536,0.1313194059655101,,,,,,False,0
scienceworld-42,True,0.8333333333333334,1,0,43,43,False,0.75,0.0025089975603592185,False,0.06533776301218161,0.1282706957645489,,,,,,False,0
scienceworld-43,True,0.8571428571428571,1,0,44,44,False,0.75,0.0028240475987519383,False,0.06236786469344609,0.1253596369015743,,,,,,False,0
scienceworld-44,True,1.0,1,0,45,45,False,0.75,0.0035059458671832977,False,0.0595959595959596,0.12257721681654145,,,,,,False,0
scienceworld-45,True,1.0,1,0,46,46,False,0.75,0.00301153936363608,False,0.05893719806763285,0.119915177533662,,,,,,False,0
scienceworld-46,True,1.0,1,0,47,47,False,0.75,0.003640542127281411,False,0.05920444033302498,0.11736594055213381,,,,,,False,0
scienceworld-47,True,1.0,1,0,48,48,False,0.75,0.0028186471787032766,False,0.05851063829787234,0.11492254020866344,,,,,,False,0
scienceworld-48,True,1.0,1,0,49,49,False,0.75,0.0030710120701575843,False,0.058673469387755105,0.1125785644643334,,,,,,False,0
scienceworld-49,True,1.0,1,0,50,50,False,0.75,0.002976190476190476,False,0.05959183673469388,0.11032810220703537,,,,,,False,0
scienceworld-50,True,1.0,1,0,51,51,False,0.75,0.005772300254584061,False,0.06431372549019608,0.10816569628003003,,,,,,False,0
scienceworld-51,True,1.0,1,0,52,52,False,0.75,0.006534640392130712,False,0.0693815987933635,0.10608630155000413,,,,,,False,0
scienceworld-52,True,1.0,1,0,53,53,False,0.75,0.0072509829571925375,False,0.07474600870827286,0.10408524741666458,,,,,,False,0
scienceworld-53,True,1.0,1,0,54,54,False,0.75,0.0035220657422740773,False,0.0803633822501747,0.10215820424246214,,,,,,False,0
scienceworld-54,True,1.0,1,0,55,55,False,0.75,0.004279332185155796,False,0.0861952861952862,0.10030115324720666,,,,,,False,0
scienceworld-55,True,1.0,1,0,56,56,False,0.75,0.004994073055283274,False,0.09220779220779221,0.0985103594695921,,,,,,False,0
scienceworld-56,True,1.0,1,0,57,57,False,0.75,0.0029695693545824936,False,0.09837092731829573,0.09678234744724952,,,,,,False,0
scienceworld-57,True,1.0,1,0,58,58,False,0.75,0.003679256547402899,False,0.10465819721718088,0.09511387930996663,,,,,,False,0
scienceworld-58,True,1.0,1,0,59,59,False,0.75,0.0043512852994449965,False,0.11104617182933957,0.09350193501806442,,,,,,False,0
scienceworld-59,True,1.0,1,0,60,60,False,0.8,0.004489272792442202,False,0.10734463276836158,0.09194369451039527,,,,,,False,0
