task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-20,True,1.0,1,0,1,1,False,0.05,nan,True,0.0,1.0,,,,,,False,0
scienceworld-21,True,0.6,1,0,2,2,False,0.1,1.0,False,0.0,0.9093653765389909,,,,,,False,0
scienceworld-22,True,0.5,1,0,3,3,False,0.1,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
scienceworld-23,True,0.5,1,0,4,4,False,0.1,0.19245008972987523,False,0.16666666666666666,0.7594656088019118,,,,,,False,0
scienceworld-24,True,0.75,1,3,8,5,False,0.15,0.16666666666666666,False,0.0,0.7336921292493775,,,,,,False,0
scienceworld-25,True,0.7,1,3,12,7,False,0.2,0.07453559924999298,False,0.047619047619047616,0.7147830782198078,,,,,,False,0
scienceworld-26,True,0.625,1,0,13,8,False,0.2,0.03359684204526464,False,0.07142857142857142,0.6370630269285136,,,,,,False,0
scienceworld-27,True,0.75,1,3,17,9,False,0.2,0.039283710065919304,False,0.08333333333333333,0.611371632036325,,,,,,False,0
scienceworld-28,True,0.7,1,0,18,10,False,0.2,0.029239766081871343,False,0.1111111111111111,0.5504938810368536,,,,,,False,0
scienceworld-29,True,0.625,1,3,22,9,False,0.2,0.03353930851693735,False,0.16666666666666666,0.48307687252355347,,,,,,False,0
scienceworld-30,True,0.6666666666666666,1,3,26,10,False,0.2,0.043478260869565216,False,0.1111111111111111,0.4740858271643904,,,,,,False,0
scienceworld-31,False,0.42857142857142855,1,0,27,11,False,0.25,0.028379414898946995,False,0.09090909090909091,0.443771496634454,,,,,,False,0
scienceworld-32,True,0.5714285714285714,1,3,31,11,False,0.25,0.038122124027073566,False,0.09090909090909091,0.4097792989873767,,,,,,False,0
scienceworld-33,True,0.9,1,0,32,12,False,0.3,0.02680100840691232,False,0.07575757575757576,0.3908740045510606,,,,,,False,0
scienceworld-34,True,1.0,1,3,36,13,False,0.35,0.02041137315316859,False,0.0641025641025641,0.3976866747092859,,,,,,False,0
scienceworld-35,True,1.0,1,0,37,14,False,0.35,0.01027222585602276,False,0.06593406593406594,0.3737698599113969,,,,,,False,0
scienceworld-36,True,1.0,1,3,41,14,False,0.35,0.013705704713457662,False,0.054945054945054944,0.34251325037499397,,,,,,False,0
scienceworld-37,True,0.9,1,0,42,15,False,0.35,0.01336306209562122,False,0.05714285714285714,0.3283977226574591,,,,,,False,0
scienceworld-38,True,1.0,1,0,43,16,False,0.35,0.01200925068591447,False,0.058333333333333334,0.31456498260665844,,,,,,False,0
scienceworld-39,True,1.0,1,0,44,17,False,0.35,0.014492753623188406,False,0.0661764705882353,0.30121790597789344,,,,,,False,0
