task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-0,True,1.0,1,0,1,1,False,0.1,nan,True,0.0,1.0,,,,,,False,0
scienceworld-1,True,1.0,1,0,2,2,False,0.1,1.0,False,1.0,0.9093653765389909,,,,,,False,0
scienceworld-2,True,1.0,1,0,3,3,False,0.1,0.35355339059327373,False,1.0,0.8296835997045404,,,,,,False,0
scienceworld-3,True,1.0,1,0,4,4,False,0.15,0.1924500897298753,False,1.0,0.7594656088019118,,,,,,False,0
scienceworld-4,True,1.0,1,3,8,3,False,0.15,0.14814814814814814,False,1.0,0.8164429880390739,,,,,,False,0
scienceworld-5,True,1.0,1,3,12,3,False,0.15,0.19245008972987523,False,1.0,0.7892931470571475,,,,,,False,0
scienceworld-6,True,1.0,1,0,13,4,False,0.15,0.1924500897298753,False,1.0,0.7346639295170414,,,,,,False,0
scienceworld-7,True,1.0,1,3,17,4,False,0.15,0.07575757575757576,False,1.0,0.766331929254897,,,,,,False,0
scienceworld-8,True,1.0,1,0,18,5,False,0.15,0.06666666666666667,False,1.0,0.7019356140372517,,,,,,False,0
scienceworld-9,True,1.0,1,3,22,4,False,0.2,0.1376041832307563,False,0.5,0.6785276310789032,,,,,,False,0
scienceworld-10,True,1.0,1,3,26,6,False,0.2,0.12820512820512822,False,0.3333333333333333,0.7036876255849663,,,,,,False,0
scienceworld-11,True,1.0,1,0,27,7,False,0.2,0.03402069087198859,False,0.3333333333333333,0.6366834568230028,,,,,,False,0
scienceworld-12,True,1.0,1,3,31,6,False,0.25,0.03978573400097129,False,0.26666666666666666,0.5815892395649446,,,,,,False,0
scienceworld-13,True,1.0,1,0,32,7,False,0.25,0.045360921162651446,False,0.23809523809523808,0.5509985680780496,,,,,,False,0
scienceworld-14,True,1.0,1,3,36,8,False,0.25,0.04799548863609234,False,0.25,0.5609395327595473,,,,,,False,0
scienceworld-15,True,1.0,1,0,37,9,False,0.25,0.03074377309506728,False,0.19444444444444445,0.5193408409666094,,,,,,False,0
scienceworld-16,True,1.0,1,3,41,10,False,0.3,0.025641025641025644,False,0.15555555555555556,0.5156482814423061,,,,,,False,0
scienceworld-17,True,1.0,1,0,42,11,False,0.3,0.015616185976140144,False,0.14545454545454545,0.4747064598078422,,,,,,False,0
scienceworld-18,True,1.0,1,0,43,12,False,0.35,0.02680100840691232,False,0.12121212121212122,0.43960204588533586,,,,,,False,0
scienceworld-19,True,1.0,1,0,44,13,False,0.4,0.04373865675678984,False,0.10256410256410256,0.40915296684522084,,,,,,False,0
scienceworld-20,True,1.0,1,0,45,14,False,0.45,0.04108890342409104,False,0.08791208791208792,0.38248710833575833,,,,,,False,0
scienceworld-21,True,0.6,1,0,46,15,False,0.5,0.02741140942691532,False,0.0761904761904762,0.358943694366998,,,,,,False,0
scienceworld-22,True,1.0,1,0,47,16,False,0.5,0.016393580301407053,False,0.06666666666666667,0.33801085112657997,,,,,,False,0
scienceworld-23,True,1.0,1,0,48,17,False,0.5,0.009259259259259259,False,0.0661764705882353,0.31928459170954765,,,,,,False,0
scienceworld-24,True,1.0,1,0,49,18,False,0.55,0.013474201390907386,False,0.058823529411764705,0.3024409967600787,,,,,,False,0
scienceworld-25,True,1.0,1,0,50,19,False,0.6,0.012324301197151158,False,0.05263157894736842,0.28721681108961183,,,,,,False,0
scienceworld-26,True,1.0,1,3,54,18,False,0.6,0.01274531854836454,False,0.0457516339869281,0.31213698206715595,,,,,,False,0
scienceworld-27,True,1.0,1,3,58,20,False,0.6,0.009243225897863368,False,0.05263157894736842,0.330000531752198,,,,,,False,0
scienceworld-28,True,1.0,1,0,59,21,False,0.6,0.00828173324999922,False,0.05714285714285714,0.30493484178820146,,,,,,False,0
scienceworld-29,True,1.0,1,0,60,22,False,0.6,0.010209024104607832,False,0.06493506493506493,0.28376591753619806,,,,,,False,0
scienceworld-30,True,1.0,1,0,61,23,False,0.6,0.004737793696791343,False,0.05928853754940711,0.2657049319117422,,,,,,False,0
scienceworld-31,True,1.0,1,0,62,24,False,0.65,0.012135759548295358,False,0.05434782608695652,0.25014326570894146,,,,,,False,0
scienceworld-32,True,1.0,1,0,63,25,False,0.65,0.010309300264238964,False,0.05,0.23660798493881668,,,,,,False,0
scienceworld-33,True,0.8,1,3,67,23,False,0.7,0.017391304347826087,False,0.03557312252964427,0.23579821796597658,,,,,,False,0
scienceworld-34,True,1.0,1,0,68,24,False,0.7,0.005265515506491788,False,0.03260869565217391,0.22667795037932467,,,,,,False,0
scienceworld-35,True,1.0,1,0,69,25,False,0.7,0.006902748872577395,False,0.03333333333333333,0.21816468065942843,,,,,,False,0
scienceworld-36,True,1.0,1,0,70,26,False,0.7,0.007407407407407407,False,0.03076923076923077,0.2102097435493377,,,,,,False,0
scienceworld-37,True,1.0,1,3,74,26,False,0.7,0.014817663543773908,False,0.03076923076923077,0.2059648350961379,,,,,,False,0
scienceworld-38,True,1.0,1,3,78,27,False,0.7,0.009461743361929932,False,0.03133903133903134,0.20613491130051645,,,,,,False,0
scienceworld-39,True,1.0,1,0,79,28,False,0.7,0.010556334035815943,False,0.037037037037037035,0.19845581290885145,,,,,,False,0
scienceworld-40,True,1.0,1,0,80,29,False,0.7,0.003841102367979951,False,0.03694581280788178,0.19136181242606473,,,,,,False,0
scienceworld-41,True,0.8333333333333334,1,0,81,30,False,0.7,0.004369302074754161,False,0.034482758620689655,0.18478467410469418,,,,,,False,0
scienceworld-42,True,1.0,1,0,82,31,False,0.75,0.004149413314433077,False,0.03225806451612903,0.1786666729551668,,,,,,False,0
scienceworld-43,True,1.0,1,0,83,32,False,0.75,0.00460526415453269,False,0.03024193548387097,0.17295865283294243,,,,,,False,0
scienceworld-44,True,1.0,1,0,84,33,False,0.75,0.00564180942436075,False,0.028409090909090908,0.16761849026450246,,,,,,False,0
scienceworld-45,True,1.0,1,3,88,33,False,0.75,0.00598205003284185,False,0.02462121212121212,0.1812407407684805,,,,,,False,0
scienceworld-46,True,0.8,1,0,89,34,False,0.75,0.004736806964780894,False,0.026737967914438502,0.1734347985255014,,,,,,False,0
scienceworld-47,True,1.0,1,0,90,35,False,0.75,0.0067920231739607454,False,0.02689075630252101,0.16651079168652005,,,,,,False,0
scienceworld-48,True,1.0,1,0,91,36,False,0.75,0.006501186574834742,False,0.02857142857142857,0.16031840848775122,,,,,,False,0
scienceworld-49,True,1.0,1,3,95,35,False,0.75,0.004153686396677051,False,0.02689075630252101,0.1402400758284175,,,,,,False,0
scienceworld-50,True,1.0,1,3,99,35,False,0.75,0.0108551922625681,False,0.02857142857142857,0.12517710557597173,,,,,,False,0
scienceworld-51,True,1.0,1,0,100,36,False,0.75,0.009055224157805535,False,0.03333333333333333,0.12741728075199468,,,,,,False,0
scienceworld-52,True,1.0,1,3,104,35,False,0.75,0.007729468599033816,False,0.02857142857142857,0.10274757768454262,,,,,,False,0
scienceworld-53,True,1.0,1,0,105,36,False,0.75,0.01077877890088543,False,0.03333333333333333,0.1095636404975317,,,,,,False,0
scienceworld-54,True,1.0,1,0,106,37,False,0.75,0.011299435028248588,False,0.03903903903903904,0.11430574022168481,,,,,,False,0
scienceworld-55,True,1.0,1,0,107,38,False,0.75,0.0054346772662928035,False,0.04551920341394026,0.11743863464723521,,,,,,False,0
scienceworld-56,True,1.0,1,0,108,39,False,0.75,0.006541186335917846,False,0.05263157894736842,0.11932624686761212,,,,,,False,0
scienceworld-57,True,1.0,1,3,112,35,False,0.75,0.00672454189207715,False,0.02857142857142857,0.0739198962505122,,,,,,False,0
scienceworld-58,True,1.0,1,0,113,36,False,0.75,0.013393154856353541,False,0.03333333333333333,0.08661714531561068,,,,,,False,0
scienceworld-59,True,1.0,1,0,114,37,False,0.8,0.010666666666666666,False,0.03153153153153153,0.09602649573226318,,,,,,False,0
