task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-20,True,1.0,1,0,1,1,False,0.05,nan,True,0.0,1.0,,,,,,False,0
scienceworld-21,True,0.6,1,0,2,2,False,0.1,1.0,False,0.0,0.9093653765389909,,,,,,False,0
scienceworld-22,True,0.5,1,0,3,3,False,0.1,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
scienceworld-23,True,0.5,1,0,4,4,False,0.1,0.19245008972987523,False,0.16666666666666666,0.7594656088019118,,,,,,False,0
scienceworld-24,True,0.75,1,3,8,5,False,0.15,0.16666666666666666,False,0.0,0.7336921292493775,,,,,,False,0
scienceworld-25,True,0.7,1,0,9,6,False,0.2,0.07453559924999298,False,0.0,0.6672469245897755,,,,,,False,0
scienceworld-26,True,0.625,1,0,10,7,False,0.2,0.045360921162651446,False,0.047619047619047616,0.6111104946214466,,,,,,False,0
scienceworld-27,True,0.75,1,0,11,8,False,0.2,0.04199605255658081,False,0.07142857142857142,0.5627930860408655,,,,,,False,0
scienceworld-28,True,0.7,1,0,12,9,False,0.2,0.03367175148507368,False,0.1111111111111111,0.5206897841433951,,,,,,False,0
scienceworld-29,True,0.625,1,3,16,9,False,0.2,0.037037037037037035,False,0.16666666666666666,0.48307687252355347,,,,,,False,0
scienceworld-30,False,0.42857142857142855,1,0,17,10,False,0.2,0.04,False,0.13333333333333333,0.45595890247218857,,,,,,False,0
scienceworld-31,False,0.42857142857142855,1,0,18,11,False,0.25,0.04517539514526256,False,0.10909090909090909,0.43027961417605914,,,,,,False,0
scienceworld-32,False,0.42857142857142855,1,0,19,12,False,0.25,0.04214674709151534,False,0.09090909090909091,0.4062595565027627,,,,,,False,0
scienceworld-33,True,0.9,1,0,20,13,False,0.3,0.025471335405424667,False,0.07692307692307693,0.38395433166827736,,,,,,False,0
scienceworld-34,True,1.0,1,3,24,11,False,0.3,0.019989196260368616,False,0.09090909090909091,0.36820706918798685,,,,,,False,0
scienceworld-35,True,1.0,1,0,25,12,False,0.3,0.010579345423781179,False,0.09090909090909091,0.35967391345784067,,,,,,False,0
scienceworld-36,True,1.0,1,0,26,13,False,0.3,0.0140817138826738,False,0.07692307692307693,0.3487471637180087,,,,,,False,0
scienceworld-37,True,0.9,1,0,27,14,False,0.3,0.014707959748396227,False,0.07692307692307693,0.3365635974143229,,,,,,False,0
scienceworld-38,True,1.0,1,0,28,15,False,0.3,0.015163758406378687,False,0.0761904761904762,0.3238513030650191,,,,,,False,0
scienceworld-39,True,1.0,1,3,32,15,False,0.3,0.015491933384829668,False,0.0761904761904762,0.34399979422446453,,,,,,False,0
