task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-0,True,1.0,1,0,1,1,False,0.1,nan,True,0.0,1.0,,,,,,False,0
scienceworld-1,True,1.0,1,0,2,2,False,0.1,1.0,False,1.0,0.9093653765389909,,,,,,False,0
scienceworld-2,True,1.0,1,0,3,3,False,0.1,0.35355339059327373,False,1.0,0.8296835997045404,,,,,,False,0
scienceworld-3,True,1.0,1,0,4,4,False,0.15,0.1924500897298753,False,1.0,0.7594656088019118,,,,,,False,0
scienceworld-4,True,1.0,1,3,8,3,False,0.15,0.14814814814814814,False,1.0,0.8164429880390739,,,,,,False,0
scienceworld-5,True,1.0,1,0,9,4,False,0.15,0.19245008972987523,False,1.0,0.7513352368318514,,,,,,False,0
scienceworld-6,True,1.0,1,0,10,5,False,0.15,0.08333333333333333,False,1.0,0.6921130114122925,,,,,,False,0
scienceworld-7,True,1.0,1,0,11,6,False,0.15,0.06880209161537815,False,1.0,0.6388785058738801,,,,,,False,0
scienceworld-8,True,1.0,1,0,12,7,False,0.15,0.05953620902598003,False,1.0,0.5912024116338209,,,,,,False,0
scienceworld-9,True,1.0,1,3,16,4,False,0.2,0.09283337933559965,False,0.5,0.6785276310789032,,,,,,False,0
scienceworld-10,True,1.0,1,0,17,5,False,0.2,0.13636363636363635,False,0.4,0.6444251507019596,,,,,,False,0
scienceworld-11,True,1.0,1,0,18,6,False,0.2,0.05323971374999498,False,0.4,0.6063422407805061,,,,,,False,0
scienceworld-12,True,1.0,1,0,19,7,False,0.25,0.048029210642807414,False,0.2857142857142857,0.5683694623576125,,,,,,False,0
scienceworld-13,True,1.0,1,0,20,8,False,0.25,0.05039526306789696,False,0.25,0.5321738631997539,,,,,,False,0
scienceworld-14,True,1.0,1,3,24,8,False,0.25,0.0409916974600897,False,0.25,0.5609395327595473,,,,,,False,0
scienceworld-15,True,1.0,1,0,25,9,False,0.25,0.032141217326661246,False,0.19444444444444445,0.5193408409666094,,,,,,False,0
scienceworld-16,True,1.0,1,0,26,10,False,0.3,0.02666666666666667,False,0.15555555555555556,0.48268028604587,,,,,,False,0
scienceworld-17,True,1.0,1,0,27,11,False,0.3,0.02635231383473649,False,0.14545454545454545,0.4501683582638462,,,,,,False,0
scienceworld-18,True,1.0,1,0,28,12,False,0.35,0.029178517217202934,False,0.12121212121212122,0.42118612239213443,,,,,,False,0
scienceworld-19,True,1.0,1,3,32,12,False,0.4,0.03962207729732726,False,0.09090909090909091,0.42498807390485044,,,,,,False,0
scienceworld-20,True,1.0,1,0,33,13,False,0.45,0.03962207729732726,False,0.07692307692307693,0.3981084361205654,,,,,,False,0
scienceworld-21,True,1.0,1,0,34,14,False,0.5,0.02748514485800685,False,0.06593406593406594,0.37409050401799615,,,,,,False,0
scienceworld-22,True,1.0,1,0,35,15,False,0.5,0.008908708063747479,False,0.05714285714285714,0.352527440069044,,,,,,False,0
scienceworld-23,True,0.5,1,0,36,16,False,0.5,0.010007708904928725,False,0.058333333333333334,0.3330859904578577,,,,,,False,0
scienceworld-24,True,1.0,1,3,40,16,False,0.55,0.014492753623188406,False,0.05,0.3235446066666984,,,,,,False,0
scienceworld-25,True,1.0,1,0,41,17,False,0.6,0.007246376811594203,False,0.04411764705882353,0.308137335972278,,,,,,False,0
scienceworld-26,True,1.0,1,0,42,18,False,0.6,0.008249511055657584,False,0.0457516339869281,0.2938214290691359,,,,,,False,0
scienceworld-27,True,1.0,1,0,43,19,False,0.6,0.009065471553673687,False,0.04678362573099415,0.2805311325294739,,,,,,False,0
scienceworld-28,True,1.0,1,0,44,20,False,0.6,0.008342390322565882,False,0.05263157894736842,0.26819549212779153,,,,,,False,0
scienceworld-29,True,1.0,1,3,48,20,False,0.6,0.01028077231034386,False,0.05789473684210526,0.24512735728622567,,,,,,False,0
scienceworld-30,True,1.0,1,0,49,21,False,0.6,0.010106521932202439,False,0.05238095238095238,0.23875552936282576,,,,,,False,0
scienceworld-31,True,1.0,1,0,50,22,False,0.65,0.011732144636343677,False,0.047619047619047616,0.23204574461326952,,,,,,False,0
scienceworld-32,True,1.0,1,0,51,23,False,0.65,0.013120044083422181,False,0.043478260869565216,0.22520111822551264,,,,,,False,0
scienceworld-33,True,0.9,1,0,52,24,False,0.7,0.018398330652094834,False,0.03985507246376811,0.21836328607216182,,,,,,False,0
scienceworld-34,True,1.0,1,3,56,24,False,0.7,0.007666634562701654,False,0.03260869565217391,0.23145745088615702,,,,,,False,0
scienceworld-35,True,1.0,1,0,57,25,False,0.7,0.006615134336220002,False,0.03333333333333333,0.22192127974675202,,,,,,False,0
scienceworld-36,True,1.0,1,0,58,26,False,0.7,0.007111111111111111,False,0.03076923076923077,0.21316709277989204,,,,,,False,0
scienceworld-37,True,0.9,1,0,59,27,False,0.7,0.013409650265858738,False,0.03133903133903134,0.2050995486844908,,,,,,False,0
scienceworld-38,True,1.0,1,0,60,28,False,0.7,0.009503708134808655,False,0.03439153439153439,0.19763840409503564,,,,,,False,0
scienceworld-39,True,1.0,1,3,64,28,False,0.7,0.009749083629206257,False,0.037037037037037035,0.2040551963758353,,,,,,False,0
scienceworld-40,True,1.0,1,0,65,29,False,0.7,0.0029644272392880568,False,0.03694581280788178,0.19578811754315062,,,,,,False,0
scienceworld-41,True,0.8333333333333334,1,0,66,30,False,0.7,0.0042203485949329975,False,0.034482758620689655,0.18828782782249665,,,,,,False,0
scienceworld-42,True,1.0,1,0,67,31,False,0.75,0.0026750796459348775,False,0.03225806451612903,0.1814422920018033,,,,,,False,0
scienceworld-43,True,1.0,1,0,68,32,False,0.75,0.003821389404824998,False,0.03024193548387097,0.175160122359243,,,,,,False,0
scienceworld-44,True,1.0,1,3,72,32,False,0.75,0.005467320473091862,False,0.024193548387096774,0.18291651381519933,,,,,,False,0
scienceworld-45,True,1.0,1,0,73,33,False,0.75,0.006074800525657624,False,0.02462121212121212,0.1755242425273379,,,,,,False,0
scienceworld-46,True,1.0,1,0,74,34,False,0.75,0.004642070825485276,False,0.026737967914438502,0.16889218070114823,,,,,,False,0
scienceworld-47,True,1.0,1,0,75,35,False,0.75,0.007215150831238235,False,0.02689075630252101,0.1628978730860213,,,,,,False,0
scienceworld-48,True,1.0,1,0,76,36,False,0.75,0.00691006623362938,False,0.02857142857142857,0.15744256779800528,,,,,,False,0
scienceworld-49,True,1.0,1,3,80,35,False,0.75,0.004077471967380225,False,0.02689075630252101,0.1401453932928304,,,,,,False,0
scienceworld-50,True,1.0,1,0,81,36,False,0.75,0.010152003059802,False,0.03015873015873016,0.13933186163018652,,,,,,False,0
scienceworld-51,True,1.0,1,0,82,37,False,0.75,0.008771929824561403,False,0.03453453453453453,0.13801919135158464,,,,,,False,0
scienceworld-52,True,1.0,1,0,83,38,False,0.75,0.007025597748092193,False,0.03982930298719772,0.13634264709358915,,,,,,False,0
scienceworld-53,True,1.0,1,0,84,39,False,0.75,0.00991353129132438,False,0.04588394062078273,0.13440668946153925,,,,,,False,0
scienceworld-54,True,1.0,1,3,88,35,False,0.75,0.009546935999219285,False,0.02857142857142857,0.08767778375752174,,,,,,False,0
scienceworld-55,True,1.0,1,0,89,36,False,0.75,0.011175593450955592,False,0.03333333333333333,0.09756826187055967,,,,,,False,0
scienceworld-56,True,1.0,1,0,90,37,False,0.75,0.005376344086021505,False,0.03903903903903904,0.10475018688217702,,,,,,False,0
scienceworld-57,True,1.0,1,0,91,38,False,0.75,0.006040907670013129,False,0.04551920341394026,0.1098210888808119,,,,,,False,0
scienceworld-58,True,1.0,1,0,92,39,False,0.75,0.005823333066232502,False,0.05263157894736842,0.11324944375699442,,,,,,False,0
scienceworld-59,True,1.0,1,3,96,35,False,0.8,0.009631768649930053,False,0.023529411764705882,0.06837602888207095,,,,,,False,0
scienceworld-60,True,1.0,1,0,97,36,False,0.8,0.0082986722686521,False,0.023809523809523808,0.08220429212968035,,,,,,False,0
