task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-20,True,0.75,1,3,4,2,False,0.05,nan,True,1.0,1.0,,,,,,False,0
scienceworld-21,True,1.0,1,3,8,3,False,0.1,0.35355339059327373,False,0.0,0.9395769176926606,,,,,,False,0
scienceworld-22,True,1.0,1,3,12,5,False,0.1,0.1924500897298753,False,0.1,0.8615563104383206,,,,,,False,0
scienceworld-23,True,1.0,1,3,16,6,False,0.1,0.08518354199999197,False,0.26666666666666666,0.7846970802072145,,,,,,False,0
scienceworld-24,True,0.875,1,3,20,6,False,0.15,0.09072184232530289,False,0.06666666666666667,0.7028787137234856,,,,,,False,0
scienceworld-25,True,0.8,1,3,24,7,False,0.2,0.061855801585433794,False,0.047619047619047616,0.6620113940825563,,,,,,False,0
scienceworld-26,True,0.75,1,3,28,9,False,0.2,0.038765586975305355,False,0.1111111111111111,0.6437848456182125,,,,,,False,0
scienceworld-27,True,0.875,1,3,32,10,False,0.2,0.03472222222222222,False,0.08888888888888889,0.592504731018074,,,,,,False,0
scienceworld-28,True,0.8,1,3,36,10,False,0.2,0.029280348705262766,False,0.1111111111111111,0.5213556940130984,,,,,,False,0
scienceworld-29,True,0.75,1,3,40,10,False,0.2,0.03689323936863109,False,0.1111111111111111,0.46310378936524155,,,,,,False,0
scienceworld-30,True,0.6666666666666666,1,3,44,10,False,0.2,0.03353930851693735,False,0.06666666666666667,0.415411163604675,,,,,,False,0
scienceworld-31,True,0.5714285714285714,1,3,48,11,False,0.25,0.03513641844631532,False,0.05454545454545454,0.4165789268247801,,,,,,False,0
scienceworld-32,True,0.5714285714285714,1,3,52,12,False,0.25,0.03865530058689278,False,0.045454545454545456,0.4110829175128654,,,,,,False,0
scienceworld-33,True,1.0,1,3,56,13,False,0.3,0.02322673496739874,False,0.038461538461538464,0.40154338203966494,,,,,,False,0
scienceworld-34,True,1.0,1,3,60,14,False,0.35,0.01444531761003201,False,0.03296703296703297,0.38964972495304345,,,,,,False,0
scienceworld-35,True,1.0,1,3,64,15,False,0.35,0.010480833016173504,False,0.0380952380952381,0.37650161502573937,,,,,,False,0
scienceworld-36,True,1.0,1,3,68,15,False,0.35,0.014344382763731173,False,0.02857142857142857,0.3324226837280358,,,,,,False,0
scienceworld-37,True,1.0,1,3,72,16,False,0.35,0.018119220333134112,False,0.03333333333333333,0.32898370998468096,,,,,,False,0
scienceworld-38,True,1.0,1,3,76,18,False,0.35,0.014227642276422765,False,0.0457516339869281,0.35053251611213,,,,,,False,0
scienceworld-39,True,1.0,1,3,80,19,False,0.35,0.016070608663330627,False,0.05263157894736842,0.33405898752781527,,,,,,False,0
