task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-0,True,1.0,1,3,4,2,False,0.1,nan,True,1.0,1.0,,,,,,False,0
scienceworld-1,True,1.0,1,3,8,3,False,0.1,0.35355339059327373,False,1.0,0.9395769176926606,,,,,,False,0
scienceworld-2,True,1.0,1,3,12,3,False,0.1,0.1924500897298753,False,1.0,0.8901066820118798,,,,,,False,0
scienceworld-3,True,1.0,1,3,16,3,False,0.15,0.1924500897298753,False,1.0,0.8496038786980088,,,,,,False,0
scienceworld-4,True,1.0,1,3,20,3,False,0.15,0.19245008972987523,False,1.0,0.8164429880390739,,,,,,False,0
scienceworld-5,True,1.0,1,3,24,3,False,0.15,0.19245008972987523,False,1.0,0.7892931470571475,,,,,,False,0
scienceworld-6,True,1.0,1,3,28,3,False,0.15,0.1924500897298753,False,1.0,0.7670647373040674,,,,,,False,0
scienceworld-7,True,1.0,1,3,32,4,False,0.15,0.1924500897298753,False,1.0,0.766331929254897,,,,,,False,0
scienceworld-8,True,1.0,1,3,36,4,False,0.15,0.06060606060606061,False,1.0,0.7180541410075737,,,,,,False,0
scienceworld-9,True,1.0,1,3,40,4,False,0.2,0.16666666666666666,False,0.5,0.6785276310789032,,,,,,False,0
scienceworld-10,True,1.0,1,3,44,6,False,0.2,0.13095238095238096,False,0.3333333333333333,0.7036876255849663,,,,,,False,0
scienceworld-11,True,1.0,1,3,48,6,False,0.2,0.03201947376187161,False,0.3333333333333333,0.6365537819341758,,,,,,False,0
scienceworld-12,True,1.0,1,3,52,6,False,0.25,0.037800767635542874,False,0.26666666666666666,0.5815892395649446,,,,,,False,0
scienceworld-13,True,1.0,1,3,56,7,False,0.25,0.042973504259354006,False,0.23809523809523808,0.576894174781195,,,,,,False,0
scienceworld-14,True,1.0,1,3,60,8,False,0.25,0.04799548863609234,False,0.25,0.5609395327595473,,,,,,False,0
scienceworld-15,True,1.0,1,3,64,9,False,0.25,0.029462782549439476,False,0.19444444444444445,0.5394818684023891,,,,,,False,0
scienceworld-16,True,1.0,1,3,68,10,False,0.3,0.02136752136752137,False,0.15555555555555556,0.5156482814423061,,,,,,False,0
scienceworld-17,True,1.0,1,3,72,11,False,0.3,0.015058465048420852,False,0.12727272727272726,0.49118548225529834,,,,,,False,0
scienceworld-18,True,1.0,1,3,76,11,False,0.35,0.02345088235604828,False,0.10909090909090909,0.4351067046827646,,,,,,False,0
scienceworld-19,True,1.0,1,3,80,12,False,0.4,0.050251890762960605,False,0.09090909090909091,0.42498807390485044,,,,,,False,0
scienceworld-20,True,1.0,1,3,84,13,False,0.45,0.04673787893439827,False,0.07692307692307693,0.41205222434533606,,,,,,False,0
scienceworld-21,True,1.0,1,3,88,14,False,0.5,0.02432895597479075,False,0.06593406593406594,0.3976390721583076,,,,,,False,0
scienceworld-22,True,1.0,1,3,92,15,False,0.5,0.00668153104781061,False,0.05714285714285714,0.3826066643294423,,,,,,False,0
scienceworld-23,True,1.0,1,3,96,16,False,0.5,0.008196790150703527,False,0.058333333333333334,0.3675029302005314,,,,,,False,0
scienceworld-24,True,1.0,1,3,100,17,False,0.55,0.00946969696969697,False,0.058823529411764705,0.3526732035144209,,,,,,False,0
scienceworld-25,True,1.0,1,3,104,18,False,0.6,0.00688044326344207,False,0.05228758169934641,0.33832911136035465,,,,,,False,0
scienceworld-26,True,1.0,1,3,108,19,False,0.6,0.006413666949537846,False,0.05263157894736842,0.32459354280541225,,,,,,False,0
scienceworld-27,True,1.0,1,3,112,20,False,0.6,0.008996695445904382,False,0.05263157894736842,0.31153044230415994,,,,,,False,0
scienceworld-28,True,1.0,1,3,116,20,False,0.6,0.00828173324999922,False,0.05789473684210526,0.2731864783266035,,,,,,False,0
scienceworld-29,True,1.0,1,3,120,20,False,0.6,0.010647942749998996,False,0.05789473684210526,0.24179309582326364,,,,,,False,0
scienceworld-30,True,1.0,1,3,124,20,False,0.6,0.01028077231034386,False,0.04736842105263158,0.2160903681246391,,,,,,False,0
scienceworld-31,True,1.0,1,3,128,21,False,0.65,0.01242259987499883,False,0.04285714285714286,0.22474599254636665,,,,,,False,0
scienceworld-32,True,1.0,1,3,132,22,False,0.65,0.014078573563612412,False,0.03896103896103896,0.22933658260116677,,,,,,False,0
scienceworld-33,True,0.9,1,3,136,23,False,0.7,0.018586729118181423,False,0.03557312252964427,0.23096075358749857,,,,,,False,0
scienceworld-34,True,0.875,1,3,140,24,False,0.7,0.007154906364703547,False,0.03260869565217391,0.2304352790163954,,,,,,False,0
