task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,3,4,2,True,0.0,nan,True,0.0,0.0,0.5,0.5,0.5,2.079973960405806,,True,0
alfworld-1,True,1.0,1,3,8,3,True,1.0,0.35355339059327373,False,1.0,1.0,0.55,0.55,0.24749999999999997,1.6616102145997045,,True,0
alfworld-2,True,0.6666666666666666,1,3,12,5,True,1.0,0.1924500897298753,False,0.0,0.9395769176926606,0.4,0.4,0.24000000000000005,1.4946380696234693,,True,0
alfworld-3,True,1.0,1,3,16,6,False,1.0,0.08518354199999197,False,0.1,0.8615563104383206,0.35,0.35,0.22749999999999998,1.4157507028287548,,False,0
alfworld-4,True,1.0,1,3,20,8,False,1.0,0.07560153527108575,False,0.06666666666666667,0.7846970802072145,0.35,0.35,0.22749999999999998,1.4157507028287548,,False,0
alfworld-5,True,1.0,1,3,24,9,True,1.0,0.04910463758239913,False,0.07142857142857142,0.7318417235621096,0.4,0.4,0.24000000000000005,1.4946380696234693,,True,0
alfworld-6,True,1.0,1,3,28,10,False,1.0,0.03968253968253968,False,0.05555555555555555,0.6638577611832415,0.35,0.35,0.22749999999999998,1.4157507028287548,,False,0
alfworld-7,True,1.0,1,3,32,11,False,1.0,0.043403811021918925,False,0.044444444444444446,0.6072956129673982,0.3,0.3,0.20999999999999996,1.3239401547626555,,False,0
alfworld-8,True,0.6666666666666666,1,3,36,11,True,1.0,0.04760705440701531,False,0.05454545454545454,0.5593986538526857,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-9,True,1.0,1,3,40,12,True,1.0,0.0191435774335088,False,0.03636363636363636,0.4909549260345311,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-10,True,1.0,1,3,44,14,True,1.0,0.020918488014116877,False,0.030303030303030304,0.4669023422031316,0.4,0.4,0.24000000000000005,1.4946380696234693,,True,0
alfworld-11,True,1.0,1,3,48,15,True,1.0,0.023984983248550907,False,0.04395604395604396,0.47051483392500876,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-12,True,0.6666666666666666,1,3,52,16,True,1.0,0.021516574145596757,False,0.0380952380952381,0.43829458315433295,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-13,True,0.6666666666666666,1,3,56,17,True,1.0,0.01881720430107527,False,0.03333333333333333,0.41024675368507657,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-14,True,1.0,1,3,60,18,True,1.0,0.026948402781814776,False,0.029411764705882353,0.3856103167294176,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-15,True,1.0,1,3,64,19,True,1.0,0.008729713347982069,False,0.026143790849673203,0.36379759289448754,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-16,True,0.6666666666666666,1,3,68,20,True,1.0,0.014086931027139754,False,0.017543859649122806,0.34434790718391123,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-17,True,1.0,1,3,72,21,True,1.0,0.011180339887498949,False,0.015789473684210527,0.326895272647136,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-18,True,1.0,1,3,76,22,True,1.0,0.013855104141967771,False,0.014285714285714285,0.311145404855355,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-19,True,0.6666666666666666,1,3,80,23,True,1.0,0.011306098594615704,False,0.017316017316017316,0.2968590814197984,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-20,True,1.0,1,3,84,23,True,1.0,0.024175584238501423,False,0.019762845849802372,0.2838399022294411,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-21,True,1.0,1,3,88,24,True,1.0,0.021276981026232118,False,0.019762845849802372,0.24815100011650137,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-22,False,0.3333333333333333,1,3,92,25,True,1.0,0.009159416773227695,False,0.025362318840579712,0.24392303819075337,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-23,True,1.0,1,3,96,25,True,1.0,0.016969696969696968,False,0.023333333333333334,0.23896977091782617,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-24,True,1.0,1,3,100,26,True,1.0,0.009195402298850575,False,0.023333333333333334,0.2101534402601861,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-25,True,1.0,1,3,104,27,True,1.0,0.006430037217645378,False,0.021538461538461538,0.21087485988753032,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-26,True,1.0,1,3,108,28,True,1.0,0.005091272215076065,False,0.019943019943019943,0.2100060111402311,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-27,True,1.0,1,3,112,29,True,1.0,0.011629676092591607,False,0.018518518518518517,0.2079859106256828,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-28,True,1.0,1,3,116,30,True,1.0,0.005461627593442702,False,0.017241379310344827,0.20514600557016974,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-29,True,1.0,1,3,120,30,True,1.0,0.013714492832680216,False,0.01839080459770115,0.20173634040775867,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-30,True,1.0,1,3,124,31,True,1.0,0.007503048732947481,False,0.016091954022988506,0.17725236236670824,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-31,True,1.0,1,3,128,32,True,1.0,0.010240653185737166,False,0.015053763440860216,0.17854606615104546,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-32,True,1.0,1,3,132,33,True,1.0,0.0030218238512245616,False,0.016129032258064516,0.1785276580653023,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-33,True,1.0,1,3,136,33,True,1.0,0.007253235664820744,False,0.01893939393939394,0.1775328464478705,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-34,True,1.0,1,3,140,34,True,1.0,0.005592856416247321,False,0.017045454545454544,0.1563376160333135,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-35,True,1.0,1,3,144,35,True,1.0,0.011433239009500587,False,0.016042780748663103,0.15897696801562547,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-36,True,0.6666666666666666,1,3,148,36,True,1.0,0.006402683747943306,False,0.015126050420168067,0.16019104457910244,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-37,True,1.0,1,3,152,36,True,1.0,0.007936507936507938,False,0.015873015873015872,0.1603232210189699,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-38,True,0.6666666666666666,1,3,156,37,True,1.0,0.0059101654846335705,False,0.014285714285714285,0.14133206519863886,0.5,0.5,0.25,1.617210301501111,,True,0
alfworld-39,True,1.0,1,3,160,38,True,1.0,0.00960406455048479,False,0.013513513513513514,0.1445117281403067,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-40,True,1.0,1,3,164,38,True,1.0,0.01243697562002513,False,0.01422475106685633,0.14628864471715344,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-41,True,1.0,1,3,168,39,True,1.0,0.004724895761090172,False,0.01422475106685633,0.1293114989361386,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-42,True,1.0,1,3,172,40,True,1.0,0.0040283812278009345,False,0.014844804318488529,0.13344560721374,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-43,True,1.0,1,3,176,41,True,1.0,0.004835286942153486,False,0.014102564102564103,0.136056353099878,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-44,True,1.0,1,3,180,42,True,1.0,0.010786776346660478,False,0.013414634146341463,0.1374880503488365,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-45,True,1.0,1,3,184,43,True,1.0,0.0027070763151244193,False,0.016260162601626018,0.13801101766610474,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-46,True,1.0,1,3,188,43,True,1.0,0.005696785673344427,False,0.016611295681063124,0.13783747797322835,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-47,True,1.0,1,3,192,44,True,1.0,0.0034173349094141106,False,0.015503875968992248,0.12128290990720578,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-48,True,1.0,1,3,196,44,True,1.0,0.005398963470400726,False,0.015856236786469344,0.1238883026810475,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-49,True,0.6666666666666666,1,3,200,45,True,1.0,0.0024315431014335777,False,0.017970401691331923,0.10967067457533507,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-50,True,1.0,1,3,204,45,True,1.0,0.009070469749999146,False,0.01919191919191919,0.1140458316064429,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-51,True,1.0,1,3,208,45,True,1.0,0.00385196895348801,False,0.01818181818181818,0.10142924057085961,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-52,True,0.6666666666666666,1,3,212,46,True,1.0,0.0075288484090902,False,0.01717171717171717,0.0910996494910196,0.5,0.5,0.25,1.617210301501111,,True,0
alfworld-53,True,1.0,1,3,216,47,True,1.0,0.0036405421272814108,False,0.01642512077294686,0.09864441424790298,0.5,0.5,0.25,1.617210301501111,,True,0
alfworld-54,True,1.0,1,3,220,48,True,1.0,0.00810361063877192,False,0.01572617946345976,0.10417823750790704,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-55,True,1.0,1,3,224,49,True,1.0,0.004435906323560955,False,0.015957446808510637,0.1081267460173696,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-56,True,1.0,1,3,228,49,True,1.0,0.004629629629629629,False,0.016156462585034014,0.11082756065849607,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-57,True,1.0,1,3,232,49,True,1.0,0.0045351473922902496,False,0.016156462585034014,0.09813667697205347,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-58,True,1.0,1,3,236,50,True,1.0,0.0038095238095238095,False,0.015306122448979591,0.08774626021422725,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-59,True,1.0,1,3,240,50,True,1.0,0.0030810752992877885,False,0.015510204081632653,0.09402913540931176,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-60,True,1.0,1,3,244,51,True,1.0,0.0030218238512245616,False,0.0163265306122449,0.08423531472181808,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-61,True,0.6666666666666666,1,3,248,52,True,1.0,0.007926113683177414,False,0.017254901960784313,0.09077590940823066,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-62,True,1.0,1,3,252,52,True,1.0,0.0017120376426704605,False,0.017345399698340876,0.09560849440673318,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
