task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,3,4,2,True,0.0,nan,True,0.0,0.0,0.5,0.5,0.5,2.079973960405806,,True,0
alfworld-1,True,0.6666666666666666,1,3,8,3,True,1.0,0.35355339059327373,False,1.0,1.0,0.55,0.55,0.24749999999999997,1.6616102145997045,,True,0
alfworld-2,True,1.0,1,3,12,5,True,1.0,0.1924500897298753,False,0.0,0.9395769176926606,0.4,0.4,0.24000000000000005,1.4946380696234693,,True,0
alfworld-3,True,0.6666666666666666,1,3,16,6,False,1.0,0.08518354199999197,False,0.1,0.8615563104383206,0.35,0.35,0.22749999999999998,1.4157507028287548,,False,0
alfworld-4,True,0.6666666666666666,1,3,20,8,False,1.0,0.07560153527108575,False,0.06666666666666667,0.7846970802072145,0.35,0.35,0.22749999999999998,1.4157507028287548,,False,0
alfworld-5,True,0.6666666666666666,1,3,24,9,True,1.0,0.04910463758239913,False,0.07142857142857142,0.7318417235621096,0.4,0.4,0.24000000000000005,1.4946380696234693,,True,0
alfworld-6,True,0.6666666666666666,1,3,28,10,False,1.0,0.03968253968253968,False,0.05555555555555555,0.6638577611832415,0.35,0.35,0.22749999999999998,1.4157507028287548,,False,0
alfworld-7,True,0.6666666666666666,1,3,32,11,False,1.0,0.043403811021918925,False,0.044444444444444446,0.6072956129673982,0.3,0.3,0.20999999999999996,1.3239401547626555,,False,0
alfworld-8,False,0.3333333333333333,1,3,36,11,True,1.0,0.04760705440701531,False,0.05454545454545454,0.5593986538526857,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-9,False,0.5,1,3,40,11,True,1.0,0.0191435774335088,False,0.03636363636363636,0.4909549260345311,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-10,True,0.6666666666666666,1,3,44,11,True,1.0,0.022841768528618456,False,0.03636363636363636,0.4349179412145089,0.4,0.4,0.24000000000000005,1.4946380696234693,,True,0
alfworld-11,False,0.5,1,3,48,12,True,1.0,0.04606423319938056,False,0.03636363636363636,0.3890387384325928,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-12,True,0.6666666666666666,1,3,52,13,True,1.0,0.02590674284825244,False,0.030303030303030304,0.3904139182624741,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-13,True,0.6666666666666666,1,3,56,14,True,1.0,0.028691389459925647,False,0.05128205128205128,0.3859227555889193,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-14,False,0.3333333333333333,1,3,60,15,True,1.0,0.030623683969131964,False,0.04395604395604396,0.37777414392815817,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-15,True,0.6666666666666666,1,3,64,15,True,1.0,0.017719531649314977,False,0.0380952380952381,0.3674269051897126,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-16,False,0.3333333333333333,1,3,68,16,True,1.0,0.019125843684974896,False,0.0380952380952381,0.32499293971002147,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-17,True,0.6666666666666666,1,3,72,16,True,1.0,0.019736842105263157,False,0.03333333333333333,0.3232809350643258,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-18,True,0.6666666666666666,1,3,76,17,True,1.0,0.016666666666666666,False,0.03333333333333333,0.2873386992862219,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-19,False,0.3333333333333333,1,3,80,18,True,1.0,0.019248859129867693,False,0.03676470588235294,0.2909010424354657,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-20,True,0.6666666666666666,1,3,84,18,True,1.0,0.02856997095703222,False,0.032679738562091505,0.29056405273200653,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
alfworld-21,True,0.6666666666666666,1,3,88,19,True,1.0,0.015044825131628671,False,0.032679738562091505,0.25803475314644597,0.45,0.45,0.24750000000000005,1.5616102145997046,,True,0
