task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,8,6,False,1.0,0.1111111111111111,False,0.06666666666666667,0.7478652332208116,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,0,9,7,False,1.0,0.06804138174397717,False,0.047619047619047616,0.6676859419391847,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,0,10,8,False,1.0,0.04199605255658081,False,0.03571428571428571,0.603323137305519,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,0,11,9,False,1.0,0.05237828008789241,False,0.05555555555555555,0.5501859613826829,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,0,12,10,False,1.0,0.06349206349206349,False,0.044444444444444446,0.5054087498461997,,,,,,False,0
alfworld-9,False,0.5,1,3,16,11,False,1.0,0.01756820922315766,False,0.03636363636363636,0.49705607433656046,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,0,17,12,False,1.0,0.022334173672426932,False,0.030303030303030304,0.4563755028915943,,,,,,False,0
alfworld-11,False,0.5,1,0,18,13,False,1.0,0.035282516450477135,False,0.02564102564102564,0.4218295315404102,,,,,,False,0
alfworld-12,True,0.6666666666666666,1,0,19,14,False,1.0,0.0224121291404133,False,0.02197802197802198,0.39212446645514004,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,20,15,False,1.0,0.0222717701593687,False,0.01904761904761905,0.3663080690730441,,,,,,False,0
alfworld-14,False,0.3333333333333333,1,3,24,14,False,1.0,0.026481937409965243,False,0.02197802197802198,0.37243176430884356,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,0,25,15,False,1.0,0.00913713647563844,False,0.01904761904761905,0.35125991627189157,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,0,26,16,False,1.0,0.020491975376758818,False,0.016666666666666666,0.33211308978943244,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,0,27,17,False,1.0,0.014814814814814815,False,0.014705882352941176,0.31473995304504226,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,0,28,18,False,1.0,0.020211302086361082,False,0.0196078431372549,0.29892687440361304,,,,,,False,0
alfworld-19,True,0.6666666666666666,1,3,32,19,False,1.0,0.016945914146082836,False,0.03508771929824561,0.31776062151323525,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,0,33,20,False,1.0,0.026906783602102916,False,0.03684210526315789,0.29715237330255573,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,0,34,21,False,1.0,0.0196146313815771,False,0.04285714285714286,0.27932170130753436,,,,,,False,0
alfworld-22,True,0.6666666666666666,1,0,35,22,False,1.0,0.01697250257391052,False,0.03896103896103896,0.2637488456415161,,,,,,False,0
alfworld-23,True,0.6666666666666666,1,0,36,23,False,1.0,0.015792645655971143,False,0.03557312252964427,0.2500288870583301,,,,,,False,0
alfworld-24,False,0.5,1,3,40,23,False,1.0,0.008424824810386861,False,0.03162055335968379,0.259673344108043,,,,,,False,0
alfworld-25,False,0.5,1,0,41,24,False,1.0,0.017376201171422898,False,0.028985507246376812,0.24541077955186194,,,,,,False,0
alfworld-26,False,0.5,1,0,42,25,False,1.0,0.012458281164390185,False,0.02666666666666667,0.2328883382617125,,,,,,False,0
alfworld-27,False,0.5,1,0,43,26,False,1.0,0.013513513513513514,False,0.024615384615384615,0.2218008120847035,,,,,,False,0
alfworld-28,False,0.5,1,0,44,27,False,1.0,0.01018785117600956,False,0.02564102564102564,0.21190643680358698,,,,,,False,0
alfworld-29,True,0.6666666666666666,1,3,48,23,False,1.0,0.02325438584235993,False,0.03162055335968379,0.15049548983311326,,,,,,False,0
alfworld-30,False,0.5,1,0,49,24,False,1.0,0.01960391927032327,False,0.028985507246376812,0.15974798215399189,,,,,,False,0
alfworld-31,True,0.6666666666666666,1,0,50,25,False,1.0,0.0260405288155962,False,0.02666666666666667,0.16555896230236075,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,0,51,26,False,1.0,0.020634920634920634,False,0.027692307692307693,0.1687963595044433,,,,,,False,0
alfworld-33,True,0.6666666666666666,1,0,52,27,False,1.0,0.012773847882563713,False,0.02849002849002849,0.1701173345881948,,,,,,False,0
alfworld-34,True,0.6666666666666666,1,3,56,26,False,1.0,0.010691671651659735,False,0.027692307692307693,0.16434767200265438,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,0,57,27,False,1.0,0.01508585654909108,False,0.02564102564102564,0.16660995647774096,,,,,,False,0
alfworld-36,True,0.6666666666666666,1,0,58,28,False,1.0,0.007506918393718538,False,0.026455026455026454,0.16725124173954956,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,0,59,29,False,1.0,0.014936740342289048,False,0.024630541871921183,0.16669464078876453,,,,,,False,0
alfworld-38,True,0.6666666666666666,1,0,60,30,False,1.0,0.005570860145311556,False,0.02528735632183908,0.16526209449414725,,,,,,False,0
alfworld-39,True,0.6666666666666666,1,3,64,30,False,1.0,0.01772564911019955,False,0.02528735632183908,0.17141545650492213,,,,,,False,0
alfworld-40,True,0.6666666666666666,1,0,65,31,False,1.0,0.022236599556833662,False,0.025806451612903226,0.16807397334852994,,,,,,False,0
alfworld-41,True,0.6666666666666666,1,0,66,32,False,1.0,0.006154698823347426,False,0.028225806451612902,0.16455710168581147,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,0,67,33,False,1.0,0.010713739108887082,False,0.026515151515151516,0.16094832464247708,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,0,68,34,False,1.0,0.0041080272791905095,False,0.024955436720142603,0.15730942118702254,,,,,,False,0
alfworld-44,True,0.6666666666666666,1,3,72,34,False,1.0,0.013305924709332582,False,0.0285204991087344,0.16597762315874523,,,,,,False,0
alfworld-45,False,0.5,1,0,73,35,False,1.0,0.009607763873529906,False,0.02689075630252101,0.1605798134199143,,,,,,False,0
alfworld-46,False,0.5,1,0,74,36,False,1.0,0.003694663408649253,False,0.025396825396825397,0.15559741958234136,,,,,,False,0
alfworld-47,True,0.6666666666666666,1,0,75,37,False,1.0,0.0044444444444444444,False,0.025525525525525526,0.15097638190321833,,,,,,False,0
alfworld-48,True,0.6666666666666666,1,0,76,38,False,1.0,0.005993713078841151,False,0.02844950213371266,0.14667192772491064,,,,,,False,0
alfworld-49,True,0.6666666666666666,1,3,80,36,False,1.0,0.014034423202152485,False,0.031746031746031744,0.12574674973786268,,,,,,False,0
alfworld-50,True,0.6666666666666666,1,0,81,37,False,1.0,0.010178117048346055,False,0.03153153153153153,0.12719725189079994,,,,,,False,0
alfworld-51,False,0.5,1,0,82,38,False,1.0,0.004089527047396947,False,0.029871977240398292,0.12771555704500426,,,,,,False,0
alfworld-52,True,0.6666666666666666,1,0,83,39,False,1.0,0.01184097964458121,False,0.02834008097165992,0.1275245348607885,,,,,,False,0
alfworld-53,True,0.6666666666666666,1,0,84,40,False,1.0,0.004193832599657044,False,0.026923076923076925,0.12679805200093036,,,,,,False,0
alfworld-54,True,0.6666666666666666,1,3,88,39,False,1.0,0.007371276597129089,False,0.02834008097165992,0.12273124468612881,,,,,,False,0
alfworld-55,True,0.6666666666666666,1,0,89,40,False,1.0,0.010967681767471723,False,0.028205128205128206,0.1229717482783705,,,,,,False,0
alfworld-56,True,0.6666666666666666,1,0,90,41,False,1.0,0.004952112666930347,False,0.02804878048780488,0.12261536787830858,,,,,,False,0
alfworld-57,False,0.5,1,0,91,42,False,1.0,0.005822267438829611,False,0.026713124274099883,0.12180828266094275,,,,,,False,0
alfworld-58,False,0.5,1,0,92,43,False,1.0,0.006636703224175995,False,0.02547065337763012,0.12066474078496356,,,,,,False,0
alfworld-59,True,0.6666666666666666,1,3,96,40,False,1.0,0.0022520885914097738,False,0.029487179487179487,0.08482455813738733,,,,,,False,0
alfworld-60,True,0.6666666666666666,1,0,97,41,False,1.0,0.002305827460539443,False,0.03170731707317073,0.0921448530373953,,,,,,False,0
alfworld-61,True,0.6666666666666666,1,0,98,42,False,1.0,0.008623091147223648,False,0.0313588850174216,0.09745511480243409,,,,,,False,0
alfworld-62,True,0.6666666666666666,1,0,99,43,False,1.0,0.0024787686740898296,False,0.03433001107419712,0.10118974373039342,,,,,,False,0
alfworld-63,True,0.6666666666666666,1,0,100,44,False,1.0,0.004211005886896381,False,0.03382663847780127,0.10369153792705861,,,,,,False,0
alfworld-64,True,0.6666666666666666,1,3,104,43,False,1.0,0.004674594489577731,False,0.029900332225913623,0.10161348371511725,,,,,,False,0
alfworld-65,True,0.6666666666666666,1,0,105,44,False,1.0,0.008179999941212511,False,0.0306553911205074,0.10403058213484258,,,,,,False,0
alfworld-66,True,0.6666666666666666,1,0,106,45,False,1.0,0.003406907848336312,False,0.031313131313131314,0.10550252492430272,,,,,,False,0
alfworld-67,True,0.6666666666666666,1,0,107,46,False,1.0,0.003588751074999662,False,0.033816425120772944,0.10623950599414415,,,,,,False,0
alfworld-68,True,0.6666666666666666,1,0,108,47,False,1.0,0.004297033330561665,False,0.03330249768732655,0.10640747520136269,,,,,,False,0
