task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,8,6,False,1.0,0.1111111111111111,False,0.06666666666666667,0.7478652332208116,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,3,12,8,False,1.0,0.06804138174397717,False,0.07142857142857142,0.7092251991967866,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,0,13,9,False,1.0,0.039283710065919304,False,0.05555555555555555,0.6272573168357928,,,,,,False,0
alfworld-7,True,1.0,1,3,17,10,False,1.0,0.043209876543209874,False,0.13333333333333333,0.5951673652444146,,,,,,False,0
alfworld-8,False,0.3333333333333333,1,0,18,11,False,1.0,0.042163702135578386,False,0.10909090909090909,0.5338925683218162,,,,,,False,0
alfworld-9,True,1.0,1,3,22,10,False,1.0,0.017478918526247167,False,0.044444444444444446,0.46488860646241825,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,3,26,11,False,1.0,0.02635231383473649,False,0.03636363636363636,0.4534050214168646,,,,,,False,0
alfworld-11,True,1.0,1,0,27,12,False,1.0,0.038655300586892774,False,0.030303030303030304,0.4236152484144707,,,,,,False,0
alfworld-12,True,1.0,1,3,31,14,False,1.0,0.029862944958084097,False,0.04395604395604396,0.44013728401402513,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,32,15,False,1.0,0.01948779888944761,False,0.0380952380952381,0.40299700133193367,,,,,,False,0
alfworld-14,True,1.0,1,3,36,16,False,1.0,0.02704940749732164,False,0.03333333333333333,0.39242940811214366,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,0,37,17,False,1.0,0.018018018018018018,False,0.029411764705882353,0.3612179057257431,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,3,41,18,False,1.0,0.01819017187772497,False,0.026143790849673203,0.3531813049792153,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,0,42,19,False,1.0,0.013094570021973104,False,0.023391812865497075,0.3265730065461343,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,0,43,20,False,1.0,0.015294382258037448,False,0.02631578947368421,0.30400659540523434,,,,,,False,0
alfworld-19,True,0.6666666666666666,1,0,44,21,False,1.0,0.015528249843748537,False,0.02857142857142857,0.2846662369493342,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,0,45,22,False,1.0,0.02282017152794692,False,0.030303030303030304,0.2679256842555216,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,0,46,23,False,1.0,0.02105686087462819,False,0.03557312252964427,0.2532999104029587,,,,,,False,0
alfworld-22,True,1.0,1,0,47,24,False,1.0,0.018290738075181997,False,0.03260869565217391,0.2404100752988497,,,,,,False,0
alfworld-23,True,0.6666666666666666,1,0,48,25,False,1.0,0.021546437552259438,False,0.03,0.22895787711708304,,,,,,False,0
alfworld-24,True,1.0,1,0,49,26,False,1.0,0.008465608465608466,False,0.027692307692307693,0.21870659149538987,,,,,,False,0
alfworld-25,True,1.0,1,0,50,27,False,1.0,0.015847768496014873,False,0.02564102564102564,0.20946693041894873,,,,,,False,0
alfworld-26,True,1.0,1,3,54,27,False,1.0,0.00836739520564675,False,0.022792022792022793,0.23142545297653475,,,,,,False,0
alfworld-27,True,1.0,1,3,58,28,False,1.0,0.011843082444915401,False,0.018518518518518517,0.22489635366564587,,,,,,False,0
alfworld-28,True,1.0,1,0,59,29,False,1.0,0.005558301073665107,False,0.019704433497536946,0.2122630244149193,,,,,,False,0
alfworld-29,True,0.6666666666666666,1,0,60,30,False,1.0,0.020923418386146687,False,0.01839080459770115,0.20132672363550902,,,,,,False,0
alfworld-30,True,1.0,1,3,64,30,False,1.0,0.005756843697501746,False,0.016091954022988506,0.19086132398583416,,,,,,False,0
alfworld-31,True,0.6666666666666666,1,0,65,31,False,1.0,0.01040993164849,False,0.017204301075268817,0.1834813246971445,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,0,66,32,False,1.0,0.003789141392969935,False,0.020161290322580645,0.1767773717967564,,,,,,False,0
alfworld-33,True,1.0,1,3,70,32,False,1.0,0.012216275691231003,False,0.018145161290322582,0.1644973710766795,,,,,,False,0
alfworld-34,False,0.3333333333333333,1,0,71,33,False,1.0,0.012779038214214713,False,0.017045454545454544,0.16090090327365625,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,0,72,34,False,1.0,0.018217429111642796,False,0.016042780748663103,0.15727173777557493,,,,,,False,0
alfworld-36,True,0.6666666666666666,1,0,73,35,False,1.0,0.0032115839914327493,False,0.01680672268907563,0.15365568806953994,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,3,77,34,False,1.0,0.013473473626106786,False,0.017825311942959002,0.13488885144079166,,,,,,False,0
alfworld-38,False,0.3333333333333333,1,3,81,35,False,1.0,0.0054733591002928345,False,0.018487394957983194,0.14103283937908836,,,,,,False,0
alfworld-39,True,0.6666666666666666,1,0,82,36,False,1.0,0.009874654522601225,False,0.01904761904761905,0.14003825827152352,,,,,,False,0
alfworld-40,False,0.3333333333333333,1,0,83,37,False,1.0,0.013333333333333334,False,0.01951951951951952,0.13858190896101194,,,,,,False,0
alfworld-41,True,1.0,1,0,84,38,False,1.0,0.005852391133847671,False,0.021337126600284494,0.1367912372475117,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,0,85,39,False,1.0,0.004081042041025473,False,0.020242914979757085,0.13476454671981328,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,0,86,40,False,1.0,0.004407196893717995,False,0.019230769230769232,0.13257748185352244,,,,,,False,0
alfworld-44,True,0.6666666666666666,1,0,87,41,False,1.0,0.01129384878631564,False,0.02195121951219512,0.13028806005767501,,,,,,False,0
alfworld-45,True,1.0,1,3,91,39,False,1.0,0.007695518701757401,False,0.018893387314439947,0.1336214595303799,,,,,,False,0
alfworld-46,True,1.0,1,0,92,40,False,1.0,0.005569674914959552,False,0.017948717948717947,0.13166499823396985,,,,,,False,0
alfworld-47,True,0.6666666666666666,1,0,93,41,False,1.0,0.0035731950962354566,False,0.018292682926829267,0.1295592030810822,,,,,,False,0
alfworld-48,True,0.6666666666666666,1,0,94,42,False,1.0,0.005592999737057517,False,0.020905923344947737,0.12735805381373957,,,,,,False,0
alfworld-49,True,1.0,1,3,98,41,False,1.0,0.0029035576605769982,False,0.020731707317073172,0.11732790606652736,,,,,,False,0
alfworld-50,True,0.6666666666666666,1,3,102,41,False,1.0,0.009578657395834505,False,0.01951219512195122,0.10490236717978961,,,,,,False,0
alfworld-51,False,0.5,1,0,103,42,False,1.0,0.0016268100196729798,False,0.018583042973286876,0.10765139422170608,,,,,,False,0
alfworld-52,True,0.6666666666666666,1,3,107,41,False,1.0,0.008637846562763415,False,0.018292682926829267,0.08640010857107536,,,,,,False,0
alfworld-53,True,0.6666666666666666,1,0,108,42,False,1.0,0.003943781865873891,False,0.017421602787456445,0.09286370152888221,,,,,,False,0
alfworld-54,True,0.6666666666666666,1,0,109,43,False,1.0,0.003047967406658606,False,0.017718715393133997,0.09751803414015646,,,,,,False,0
alfworld-55,True,0.6666666666666666,1,0,110,44,False,1.0,0.010313912969354905,False,0.017970401691331923,0.10075371776820341,,,,,,False,0
alfworld-56,True,0.6666666666666666,1,0,111,45,False,1.0,0.0024947747187285406,False,0.01818181818181818,0.102879274618795,,,,,,False,0
alfworld-57,False,0.0,1,3,115,44,False,1.0,0.00414086662499961,False,0.016913319238900635,0.08939633929611934,,,,,,False,0
alfworld-58,True,1.0,1,0,116,45,False,1.0,0.004158777166589843,False,0.01717171717171717,0.09378727592334152,,,,,,False,0
alfworld-59,True,0.6666666666666666,1,0,117,46,False,1.0,0.0033574594256753597,False,0.018357487922705314,0.09685638515354879,,,,,,False,0
alfworld-60,True,1.0,1,0,118,47,False,1.0,0.004231226114820448,False,0.01942645698427382,0.09888867772829998,,,,,,False,0
alfworld-61,True,1.0,1,0,119,48,False,1.0,0.008208852335379347,False,0.01950354609929078,0.10010980155430654,,,,,,False,0
alfworld-62,False,0.3333333333333333,1,0,120,49,False,1.0,0.0024515934997436342,False,0.021258503401360544,0.10069842274322748,,,,,,False,0
alfworld-63,True,0.6666666666666666,1,0,121,50,False,1.0,0.00505952380952381,False,0.02122448979591837,0.10079599757660106,,,,,,False,0
alfworld-64,True,1.0,1,0,122,51,False,1.0,0.0049164888671457295,False,0.021176470588235293,0.1005144931403304,,,,,,False,0
alfworld-65,True,0.6666666666666666,1,0,123,52,False,1.0,0.0053424340555285514,False,0.021870286576168928,0.09994249307434139,,,,,,False,0
alfworld-66,True,0.6666666666666666,1,0,124,53,False,1.0,0.004102812102257612,False,0.022496371552975326,0.09915003049435507,,,,,,False,0
alfworld-67,False,0.3333333333333333,1,3,128,47,False,1.0,0.003194431719736954,False,0.020351526364477335,0.0736531834741866,,,,,,False,0
alfworld-68,True,0.6666666666666666,1,0,129,48,False,1.0,0.004215751199361115,False,0.020390070921985817,0.07987916540631966,,,,,,False,0
