task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,8,6,False,1.0,0.1111111111111111,False,0.06666666666666667,0.7478652332208116,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,3,12,8,False,1.0,0.06804138174397717,False,0.07142857142857142,0.7092251991967866,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,0,13,9,False,1.0,0.039283710065919304,False,0.05555555555555555,0.6272573168357928,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,3,17,10,False,1.0,0.043209876543209874,False,0.13333333333333333,0.5951673652444146,,,,,,False,0
alfworld-8,False,0.3333333333333333,1,0,18,11,False,1.0,0.042163702135578386,False,0.10909090909090909,0.5338925683218162,,,,,,False,0
alfworld-9,False,0.5,1,3,22,10,False,1.0,0.017478918526247167,False,0.044444444444444446,0.46488860646241825,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,3,26,10,False,1.0,0.02635231383473649,False,0.044444444444444446,0.4168724482507528,,,,,,False,0
alfworld-11,False,0.5,1,0,27,11,False,1.0,0.04054202128420999,False,0.03636363636363636,0.40118753953981906,,,,,,False,0
alfworld-12,True,0.6666666666666666,1,3,31,11,False,1.0,0.02772518111059895,False,0.03636363636363636,0.37491450372624585,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,32,12,False,1.0,0.022694402280046724,False,0.030303030303030304,0.3647078644776765,,,,,,False,0
alfworld-14,True,0.6666666666666666,1,3,36,14,False,1.0,0.03396178054056622,False,0.04395604395604396,0.3987978953176606,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,0,37,15,False,1.0,0.01926207148918374,False,0.0380952380952381,0.3714075610820529,,,,,,False,0
alfworld-16,False,0.3333333333333333,1,3,41,16,False,1.0,0.019364916731037084,False,0.03333333333333333,0.3681826147948654,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,0,42,17,False,1.0,0.014227642276422764,False,0.029411764705882353,0.342534051276443,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,0,43,18,False,1.0,0.01837391098760098,False,0.032679738562091505,0.3204185416588356,,,,,,False,0
alfworld-19,True,0.6666666666666666,1,0,44,19,False,1.0,0.0167164723684763,False,0.03508771929824561,0.3011609079170931,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,0,45,20,False,1.0,0.02447101161285992,False,0.03684210526315789,0.28424121208977987,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,0,46,21,False,1.0,0.016875984735847466,False,0.04285714285714286,0.26925430631434655,,,,,,False,0
alfworld-22,True,0.6666666666666666,1,0,47,22,False,1.0,0.019483740199642177,False,0.03896103896103896,0.2558810182064966,,,,,,False,0
alfworld-23,True,0.6666666666666666,1,0,48,23,False,1.0,0.020476904960708347,False,0.03557312252964427,0.24386732574610637,,,,,,False,0
alfworld-24,False,0.5,1,0,49,24,False,1.0,0.008968361894927947,False,0.03260869565217391,0.2330091092900889,,,,,,False,0
alfworld-25,False,0.5,1,0,50,25,False,1.0,0.02093580976737759,False,0.03,0.22314085458218005,,,,,,False,0
alfworld-26,False,0.5,1,3,54,23,False,1.0,0.012745098039215688,False,0.03162055335968379,0.20902546227289012,,,,,,False,0
alfworld-27,False,0.5,1,3,58,23,False,1.0,0.017376201171422898,False,0.02766798418972332,0.18689811734976688,,,,,,False,0
alfworld-28,False,0.5,1,0,59,24,False,1.0,0.01763554745756354,False,0.028985507246376812,0.18831010151802197,,,,,,False,0
alfworld-29,True,0.6666666666666666,1,0,60,25,False,1.0,0.02721655269759087,False,0.02666666666666667,0.18800826037891968,,,,,,False,0
alfworld-30,False,0.5,1,0,61,26,False,1.0,0.0036529680365296802,False,0.024615384615384615,0.18646936981241752,,,,,,False,0
alfworld-31,True,0.6666666666666666,1,0,62,27,False,1.0,0.01204221882427446,False,0.02564102564102564,0.18405086655129368,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,0,63,28,False,1.0,0.004872154170376589,False,0.0291005291005291,0.1810206722699031,,,,,,False,0
alfworld-33,True,0.6666666666666666,1,0,64,29,False,1.0,0.013827968524727821,False,0.029556650246305417,0.17757935714641962,,,,,,False,0
alfworld-34,True,0.6666666666666666,1,0,65,30,False,1.0,0.016020774274098593,False,0.027586206896551724,0.17387669144733897,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,0,66,31,False,1.0,0.020747066572165383,False,0.025806451612903226,0.17002405922392358,,,,,,False,0
alfworld-36,True,0.6666666666666666,1,0,67,32,False,1.0,0.01381579246359807,False,0.02620967741935484,0.16610380336072278,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,3,71,28,False,1.0,0.01504482513162867,False,0.026455026455026454,0.16009431184223885,,,,,,False,0
alfworld-38,False,0.0,1,3,75,29,False,1.0,0.00629940788348712,False,0.027093596059113302,0.16728776099547404,,,,,,False,0
alfworld-39,True,0.6666666666666666,1,0,76,30,False,1.0,0.011314769709712838,False,0.027586206896551724,0.16573151338920208,,,,,,False,0
alfworld-40,True,0.6666666666666666,1,0,77,31,False,1.0,0.015214515486254613,False,0.02795698924731183,0.16357047106376943,,,,,,False,0
alfworld-41,True,0.6666666666666666,1,0,78,32,False,1.0,0.0066520482232138856,False,0.03024193548387097,0.16098516948800518,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,0,79,33,False,1.0,0.012709435609562128,False,0.028409090909090908,0.15811249362356464,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,0,80,34,False,1.0,0.0044210198337955005,False,0.026737967914438502,0.15505592682912164,,,,,,False,0
alfworld-44,True,0.6666666666666666,1,0,81,35,False,1.0,0.012703598899445098,False,0.030252100840336135,0.15189336843509663,,,,,,False,0
alfworld-45,False,0.5,1,3,85,34,False,1.0,0.011167203365782202,False,0.026737967914438502,0.1634765846361534,,,,,,False,0
alfworld-46,False,0.5,1,0,86,35,False,1.0,0.0030624747346876574,False,0.025210084033613446,0.15859064132835218,,,,,,False,0
alfworld-47,True,0.6666666666666666,1,0,87,36,False,1.0,0.005389389450442715,False,0.025396825396825397,0.15401406200571852,,,,,,False,0
alfworld-48,True,0.6666666666666666,1,0,88,37,False,1.0,0.0061205273069679855,False,0.028528528528528527,0.1497150746740398,,,,,,False,0
alfworld-49,True,0.6666666666666666,1,3,92,35,False,1.0,0.0031702284053374686,False,0.03361344537815126,0.1262152804437428,,,,,,False,0
alfworld-50,True,0.6666666666666666,1,0,93,36,False,1.0,0.010622157299866602,False,0.03333333333333333,0.12824365572966384,,,,,,False,0
alfworld-51,False,0.5,1,0,94,37,False,1.0,0.009777777777777778,False,0.03153153153153153,0.12918629443212865,,,,,,False,0
alfworld-52,False,0.3333333333333333,1,3,98,35,False,1.0,0.0107030590693592,False,0.030252100840336135,0.09505060678359535,,,,,,False,0
alfworld-53,True,0.6666666666666666,1,0,99,36,False,1.0,0.005200949259867795,False,0.02857142857142857,0.10343694223710626,,,,,,False,0
alfworld-54,True,0.6666666666666666,1,0,100,37,False,1.0,0.003341687552213868,False,0.028528528528528527,0.1094251946513327,,,,,,False,0
alfworld-55,True,0.6666666666666666,1,0,101,38,False,1.0,0.013699915608779775,False,0.02844950213371266,0.11354793591673272,,,,,,False,0
alfworld-56,True,0.6666666666666666,1,0,102,39,False,1.0,0.002723141361907285,False,0.02834008097165992,0.11622248997885042,,,,,,False,0
alfworld-57,False,0.5,1,0,103,40,False,1.0,0.0037588768498846743,False,0.026923076923076925,0.11777605357635786,,,,,,False,0
alfworld-58,False,0.5,1,0,104,41,False,1.0,0.005452202862359274,False,0.025609756097560974,0.11846524589182847,,,,,,False,0
alfworld-59,True,0.6666666666666666,1,0,105,42,False,1.0,0.0035174270695632007,False,0.026713124274099883,0.11849135093538063,,,,,,False,0
alfworld-60,True,0.6666666666666666,1,0,106,43,False,1.0,0.004428131455865771,False,0.02768549280177187,0.11801222198491086,,,,,,False,0
alfworld-61,True,0.6666666666666666,1,0,107,44,False,1.0,0.00858217062477862,False,0.02748414376321353,0.11715159366497313,,,,,,False,0
alfworld-62,True,0.6666666666666666,1,0,108,45,False,1.0,0.002560605898749585,False,0.029292929292929294,0.11600637667215119,,,,,,False,0
alfworld-63,True,0.6666666666666666,1,0,109,46,False,1.0,0.005279604946874503,False,0.028985507246376812,0.11465237969692885,,,,,,False,0
alfworld-64,True,0.6666666666666666,1,0,110,47,False,1.0,0.005125793976755115,False,0.028677150786308975,0.11314880301886523,,,,,,False,0
alfworld-65,True,0.6666666666666666,1,0,111,48,False,1.0,0.006736736555123645,False,0.02925531914893617,0.11154177127414301,,,,,,False,0
alfworld-66,True,0.6666666666666666,1,0,112,49,False,1.0,0.004270342227733918,False,0.02976190476190476,0.10986711352972846,,,,,,False,0
alfworld-67,True,1.0,1,3,116,41,False,1.0,0.0033222591362126242,False,0.032926829268292684,0.09192820123227155,,,,,,False,0
alfworld-68,True,0.6666666666666666,1,0,117,42,False,1.0,0.0052057920629535355,False,0.032520325203252036,0.09728195862819236,,,,,,False,0
