task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,8,6,False,1.0,0.1111111111111111,False,0.06666666666666667,0.7478652332208116,,,,,,False,0
alfworld-5,True,1.0,1,0,9,7,False,1.0,0.06804138174397717,False,0.047619047619047616,0.6676859419391847,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,0,10,8,False,1.0,0.04199605255658081,False,0.03571428571428571,0.603323137305519,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,0,11,9,False,1.0,0.05237828008789241,False,0.05555555555555555,0.5501859613826829,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,0,12,10,False,1.0,0.06349206349206349,False,0.044444444444444446,0.5054087498461997,,,,,,False,0
alfworld-9,True,1.0,1,3,16,11,False,1.0,0.01756820922315766,False,0.03636363636363636,0.49705607433656046,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,0,17,12,False,1.0,0.022334173672426932,False,0.030303030303030304,0.4563755028915943,,,,,,False,0
alfworld-11,False,0.5,1,0,18,13,False,1.0,0.035282516450477135,False,0.02564102564102564,0.4218295315404102,,,,,,False,0
alfworld-12,False,0.3333333333333333,1,0,19,14,False,1.0,0.0224121291404133,False,0.02197802197802198,0.39212446645514004,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,20,15,False,1.0,0.0222717701593687,False,0.01904761904761905,0.3663080690730441,,,,,,False,0
alfworld-14,False,0.3333333333333333,1,3,24,14,False,1.0,0.026481937409965243,False,0.02197802197802198,0.35082886396140095,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,0,25,15,False,1.0,0.009377587435523662,False,0.01904761904761905,0.3347520879931033,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,0,26,16,False,1.0,0.020991779654240744,False,0.016666666666666666,0.3194423397784565,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,0,27,17,False,1.0,0.015151515151515152,False,0.014705882352941176,0.3049762516817019,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,0,28,18,False,1.0,0.02064132979032621,False,0.0196078431372549,0.29137713419857886,,,,,,False,0
alfworld-19,False,0.3333333333333333,1,3,32,19,False,1.0,0.0172848324290045,False,0.03508771929824561,0.31190474358139353,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,0,33,20,False,1.0,0.02741445876440675,False,0.03684210526315789,0.29259770532093965,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,0,34,21,False,1.0,0.019964892656248123,False,0.04285714285714286,0.27577022821552605,,,,,,False,0
alfworld-22,True,0.6666666666666666,1,0,35,22,False,1.0,0.017260172109061545,False,0.03896103896103896,0.2609733135950489,,,,,,False,0
alfworld-23,True,0.6666666666666666,1,0,36,23,False,1.0,0.016047365747196483,False,0.03557312252964427,0.2478552742001946,,,,,,False,0
alfworld-24,True,1.0,1,3,40,23,False,1.0,0.008554437499777428,False,0.03162055335968379,0.25789374041580176,,,,,,False,0
alfworld-25,True,1.0,1,0,41,24,False,1.0,0.017902752722072077,False,0.028985507246376812,0.24401447229202997,,,,,,False,0
alfworld-26,False,0.5,1,0,42,25,False,1.0,0.012819390763358017,False,0.02666666666666667,0.23179086655511685,,,,,,False,0
alfworld-27,True,1.0,1,0,43,26,False,1.0,0.010185185185185184,False,0.024615384615384615,0.22093683724160462,,,,,,False,0
alfworld-28,True,1.0,1,0,44,27,False,1.0,0.005229763603684909,False,0.02564102564102564,0.21122527265091287,,,,,,False,0
alfworld-29,True,1.0,1,3,48,26,False,1.0,0.023028215865113277,False,0.024615384615384615,0.18976411870824292,,,,,,False,0
alfworld-30,True,1.0,1,0,49,27,False,1.0,0.0074474481698044576,False,0.022792022792022793,0.18664847093506154,,,,,,False,0
alfworld-31,True,0.6666666666666666,1,0,50,28,False,1.0,0.02190488826193702,False,0.021164021164021163,0.18307145591346255,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,0,51,29,False,1.0,0.017045456625906327,False,0.022167487684729065,0.17920049886479755,,,,,,False,0
alfworld-33,True,1.0,1,0,52,30,False,1.0,0.011957654352310158,False,0.022988505747126436,0.17515972740794156,,,,,,False,0
alfworld-34,True,1.0,1,3,56,30,False,1.0,0.00936277876077207,False,0.020689655172413793,0.17546867262273527,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,0,57,31,False,1.0,0.020940408411189146,False,0.01935483870967742,0.1712854178819412,,,,,,False,0
alfworld-36,True,0.6666666666666666,1,0,58,32,False,1.0,0.006236295209263017,False,0.020161290322580645,0.1671042441995786,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,0,59,33,False,1.0,0.013689777750244608,False,0.01893939393939394,0.1629705538870768,,,,,,False,0
alfworld-38,True,0.6666666666666666,1,0,60,34,False,1.0,0.005119931057520525,False,0.0196078431372549,0.15891638653957568,,,,,,False,0
alfworld-39,True,1.0,1,3,64,34,False,1.0,0.014699878726500757,False,0.0196078431372549,0.16197175996722937,,,,,,False,0
alfworld-40,True,0.6666666666666666,1,0,65,35,False,1.0,0.013356587627921248,False,0.020168067226890758,0.15739379641489765,,,,,,False,0
alfworld-41,True,1.0,1,0,66,36,False,1.0,0.00563436169819011,False,0.022222222222222223,0.15306138753888918,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,0,67,37,False,1.0,0.0029498525073746312,False,0.021021021021021023,0.14895617143587891,,,,,,False,0
alfworld-43,True,1.0,1,0,68,38,False,1.0,0.004724108830613715,False,0.01991465149359886,0.14506144582543354,,,,,,False,0
alfworld-44,False,0.3333333333333333,1,3,72,38,False,1.0,0.011360043496552,False,0.02275960170697013,0.15203576987947795,,,,,,False,0
alfworld-45,True,1.0,1,0,73,39,False,1.0,0.0075971464441403945,False,0.022941970310391364,0.14692568446133839,,,,,,False,0
alfworld-46,True,1.0,1,0,74,40,False,1.0,0.005595876342650894,False,0.021794871794871794,0.14228526187839127,,,,,,False,0
alfworld-47,True,1.0,1,0,75,41,False,1.0,0.0037349736143721013,False,0.02195121951219512,0.13804226303374942,,,,,,False,0
alfworld-48,True,0.6666666666666666,1,0,76,42,False,1.0,0.005606237606257654,False,0.024390243902439025,0.1341380305899674,,,,,,False,0
alfworld-49,False,0.3333333333333333,1,3,80,40,False,1.0,0.011988480824122428,False,0.020512820512820513,0.11892888002899382,,,,,,False,0
alfworld-50,True,0.6666666666666666,1,0,81,41,False,1.0,0.00865299857260004,False,0.01951219512195122,0.11938607952083811,,,,,,False,0
alfworld-51,False,0.5,1,0,82,42,False,1.0,0.003799848221133968,False,0.018583042973286876,0.11922731539328733,,,,,,False,0
alfworld-52,True,0.6666666666666666,1,0,83,43,False,1.0,0.010286889997472792,False,0.017718715393133997,0.11860076577244913,,,,,,False,0
alfworld-53,True,0.6666666666666666,1,0,84,44,False,1.0,0.003554745229198245,False,0.016913319238900635,0.1176225012247639,,,,,,False,0
alfworld-54,True,0.6666666666666666,1,3,88,43,False,1.0,0.0065396296198373385,False,0.017718715393133997,0.11517861576410296,,,,,,False,0
alfworld-55,True,0.6666666666666666,1,0,89,44,False,1.0,0.00927356170941515,False,0.017970401691331923,0.11488435948613664,,,,,,False,0
alfworld-56,True,0.6666666666666666,1,0,90,45,False,1.0,0.004659115699877142,False,0.01818181818181818,0.11419137242210033,,,,,,False,0
alfworld-57,False,0.5,1,0,91,46,False,1.0,0.005485303840908575,False,0.017391304347826087,0.11319868424384678,,,,,,False,0
alfworld-58,True,1.0,1,0,92,47,False,1.0,0.003756482959360437,False,0.01757631822386679,0.11198394093460556,,,,,,False,0
alfworld-59,True,0.6666666666666666,1,3,96,44,False,1.0,0.006381593378032888,False,0.017970401691331923,0.07850249739370664,,,,,,False,0
alfworld-60,True,1.0,1,0,97,45,False,1.0,0.0021580566585320507,False,0.020202020202020204,0.08506635528054837,,,,,,False,0
alfworld-61,True,0.6666666666666666,1,0,98,46,False,1.0,0.006884814388553568,False,0.020289855072463767,0.08987151848738942,,,,,,False,0
alfworld-62,False,0.3333333333333333,1,0,99,47,False,1.0,0.002326500294357351,False,0.02312673450508788,0.09329162758566674,,,,,,False,0
alfworld-63,True,0.6666666666666666,1,0,100,48,False,1.0,0.003674893196652382,False,0.02304964539007092,0.09562279274847767,,,,,,False,0
alfworld-64,True,1.0,1,3,104,46,False,1.0,0.004398859193825721,False,0.018357487922705314,0.08090320274486854,,,,,,False,0
alfworld-65,True,0.6666666666666666,1,0,105,47,False,1.0,0.005553369346700456,False,0.01942645698427382,0.08610521797973267,,,,,,False,0
alfworld-66,True,0.6666666666666666,1,0,106,48,False,1.0,0.0027012035462573073,False,0.020390070921985817,0.08986163600298012,,,,,,False,0
alfworld-67,True,1.0,1,0,107,49,False,1.0,0.0034178294624158177,False,0.022108843537414966,0.0924791688988141,,,,,,False,0
alfworld-68,True,0.6666666666666666,1,0,108,50,False,1.0,0.0038402457757296476,False,0.022040816326530613,0.0942012288046209,,,,,,False,0
