task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,8,6,False,1.0,0.1111111111111111,False,0.06666666666666667,0.7478652332208116,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,3,12,8,False,1.0,0.06804138174397717,False,0.07142857142857142,0.7092251991967866,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,0,13,9,False,1.0,0.039283710065919304,False,0.05555555555555555,0.6272573168357928,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,3,17,10,False,1.0,0.043209876543209874,False,0.13333333333333333,0.5951673652444146,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,0,18,11,False,1.0,0.042163702135578386,False,0.10909090909090909,0.5338925683218162,,,,,,False,0
alfworld-9,False,0.5,1,3,22,11,False,1.0,0.017478918526247167,False,0.03636363636363636,0.49705607433656046,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,3,26,11,False,1.0,0.02412090756622109,False,0.03636363636363636,0.4399131389584698,,,,,,False,0
alfworld-11,False,0.5,1,0,27,12,False,1.0,0.03722362278737822,False,0.030303030303030304,0.413489547586003,,,,,,False,0
alfworld-12,True,0.6666666666666666,1,3,31,12,False,1.0,0.025660011963983365,False,0.030303030303030304,0.3811157087588271,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,32,13,False,1.0,0.021049228564205106,False,0.02564102564102564,0.3649518319156585,,,,,,False,0
alfworld-14,True,0.6666666666666666,1,3,36,15,False,1.0,0.03169715407001309,False,0.0380952380952381,0.39229098309063,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,0,37,16,False,1.0,0.009059610166567056,False,0.03333333333333333,0.363606898760775,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,3,41,17,False,1.0,0.014227642276422764,False,0.029411764705882353,0.3584010796889707,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,0,42,18,False,1.0,0.011549315477920617,False,0.026143790849673203,0.33268765332895095,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,0,43,19,False,1.0,0.017459426695964137,False,0.029239766081871343,0.3106773175313502,,,,,,False,0
alfworld-19,False,0.3333333333333333,1,0,44,20,False,1.0,0.014338483366910107,False,0.031578947368421054,0.29164302043935514,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,0,45,21,False,1.0,0.024845199749997663,False,0.03333333333333333,0.2750258188135719,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,0,46,22,False,1.0,0.021552384220838754,False,0.03896103896103896,0.26039154594616415,,,,,,False,0
alfworld-22,False,0.0,1,0,47,23,False,1.0,0.017455029409231264,False,0.03557312252964427,0.24739967231165838,,,,,,False,0
alfworld-23,False,0.3333333333333333,1,0,48,24,False,1.0,0.015059374348566515,False,0.03260869565217391,0.23578064835534626,,,,,,False,0
alfworld-24,False,0.5,1,0,49,25,False,1.0,0.009720197391996739,False,0.03,0.22531923307761997,,,,,,False,0
alfworld-25,False,0.5,1,0,50,26,False,1.0,0.01616161616161616,False,0.027692307692307693,0.21584210132749337,,,,,,False,0
alfworld-26,False,0.5,1,3,54,22,False,1.0,0.008526788484268872,False,0.03463203463203463,0.16934123062761466,,,,,,False,0
alfworld-27,False,0.5,1,3,58,22,False,1.0,0.01968006612513327,False,0.030303030303030304,0.15512389572635535,,,,,,False,0
alfworld-28,False,0.5,1,0,59,23,False,1.0,0.019856929464493127,False,0.03162055335968379,0.1649610211871932,,,,,,False,0
alfworld-29,True,0.6666666666666666,1,0,60,24,False,1.0,0.02349458186558589,False,0.028985507246376812,0.1710978835590576,,,,,,False,0
alfworld-30,False,0.5,1,0,61,25,False,1.0,0.003677912526701469,False,0.02666666666666667,0.17447977509410187,,,,,,False,0
alfworld-31,True,0.6666666666666666,1,0,62,26,False,1.0,0.012987012987012986,False,0.027692307692307693,0.17581919005737584,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,0,63,27,False,1.0,0.004902903378454601,False,0.03133903133903134,0.17565418610785705,,,,,,False,0
alfworld-33,True,0.6666666666666666,1,3,67,24,False,1.0,0.015457838532520099,False,0.036231884057971016,0.14771474232556506,,,,,,False,0
alfworld-34,False,0.3333333333333333,1,0,68,25,False,1.0,0.015309310892394864,False,0.03333333333333333,0.15610105813593272,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,0,69,26,False,1.0,0.020080321285140562,False,0.03076923076923077,0.16135070854221348,,,,,,False,0
alfworld-36,False,0.3333333333333333,1,0,70,27,False,1.0,0.00760140058675132,False,0.03133903133903134,0.1642471283324164,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,3,74,26,False,1.0,0.01369495020549674,False,0.03076923076923077,0.1466896682159285,,,,,,False,0
alfworld-38,True,0.6666666666666666,1,3,78,27,False,1.0,0.01436748242770579,False,0.02849002849002849,0.15940193157884686,,,,,,False,0
alfworld-39,True,0.6666666666666666,1,0,79,28,False,1.0,0.012284048280630335,False,0.0291005291005291,0.16156057550207586,,,,,,False,0
alfworld-40,True,0.6666666666666666,1,0,80,29,False,1.0,0.01623558732857505,False,0.029556650246305417,0.16219617676409476,,,,,,False,0
alfworld-41,True,0.6666666666666666,1,0,81,30,False,1.0,0.006189844605901731,False,0.029885057471264367,0.16170183135015553,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,0,82,31,False,1.0,0.008271969584759791,False,0.02795698924731183,0.1603776730536145,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,0,83,32,False,1.0,0.004518372378032073,False,0.02620967741935484,0.15845281637870265,,,,,,False,0
alfworld-44,True,0.6666666666666666,1,0,84,33,False,1.0,0.01351503786671536,False,0.030303030303030304,0.15610200599375748,,,,,,False,0
alfworld-45,False,0.5,1,3,88,33,False,1.0,0.009325588711912384,False,0.028409090909090908,0.17181184092868274,,,,,,False,0
alfworld-46,False,0.5,1,0,89,34,False,1.0,0.003562992958157558,False,0.026737967914438502,0.1659421191491591,,,,,,False,0
alfworld-47,True,0.6666666666666666,1,0,90,35,False,1.0,0.004397399619038688,False,0.02689075630252101,0.16055157571610873,,,,,,False,0
alfworld-48,True,0.6666666666666666,1,0,91,36,False,1.0,0.006103891839705952,False,0.03015873015873016,0.15557494270240893,,,,,,False,0
alfworld-49,True,0.6666666666666666,1,3,95,34,False,1.0,0.0036133694670280035,False,0.0338680926916221,0.13140217734096907,,,,,,False,0
alfworld-50,True,0.6666666666666666,1,3,99,34,False,1.0,0.01115437952146399,False,0.03208556149732621,0.11824590048822389,,,,,,False,0
alfworld-51,False,0.5,1,0,100,35,False,1.0,0.004536999606944678,False,0.030252100840336135,0.12261693929353312,,,,,,False,0
alfworld-52,True,0.6666666666666666,1,3,104,34,False,1.0,0.010045761167315701,False,0.03208556149732621,0.09865553592728367,,,,,,False,0
alfworld-53,True,0.6666666666666666,1,0,105,35,False,1.0,0.005196926822500268,False,0.030252100840336135,0.10703596919005523,,,,,,False,0
alfworld-54,True,0.6666666666666666,1,0,106,36,False,1.0,0.0033388810063348802,False,0.03015873015873016,0.11297714967081099,,,,,,False,0
alfworld-55,True,0.6666666666666666,1,0,107,37,False,1.0,0.010466988727858293,False,0.03003003003003003,0.11702495151084134,,,,,,False,0
alfworld-56,True,1.0,1,0,108,38,False,1.0,0.005441101234692675,False,0.029871977240398292,0.11960634966150689,,,,,,False,0
alfworld-57,False,0.5,1,3,112,37,False,1.0,0.006383713331534637,False,0.028528528528528527,0.10443877933792829,,,,,,False,0
alfworld-58,False,0.5,1,0,113,38,False,1.0,0.005254762151312791,False,0.02702702702702703,0.10957283939320595,,,,,,False,0
alfworld-59,True,0.6666666666666666,1,0,114,39,False,1.0,0.0036291145666837257,False,0.02834008097165992,0.11305140579243861,,,,,,False,0
alfworld-60,True,1.0,1,0,115,40,False,1.0,0.0038627405523156983,False,0.029487179487179487,0.11524469603594359,,,,,,False,0
alfworld-61,True,0.6666666666666666,1,0,116,41,False,1.0,0.009180806110166263,False,0.02926829268292683,0.11644329441341583,,,,,,False,0
alfworld-62,False,0.0,1,0,117,42,False,1.0,0.0019768830618810893,False,0.0313588850174216,0.11687533217059667,,,,,,False,0
alfworld-63,True,0.6666666666666666,1,0,118,43,False,1.0,0.0054309667688520954,False,0.031007751937984496,0.11671990712603302,,,,,,False,0
alfworld-64,True,0.6666666666666666,1,0,119,44,False,1.0,0.004649346656481849,False,0.0306553911205074,0.11611758251820527,,,,,,False,0
alfworld-65,True,0.6666666666666666,1,0,120,45,False,1.0,0.004513642882900654,False,0.031313131313131314,0.11517861276337546,,,,,,False,0
alfworld-66,True,0.6666666666666666,1,0,121,46,False,1.0,0.00438444701470547,False,0.03188405797101449,0.11398939688001312,,,,,,False,0
alfworld-67,False,0.0,1,3,125,41,False,1.0,0.0028408854750461877,False,0.032926829268292684,0.09021782516170525,,,,,,False,0
alfworld-68,True,0.6666666666666666,1,0,126,42,False,1.0,0.005385302134089865,False,0.032520325203252036,0.09591496250866015,,,,,,False,0
