task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,False,0.3333333333333333,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,0,5,5,False,1.0,0.1111111111111111,False,0.0,0.6974382798649738,,,,,,False,0
alfworld-5,False,0.3333333333333333,1,0,6,6,False,1.0,0.07453559924999298,False,0.0,0.6425118067493852,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,0,7,7,False,1.0,0.05443310539518174,False,0.0,0.5937521503440734,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,0,8,8,False,1.0,0.05599473674210773,False,0.03571428571428571,0.550357752043765,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,0,9,9,False,1.0,0.07295546155099299,False,0.027777777777777776,0.5116398371494194,,,,,,False,0
alfworld-9,False,0.5,1,0,10,10,False,1.0,0.02314814814814815,False,0.022222222222222223,0.47700574225663617,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,0,11,11,False,1.0,0.04684855792842043,False,0.01818181818181818,0.445944791436634,,,,,,False,0
alfworld-11,False,0.5,1,0,12,12,False,1.0,0.056952142864688686,False,0.015151515151515152,0.41801632201377575,,,,,,False,0
alfworld-12,True,0.6666666666666666,1,0,13,13,False,1.0,0.0262431940540739,False,0.01282051282051282,0.39283952441959386,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,14,14,False,1.0,0.028248621104062593,False,0.01098901098901099,0.370084813976361,,,,,,False,0
alfworld-14,True,0.6666666666666666,1,0,15,15,False,1.0,0.031979977664734545,False,0.009523809523809525,0.34946649721961814,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,0,16,16,False,1.0,0.018442777839082936,False,0.008333333333333333,0.3307365329163835,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,0,17,17,False,1.0,0.020370370370370372,False,0.007352941176470588,0.3136792194494414,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,0,18,18,False,1.0,0.021895577260224498,False,0.006535947712418301,0.29810666670004604,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,0,19,19,False,1.0,0.026189140043946207,False,0.011695906432748537,0.28385493279200635,,,,,,False,0
alfworld-19,True,0.6666666666666666,1,0,20,20,False,1.0,0.011329172042990701,False,0.015789473684210527,0.27078072474521436,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,0,21,21,False,1.0,0.026152841842102804,False,0.01904761904761905,0.25875857779966766,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,0,22,22,False,1.0,0.023034110636021416,False,0.025974025974025976,0.24767844139152267,,,,,,False,0
alfworld-22,True,0.6666666666666666,1,0,23,23,False,1.0,0.01466459953768749,False,0.023715415019762844,0.23744361089202465,,,,,,False,0
alfworld-23,True,0.6666666666666666,1,0,24,24,False,1.0,0.024221371329862223,False,0.021739130434782608,0.22796895359421673,,,,,,False,0
alfworld-24,False,0.5,1,0,25,25,False,1.0,0.008874962836170936,False,0.02,0.21917938533240885,,,,,,False,0
alfworld-25,False,0.5,1,0,26,26,False,1.0,0.020370370370370372,False,0.018461538461538463,0.21100856078112715,,,,,,False,0
alfworld-26,False,0.5,1,0,27,27,False,1.0,0.006101390870965726,False,0.017094017094017096,0.20339774610111358,,,,,,False,0
alfworld-27,False,0.5,1,0,28,28,False,1.0,0.010691671651659735,False,0.015873015873015872,0.19629484734545286,,,,,,False,0
alfworld-28,False,0.5,1,0,29,29,False,1.0,0.004666228061842311,False,0.017241379310344827,0.18965357204790217,,,,,,False,0
alfworld-29,True,0.6666666666666666,1,0,30,30,False,1.0,0.02358036040343516,False,0.016091954022988506,0.18343270480448462,,,,,,False,0
alfworld-30,False,0.5,1,0,31,31,False,1.0,0.004896625673737117,False,0.015053763440860216,0.1775954805261679,,,,,,False,0
alfworld-31,True,0.6666666666666666,1,0,32,32,False,1.0,0.015299710913391934,False,0.016129032258064516,0.1721090414671094,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,0,33,33,False,1.0,0.010137731629914657,False,0.01893939393939394,0.1669439661885053,,,,,,False,0
alfworld-33,True,0.6666666666666666,1,0,34,34,False,1.0,0.007857671970222474,False,0.0196078431372549,0.16207386036053595,,,,,,False,0
alfworld-34,False,0.3333333333333333,1,0,35,35,False,1.0,0.01385847152666738,False,0.018487394957983194,0.15747500078303048,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,0,36,36,False,1.0,0.012152544839233571,False,0.01746031746031746,0.15312602526032282,,,,,,False,0
alfworld-36,True,0.6666666666666666,1,0,37,37,False,1.0,0.003174603174603174,False,0.01951951951951952,0.14900766203189186,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,0,38,38,False,1.0,0.010655489917939824,False,0.01849217638691323,0.14510249336687178,,,,,,False,0
alfworld-38,True,0.6666666666666666,1,0,39,39,False,1.0,0.004384362733263853,False,0.018893387314439947,0.14139474870191202,,,,,,False,0
alfworld-39,True,0.6666666666666666,1,0,40,40,False,1.0,0.008896008544727062,False,0.019230769230769232,0.13787012335883872,,,,,,False,0
alfworld-40,False,0.3333333333333333,1,0,41,41,False,1.0,0.013063540191578772,False,0.01951219512195122,0.134515619438572,,,,,,False,0
alfworld-41,True,0.6666666666666666,1,0,42,42,False,1.0,0.004771976057707408,False,0.020905923344947737,0.1313194059655101,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,0,43,43,False,1.0,0.005436161380778306,False,0.019933554817275746,0.1282706957645489,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,0,44,44,False,1.0,0.004437789083753046,False,0.019027484143763214,0.1253596369015743,,,,,,False,0
alfworld-44,False,0.3333333333333333,1,0,45,45,False,1.0,0.011296936683146184,False,0.021212121212121213,0.12257721681654145,,,,,,False,0
alfworld-45,False,0.5,1,0,46,46,False,1.0,0.0037644242045451,False,0.021256038647342997,0.119915177533662,,,,,,False,0
alfworld-46,False,0.5,1,0,47,47,False,1.0,0.0036405421272814108,False,0.020351526364477335,0.11736594055213381,,,,,,False,0
alfworld-47,True,0.6666666666666666,1,0,48,48,False,1.0,0.004580301665392825,False,0.020390070921985817,0.11492254020866344,,,,,,False,0
alfworld-48,True,0.6666666666666666,1,0,49,49,False,1.0,0.005459577013613482,False,0.022108843537414966,0.1125785644643334,,,,,,False,0
alfworld-49,True,0.6666666666666666,1,0,50,50,False,1.0,0.001984126984126984,False,0.0236734693877551,0.11032810220703537,,,,,,False,0
alfworld-50,True,0.6666666666666666,1,0,51,51,False,1.0,0.008017083686922307,False,0.023529411764705882,0.10816569628003003,,,,,,False,0
alfworld-51,False,0.5,1,0,52,52,False,1.0,0.0028005601680560193,False,0.02262443438914027,0.10608630155000413,,,,,,False,0
alfworld-52,True,0.6666666666666666,1,0,53,53,False,1.0,0.004229740058362313,False,0.02177068214804064,0.10408524741666458,,,,,,False,0
alfworld-53,True,0.6666666666666666,1,0,54,54,False,1.0,0.003522065742274078,False,0.020964360587002098,0.10215820424246214,,,,,,False,0
alfworld-54,True,0.6666666666666666,1,0,55,55,False,1.0,0.002567599311093478,False,0.02154882154882155,0.10030115324720666,,,,,,False,0
alfworld-55,True,0.6666666666666666,1,0,56,56,False,1.0,0.006936212576782325,False,0.02142857142857143,0.0985103594695921,,,,,,False,0
alfworld-56,True,0.6666666666666666,1,0,57,57,False,1.0,0.0035094910554156742,False,0.021303258145363407,0.09678234744724952,,,,,,False,0
alfworld-57,False,0.5,1,0,58,58,False,1.0,0.0015768242346012424,False,0.0205686630369026,0.09511387930996663,,,,,,False,0
alfworld-58,False,0.5,1,0,59,59,False,1.0,0.0030714955054905856,False,0.020455873758036237,0.09350193501806442,,,,,,False,0
alfworld-59,True,0.6666666666666666,1,0,60,60,False,1.0,0.0029928485282948018,False,0.022033898305084745,0.09194369451039527,,,,,,False,0
alfworld-60,True,0.6666666666666666,1,0,61,61,False,1.0,0.0017018759211206477,False,0.022950819672131147,0.09043652155468966,,,,,,False,0
alfworld-61,True,0.6666666666666666,1,0,62,62,False,1.0,0.005690527997017599,False,0.023268112109994712,0.08897794911760767,,,,,,False,0
alfworld-62,True,0.6666666666666666,1,0,63,63,False,1.0,0.001850639373408969,False,0.02457757296466974,0.08756566609333942,,,,,,False,0
alfworld-63,True,0.6666666666666666,1,0,64,64,False,1.0,0.002709422745585858,False,0.0248015873015873,0.08619750524836903,,,,,,False,0
alfworld-64,True,0.6666666666666666,1,0,65,65,False,1.0,0.003527336860670194,False,0.02451923076923077,0.08487143225643369,,,,,,False,0
alfworld-65,True,0.6666666666666666,1,0,66,66,False,1.0,0.004952775860332977,False,0.02470862470862471,0.08358553571208481,,,,,,False,0
alfworld-66,True,0.6666666666666666,1,0,67,67,False,1.0,0.0021041280509287645,False,0.02532790592492085,0.0823380180238626,,,,,,False,0
alfworld-67,True,0.6666666666666666,1,0,68,68,False,1.0,0.002468069582955661,False,0.026777875329236173,0.08112718709916039,,,,,,False,0
alfworld-68,True,0.6666666666666666,1,0,69,69,False,1.0,0.0032177197351420626,False,0.026427962489343565,0.07995144874257952,,,,,,False,0
