task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,1.0,1,3,8,6,False,1.0,0.1111111111111111,False,0.06666666666666667,0.7478652332208116,,,,,,False,0
alfworld-5,True,1.0,1,3,12,8,False,1.0,0.06804138174397717,False,0.07142857142857142,0.7092251991967866,,,,,,False,0
alfworld-6,True,1.0,1,0,13,9,False,1.0,0.039283710065919304,False,0.05555555555555555,0.6272573168357928,,,,,,False,0
alfworld-7,True,1.0,1,3,17,10,False,1.0,0.043209876543209874,False,0.13333333333333333,0.5951673652444146,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,0,18,11,False,1.0,0.042163702135578386,False,0.10909090909090909,0.5338925683218162,,,,,,False,0
alfworld-9,True,1.0,1,3,22,11,False,1.0,0.017478918526247167,False,0.03636363636363636,0.49705607433656046,,,,,,False,0
alfworld-10,True,1.0,1,3,26,12,False,1.0,0.02412090756622109,False,0.030303030303030304,0.4714812734684291,,,,,,False,0
alfworld-11,True,1.0,1,0,27,13,False,1.0,0.035638905505532455,False,0.02564102564102564,0.4332457397744366,,,,,,False,0
alfworld-12,True,0.6666666666666666,1,3,31,15,False,1.0,0.02465334205445463,False,0.0380952380952381,0.4407500626875716,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,32,16,False,1.0,0.018256487153839675,False,0.03333333333333333,0.400802153821903,,,,,,False,0
alfworld-14,True,1.0,1,3,36,17,False,1.0,0.02777777777777778,False,0.029411764705882353,0.38706263186508827,,,,,,False,0
alfworld-15,True,1.0,1,0,37,18,False,1.0,0.008510021931099402,False,0.026143790849673203,0.3548500756266244,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,3,41,19,False,1.0,0.013413949778606592,False,0.023391812865497075,0.3452189477695016,,,,,,False,0
alfworld-17,True,1.0,1,0,42,20,False,1.0,0.010924558755741035,False,0.021052631578947368,0.3185093006299069,,,,,,False,0
alfworld-18,True,1.0,1,0,43,21,False,1.0,0.01656346649999844,False,0.023809523809523808,0.2959746281591095,,,,,,False,0
alfworld-19,True,0.6666666666666666,1,0,44,22,False,1.0,0.013638618139749524,False,0.025974025974025976,0.27676336974083415,,,,,,False,0
alfworld-20,True,1.0,1,0,45,23,False,1.0,0.023688968483956713,False,0.02766798418972332,0.2602210003004734,,,,,,False,0
alfworld-21,True,1.0,1,0,46,24,False,1.0,0.020594016203167878,False,0.03260869565217391,0.2458404798950993,,,,,,False,0
alfworld-22,True,0.6666666666666666,1,0,47,25,False,1.0,0.016711918323082112,False,0.03,0.2332260747919044,,,,,,False,0
alfworld-23,True,1.0,1,0,48,26,False,1.0,0.014444444444444446,False,0.027692307692307693,0.22206669216519004,,,,,,False,0
alfworld-24,True,1.0,1,0,49,27,False,1.0,0.009338863578008763,False,0.02564102564102564,0.21211605862438898,,,,,,False,0
alfworld-25,True,1.0,1,0,50,28,False,1.0,0.012635611951961508,False,0.023809523809523808,0.20317787111685506,,,,,,False,0
alfworld-26,True,1.0,1,3,54,28,False,1.0,0.008216618978461461,False,0.021164021164021163,0.2241361054576332,,,,,,False,0
alfworld-27,True,1.0,1,3,58,29,False,1.0,0.011629676092591607,False,0.017241379310344827,0.21791271291359485,,,,,,False,0
alfworld-28,True,1.0,1,0,59,30,False,1.0,0.005461627593442702,False,0.01839080459770115,0.20579811156404643,,,,,,False,0
alfworld-29,True,0.6666666666666666,1,0,60,31,False,1.0,0.018857427644935296,False,0.017204301075268817,0.19531604148018542,,,,,,False,0
alfworld-30,True,1.0,1,0,61,32,False,1.0,0.005663230244087498,False,0.016129032258064516,0.18616402317524247,,,,,,False,0
alfworld-31,True,1.0,1,0,62,33,False,1.0,0.009948472029680864,False,0.017045454545454544,0.1781025075299812,,,,,,False,0
alfworld-32,True,1.0,1,0,63,34,False,1.0,0.003626617832410372,False,0.0196078431372549,0.17094100011171318,,,,,,False,0
alfworld-33,True,0.6666666666666666,1,3,67,33,False,1.0,0.010331240068825832,False,0.017045454545454544,0.15971678246826754,,,,,,False,0
alfworld-34,True,0.6666666666666666,1,0,68,34,False,1.0,0.011185712832494638,False,0.016042780748663103,0.15633077566033582,,,,,,False,0
alfworld-35,True,1.0,1,0,69,35,False,1.0,0.015288633559215906,False,0.015126050420168067,0.1529073047232046,,,,,,False,0
alfworld-36,True,1.0,1,0,70,36,False,1.0,0.006330743481112483,False,0.015873015873015872,0.1494901929486217,,,,,,False,0
alfworld-37,True,1.0,1,3,74,36,False,1.0,0.011473429951690822,False,0.015873015873015872,0.14272389277295333,,,,,,False,0
alfworld-38,True,0.6666666666666666,1,3,78,37,False,1.0,0.005263157894736842,False,0.016516516516516516,0.1456204620151887,,,,,,False,0
alfworld-39,True,1.0,1,0,79,38,False,1.0,0.009506063891806374,False,0.017069701280227598,0.14240226762059435,,,,,,False,0
alfworld-40,True,0.6666666666666666,1,0,80,39,False,1.0,0.012849221475703963,False,0.017543859649122806,0.13924067694212353,,,,,,False,0
alfworld-41,True,0.6666666666666666,1,0,81,40,False,1.0,0.005645543884153714,False,0.019230769230769232,0.13615060868461498,,,,,,False,0
alfworld-42,True,1.0,1,0,82,41,False,1.0,0.0034479662961337462,False,0.018292682926829267,0.1331421369564687,,,,,,False,0
alfworld-43,True,1.0,1,0,83,42,False,1.0,0.004259284415143802,False,0.017421602787456445,0.13022166772209615,,,,,,False,0
alfworld-44,True,0.6666666666666666,1,0,84,43,False,1.0,0.010924130970767568,False,0.019933554817275746,0.12739284491650385,,,,,,False,0
alfworld-45,True,1.0,1,3,88,43,False,1.0,0.007011428521039295,False,0.019933554817275746,0.1380727380911937,,,,,,False,0
alfworld-46,True,1.0,1,0,89,44,False,1.0,0.005213626336157425,False,0.019027484143763214,0.13320247872701144,,,,,,False,0
alfworld-47,True,1.0,1,0,90,45,False,1.0,0.0033501260508640406,False,0.01919191919191919,0.12885569981513062,,,,,,False,0
alfworld-48,True,1.0,1,0,91,46,False,1.0,0.00525183084146292,False,0.021256038647342997,0.1249438171013359,,,,,,False,0
alfworld-49,True,1.0,1,3,95,45,False,1.0,0.002730406595461058,False,0.021212121212121213,0.11414684260554177,,,,,,False,0
alfworld-50,True,0.6666666666666666,1,3,99,45,False,1.0,0.00899904872834561,False,0.020202020202020204,0.10151194138222099,,,,,,False,0
alfworld-51,True,1.0,1,0,100,46,False,1.0,0.003822338423076563,False,0.01932367149758454,0.10304331890526777,,,,,,False,0
alfworld-52,True,0.6666666666666666,1,3,104,46,False,1.0,0.009607746516359211,False,0.01932367149758454,0.09869864512889326,,,,,,False,0
alfworld-53,True,1.0,1,0,105,47,False,1.0,0.0036137734351690473,False,0.018501387604070305,0.10036490081896046,,,,,,False,0
alfworld-54,True,1.0,1,0,106,48,False,1.0,0.008045311281658453,False,0.018617021276595744,0.10129325102114395,,,,,,False,0
alfworld-55,True,1.0,1,0,107,49,False,1.0,0.007792873351737906,False,0.01870748299319728,0.10164757520678358,,,,,,False,0
alfworld-56,True,1.0,1,0,108,50,False,1.0,0.004597701149425288,False,0.018775510204081632,0.1015575558816487,,,,,,False,0
alfworld-57,True,1.0,1,3,112,49,False,1.0,0.004459231953428678,False,0.017006802721088437,0.0877649891857553,,,,,,False,0
alfworld-58,True,1.0,1,0,113,50,False,1.0,0.003784295175023652,False,0.017142857142857144,0.09041877777613568,,,,,,False,0
alfworld-59,True,1.0,1,0,114,51,False,1.0,0.003061068316824881,False,0.01803921568627451,0.09218493531475125,,,,,,False,0
alfworld-60,True,0.6666666666666666,1,0,115,52,False,1.0,0.0020810956662836665,False,0.0196078431372549,0.09325397532975493,,,,,,False,0
alfworld-61,True,1.0,1,0,116,53,False,1.0,0.007800471509417285,False,0.019593613933236574,0.09377725787473173,,,,,,False,0
alfworld-62,True,0.6666666666666666,1,0,117,54,False,1.0,0.0022472075901626017,False,0.02166317260656883,0.09387502264726784,,,,,,False,0
alfworld-63,True,1.0,1,0,118,55,False,1.0,0.00464539554075346,False,0.02154882154882155,0.09364276129653364,,,,,,False,0
alfworld-64,True,0.6666666666666666,1,0,119,56,False,1.0,0.004255304851839003,False,0.02142857142857143,0.09315627618238745,,,,,,False,0
alfworld-65,True,1.0,1,0,120,57,False,1.0,0.005179481432411325,False,0.021929824561403508,0.09247569923778608,,,,,,False,0
alfworld-66,True,1.0,1,0,121,58,False,1.0,0.003784378163042982,False,0.02238354506957048,0.09164868682873854,,,,,,False,0
alfworld-67,False,0.3333333333333333,1,3,125,54,False,1.0,0.0029507063563982594,False,0.02166317260656883,0.07434423259178968,,,,,,False,0
alfworld-68,True,1.0,1,0,126,55,False,1.0,0.004054607478225828,False,0.02154882154882155,0.07794303845439188,,,,,,False,0
alfworld-69,True,0.6666666666666666,1,0,127,56,False,1.0,0.003210475535539248,False,0.022727272727272728,0.08053196323932624,,,,,,False,0
alfworld-70,True,1.0,1,0,128,57,False,1.0,0.000963103574459187,False,0.021929824561403508,0.08232111780610155,,,,,,False,0
