experiment,scheduler,rows,success_rate,avg_progress,min_progress,partial_rows,llm_calls,avg_calls_per_task,high_rows,high_row_rate,seed_success_std,seed_progress_std
main,adaptive,402,0.8855721393034826,0.8001658374792702,0.0,202,788,1.9601990049751243,193,0.48009950248756217,0.14071776740030795,0.11131358250996265
main,oracle_high,402,0.9228855721393034,0.8374792703150911,0.3333333333333333,170,1608,4.0,402,1.0,0.08406340919759106,0.10175889619187994
main,cheap_only,402,0.7736318407960199,0.7039800995024875,0.3333333333333333,289,402,1.0,0,0.0,0.1600954518378516,0.16014697918126436
main,fixed_low,402,0.8333333333333334,0.7172470978441129,0.3333333333333333,298,636,1.5820895522388059,78,0.19402985074626866,0.11883155136812126,0.14546508961584342
main,exp3,402,0.7935323383084577,0.6467661691542289,0.0,352,738,1.835820895522388,112,0.27860696517412936,0.0711460181396771,0.040123589011393714
reduced_prompt,adaptive,402,0.8905472636815921,0.7860696517412935,0.0,210,798,1.9850746268656716,198,0.4925373134328358,0.044914104689720895,0.05418661918107454
reduced_prompt,oracle_high,402,0.7985074626865671,0.7446102819237147,0.0,232,1608,4.0,402,1.0,0.14509120966584763,0.1353735721320945
reduced_prompt,cheap_only,402,0.818407960199005,0.7155887230514095,0.3333333333333333,294,402,1.0,0,0.0,0.12872984112373742,0.15540573463811588
reduced_prompt,fixed_low,402,0.8930348258706468,0.7806799336650084,0.3333333333333333,235,636,1.5820895522388059,78,0.19402985074626866,0.12099887071657024,0.11919695002576776
reduced_prompt,exp3,402,0.8383084577114428,0.7172470978441127,0.0,295,690,1.7164179104477613,96,0.23880597014925373,0.10418105269339265,0.12620684349349956
