category,prompt_mode,method,schedule,result_dir,seeds,rows,success_rate,avg_progress,min_progress,partial_rows,runtime_llm_calls
main,with_hints,adaptive,adaptive,rerun_tau995_b2_n2_main/adaptive,42 123 456,402,0.8856,0.8002,0.0000,202,788
main,with_hints,oracle_high,oracle_high,rerun_tau995_b2_n2_main/oracle_high,42 123 456,402,0.9229,0.8375,0.3333,170,1608
main,with_hints,cheap_only,cheap_only,rerun_tau995_b2_n2_main/cheap_only,42 123 456,402,0.7736,0.7040,0.3333,289,402
main,with_hints,fixed_low,fixed_low,rerun_tau995_b2_n2_main/fixed_low,42 123 456,402,0.8333,0.7172,0.3333,298,636
main,with_hints,exp3,exp3,rerun_tau995_b2_n2_main/exp3,42 123 456,402,0.7935,0.6468,0.0000,352,738
prompt_ablation,reduced,adaptive,adaptive,rerun_tau995_b2_n2_reduced/adaptive-ablation study,42 123 456,402,0.8905,0.7861,0.0000,210,798
prompt_ablation,reduced,oracle_high,oracle_high,rerun_tau995_b2_n2_reduced/oracle_high-ablation study,42 123 456,402,0.7985,0.7446,0.0000,232,1608
prompt_ablation,reduced,cheap_only,cheap_only,rerun_tau995_b2_n2_reduced/cheap_only-ablation study,42 123 456,402,0.8184,0.7156,0.3333,294,402
prompt_ablation,reduced,fixed_low,fixed_low,rerun_tau995_b2_n2_reduced/fixed_low-ablation study,42 123 456,402,0.8930,0.7807,0.3333,235,636
prompt_ablation,reduced,exp3,exp3,rerun_tau995_b2_n2_reduced/exp3-ablation study,42 123 456,402,0.8383,0.7172,0.0000,295,690
