task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,1.0,1,3,4,2,False,1.0,nan,True,1.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,3,8,3,False,1.0,0.35355339059327373,False,0.0,0.9395769176926606,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,3,12,5,False,1.0,0.1924500897298753,False,0.1,0.8615563104383206,,,,,,False,0
alfworld-3,True,1.0,1,3,16,6,False,1.0,0.08518354199999197,False,0.06666666666666667,0.7846970802072145,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,20,8,False,1.0,0.07560153527108575,False,0.07142857142857142,0.7318417235621096,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,3,24,9,False,1.0,0.04910463758239913,False,0.05555555555555555,0.6638577611832415,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,3,28,10,False,1.0,0.03968253968253968,False,0.044444444444444446,0.6072956129673982,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,3,32,11,False,1.0,0.043403811021918925,False,0.05454545454545454,0.5593986538526857,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,3,36,11,False,1.0,0.04760705440701531,False,0.03636363636363636,0.4909549260345311,,,,,,False,0
alfworld-9,True,1.0,1,3,40,12,False,1.0,0.0191435774335088,False,0.030303030303030304,0.4669023422031316,,,,,,False,0
alfworld-10,True,1.0,1,3,44,14,False,1.0,0.020918488014116877,False,0.04395604395604396,0.47051483392500876,,,,,,False,0
alfworld-11,True,1.0,1,3,48,15,False,1.0,0.023984983248550907,False,0.0380952380952381,0.43829458315433295,,,,,,False,0
alfworld-12,True,1.0,1,3,52,16,False,1.0,0.021516574145596757,False,0.03333333333333333,0.41024675368507657,,,,,,False,0
alfworld-13,True,1.0,1,3,56,17,False,1.0,0.01881720430107527,False,0.029411764705882353,0.3856103167294176,,,,,,False,0
alfworld-14,True,1.0,1,3,60,18,False,1.0,0.026948402781814776,False,0.026143790849673203,0.36379759289448754,,,,,,False,0
alfworld-15,True,1.0,1,3,64,19,False,1.0,0.008729713347982069,False,0.017543859649122806,0.34434790718391123,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,3,68,20,False,1.0,0.014086931027139754,False,0.015789473684210527,0.326895272647136,,,,,,False,0
alfworld-17,True,1.0,1,3,72,21,False,1.0,0.011180339887498949,False,0.014285714285714285,0.311145404855355,,,,,,False,0
alfworld-18,True,1.0,1,3,76,22,False,1.0,0.013855104141967771,False,0.017316017316017316,0.2968590814197984,,,,,,False,0
alfworld-19,True,0.6666666666666666,1,3,80,23,False,1.0,0.011306098594615704,False,0.019762845849802372,0.2838399022294411,,,,,,False,0
