task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
scienceworld-20,True,1.0,1,0,1,1,False,0.05,nan,True,0.0,1.0,,,,,,False,0
scienceworld-21,True,0.6,1,0,2,2,False,0.1,1.0,False,0.0,0.9093653765389909,,,,,,False,0
scienceworld-22,True,0.5,1,0,3,3,False,0.1,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
scienceworld-23,True,0.5,1,0,4,4,False,0.1,0.19245008972987523,False,0.16666666666666666,0.7594656088019118,,,,,,False,0
scienceworld-24,True,0.875,1,3,8,5,False,0.15,0.16666666666666666,False,0.0,0.7336921292493775,,,,,,False,0
scienceworld-25,True,0.8,1,3,12,7,False,0.2,0.07453559924999298,False,0.047619047619047616,0.7147830782198078,,,,,,False,0
scienceworld-26,True,0.75,1,0,13,8,False,0.2,0.03359684204526464,False,0.07142857142857142,0.6370630269285136,,,,,,False,0
scienceworld-27,True,0.875,1,3,17,9,False,0.2,0.039283710065919304,False,0.08333333333333333,0.611371632036325,,,,,,False,0
scienceworld-28,True,0.8,1,0,18,10,False,0.2,0.029239766081871343,False,0.1111111111111111,0.5504938810368536,,,,,,False,0
scienceworld-29,True,0.75,1,3,22,9,False,0.2,0.03353930851693735,False,0.16666666666666666,0.48307687252355347,,,,,,False,0
scienceworld-30,True,1.0,1,3,26,10,False,0.2,0.043478260869565216,False,0.1111111111111111,0.4740858271643904,,,,,,False,0
scienceworld-31,True,0.5714285714285714,1,0,27,11,False,0.25,0.028379414898946995,False,0.09090909090909091,0.443771496634454,,,,,,False,0
scienceworld-32,True,0.5714285714285714,1,3,31,12,False,0.25,0.038122124027073566,False,0.07575757575757576,0.44385858682826046,,,,,,False,0
scienceworld-33,True,0.9,1,0,32,13,False,0.3,0.02483226964256455,False,0.0641025641025641,0.41236985389602815,,,,,,False,0
scienceworld-34,True,1.0,1,3,36,14,False,0.35,0.019033830262630416,False,0.054945054945054944,0.40848131480819594,,,,,,False,0
scienceworld-35,True,1.0,1,0,37,15,False,0.35,0.00963103574459187,False,0.05714285714285714,0.3788071335251185,,,,,,False,0
scienceworld-36,True,1.0,1,3,41,15,False,0.35,0.012909944487358056,False,0.047619047619047616,0.34420432976142384,,,,,,False,0
scienceworld-37,True,0.9,1,0,42,16,False,0.35,0.016793423723392594,False,0.05,0.32669750323588054,,,,,,False,0
scienceworld-38,True,1.0,1,0,43,17,False,0.35,0.013257575757575758,False,0.051470588235294115,0.3105668638616554,,,,,,False,0
scienceworld-39,True,1.0,1,0,44,18,False,0.35,0.015480997342744657,False,0.058823529411764705,0.2957000510899357,,,,,,False,0
