task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,8,6,False,1.0,0.1111111111111111,False,0.06666666666666667,0.7478652332208116,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,0,9,7,False,1.0,0.06804138174397717,False,0.047619047619047616,0.6676859419391847,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,0,10,8,False,1.0,0.04199605255658081,False,0.03571428571428571,0.603323137305519,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,0,11,9,False,1.0,0.05237828008789241,False,0.05555555555555555,0.5501859613826829,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,0,12,10,False,1.0,0.06349206349206349,False,0.044444444444444446,0.5054087498461997,,,,,,False,0
alfworld-9,False,0.5,1,3,16,11,False,1.0,0.01756820922315766,False,0.03636363636363636,0.49705607433656046,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,0,17,12,False,1.0,0.022334173672426932,False,0.030303030303030304,0.4563755028915943,,,,,,False,0
alfworld-11,False,0.5,1,0,18,13,False,1.0,0.035282516450477135,False,0.02564102564102564,0.4218295315404102,,,,,,False,0
alfworld-12,True,0.6666666666666666,1,0,19,14,False,1.0,0.0224121291404133,False,0.02197802197802198,0.39212446645514004,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,20,15,False,1.0,0.0222717701593687,False,0.01904761904761905,0.3663080690730441,,,,,,False,0
alfworld-14,True,0.6666666666666666,1,3,24,14,False,1.0,0.026481937409965243,False,0.02197802197802198,0.37243176430884356,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,0,25,15,False,1.0,0.00913713647563844,False,0.01904761904761905,0.35125991627189157,,,,,,False,0
alfworld-16,True,0.6666666666666666,1,0,26,16,False,1.0,0.020491975376758818,False,0.016666666666666666,0.33211308978943244,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,0,27,17,False,1.0,0.014814814814814815,False,0.014705882352941176,0.31473995304504226,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,0,28,18,False,1.0,0.020211302086361082,False,0.0196078431372549,0.29892687440361304,,,,,,False,0
alfworld-19,False,0.3333333333333333,1,3,32,20,False,1.0,0.016945914146082836,False,0.031578947368421054,0.32026656249614566,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,0,33,21,False,1.0,0.02622548862499753,False,0.03333333333333333,0.297344841807777,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,0,34,22,False,1.0,0.019141920196139684,False,0.03896103896103896,0.2778342132454467,,,,,,False,0
alfworld-22,True,0.6666666666666666,1,0,35,23,False,1.0,0.0165822779387697,False,0.03557312252964427,0.2610596140046961,,,,,,False,0
alfworld-23,True,0.6666666666666666,1,0,36,24,False,1.0,0.01544551215237591,False,0.03260869565217391,0.24649847044013243,,,,,,False,0
alfworld-24,False,0.5,1,3,40,24,False,1.0,0.008247440211391172,False,0.025362318840579712,0.2544925915717334,,,,,,False,0
alfworld-25,False,0.5,1,0,41,25,False,1.0,0.017010345435994292,False,0.023333333333333334,0.24002647470428085,,,,,,False,0
alfworld-26,False,0.5,1,0,42,26,False,1.0,0.011267605633802818,False,0.021538461538461538,0.22742024653200865,,,,,,False,0
alfworld-27,False,0.5,1,0,43,27,False,1.0,0.013251090212039462,False,0.019943019943019943,0.216336840459875,,,,,,False,0
alfworld-28,False,0.5,1,0,44,28,False,1.0,0.009997407258694819,False,0.021164021164021163,0.20651013772578808,,,,,,False,0
alfworld-29,True,0.6666666666666666,1,3,48,24,False,1.0,0.02283535357764081,False,0.028985507246376812,0.14629930560539453,,,,,,False,0
alfworld-30,False,0.5,1,0,49,25,False,1.0,0.01919115895342946,False,0.02666666666666667,0.15498855102696685,,,,,,False,0
alfworld-31,True,0.6666666666666666,1,0,50,26,False,1.0,0.011522633744855968,False,0.027692307692307693,0.1604748972122825,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,0,51,27,False,1.0,0.011673579472510956,False,0.03133903133903134,0.16355663220603028,,,,,,False,0
alfworld-33,True,0.6666666666666666,1,0,52,28,False,1.0,0.012535063315739002,False,0.031746031746031744,0.16484067163347946,,,,,,False,0
alfworld-34,False,0.3333333333333333,1,3,56,27,False,1.0,0.011198947348421548,False,0.02849002849002849,0.1589390781836203,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,0,57,28,False,1.0,0.023521677633651417,False,0.026455026455026454,0.16119515720426728,,,,,,False,0
alfworld-36,True,0.6666666666666666,1,0,58,29,False,1.0,0.0067735568639646455,False,0.027093596059113302,0.16190731409001574,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,0,59,30,False,1.0,0.014829836034972893,False,0.02528735632183908,0.16147321395396017,,,,,,False,0
alfworld-38,False,0.3333333333333333,1,0,60,31,False,1.0,0.005532551085910769,False,0.025806451612903226,0.16019653489914312,,,,,,False,0
alfworld-39,True,0.6666666666666666,1,3,64,29,False,1.0,0.017021417512341413,False,0.027093596059113302,0.1366410844102526,,,,,,False,0
alfworld-40,False,0.3333333333333333,1,0,65,30,False,1.0,0.021426385174275215,False,0.027586206896551724,0.14147651600924493,,,,,,False,0
alfworld-41,False,0.3333333333333333,1,0,66,31,False,1.0,0.006825203208787115,False,0.02795698924731183,0.14435274951138538,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,0,67,32,False,1.0,0.010885169819804539,False,0.02620967741935484,0.14574272171269842,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,0,68,33,False,1.0,0.004171721422929484,False,0.02462121212121212,0.14601119835488224,,,,,,False,0
alfworld-44,True,0.6666666666666666,1,3,72,31,False,1.0,0.012005355583151576,False,0.025806451612903226,0.13584025303915936,,,,,,False,0
alfworld-45,False,0.5,1,0,73,32,False,1.0,0.010147192204902537,False,0.024193548387096774,0.13899107414814663,,,,,,False,0
alfworld-46,False,0.5,1,0,74,33,False,1.0,0.010713739108887085,False,0.022727272727272728,0.14065092538999244,,,,,,False,0
alfworld-47,True,0.6666666666666666,1,0,75,34,False,1.0,0.004679506880529511,False,0.023172905525846704,0.14118008400490872,,,,,,False,0
alfworld-48,True,0.6666666666666666,1,0,76,35,False,1.0,0.005851657760768018,False,0.02689075630252101,0.14085737716846733,,,,,,False,0
alfworld-49,True,0.6666666666666666,1,3,80,33,False,1.0,0.009535073643090955,False,0.032196969696969696,0.12121240119945971,,,,,,False,0
alfworld-50,False,0.3333333333333333,1,0,81,34,False,1.0,0.009373412243768345,False,0.03208556149732621,0.12573325226594106,,,,,,False,0
alfworld-51,False,0.5,1,0,82,35,False,1.0,0.004298210153947589,False,0.030252100840336135,0.12857191801993387,,,,,,False,0
alfworld-52,False,0.3333333333333333,1,0,83,36,False,1.0,0.012428739040125245,False,0.02857142857142857,0.13011951150777595,,,,,,False,0
alfworld-53,True,0.6666666666666666,1,0,84,37,False,1.0,0.0043964828137490015,False,0.02702702702702703,0.1306806065753627,,,,,,False,0
alfworld-54,True,0.6666666666666666,1,3,88,34,False,1.0,0.003087304925922203,False,0.0285204991087344,0.1045439127786233,,,,,,False,0
alfworld-55,True,0.6666666666666666,1,0,89,35,False,1.0,0.01190962396822978,False,0.02857142857142857,0.1117192216835622,,,,,,False,0
alfworld-56,True,0.6666666666666666,1,0,90,36,False,1.0,0.005366058760181057,False,0.02857142857142857,0.11670496354387254,,,,,,False,0
alfworld-57,False,0.5,1,0,91,37,False,1.0,0.006296296296296296,False,0.02702702702702703,0.11999453883372094,,,,,,False,0
alfworld-58,False,0.5,1,0,92,38,False,1.0,0.0075215222950163465,False,0.025604551920341393,0.12197366074603595,,,,,,False,0
alfworld-59,True,0.6666666666666666,1,3,96,35,False,1.0,0.003466269682281251,False,0.02857142857142857,0.08399272771423827,,,,,,False,0
alfworld-60,True,1.0,1,0,97,36,False,1.0,0.00534907756157289,False,0.02857142857142857,0.09463500062525905,,,,,,False,0
alfworld-61,True,0.6666666666666666,1,0,98,37,False,1.0,0.008281573498964802,False,0.028528528528528527,0.10241354248271164,,,,,,False,0
alfworld-62,False,0.3333333333333333,1,0,99,38,False,1.0,0.0033414428314097015,False,0.029871977240398292,0.10795835053166875,,,,,,False,0
alfworld-63,True,0.6666666666666666,1,0,100,39,False,1.0,0.0055045192798861544,False,0.029689608636977057,0.11176346723103323,,,,,,False,0
alfworld-64,True,0.6666666666666666,1,3,104,37,False,1.0,0.006279535443336749,False,0.028528528528528527,0.09546819547556236,,,,,,False,0
alfworld-65,True,0.6666666666666666,1,0,105,38,False,1.0,0.0035046295743390125,False,0.029871977240398292,0.10242162264047412,,,,,,False,0
alfworld-66,True,0.6666666666666666,1,0,106,39,False,1.0,0.004634897746593216,False,0.0310391363022942,0.1073466108965221,,,,,,False,0
alfworld-67,True,1.0,1,0,107,40,False,1.0,0.005397578218149005,False,0.03076923076923077,0.11069077229018667,,,,,,False,0
alfworld-68,True,0.6666666666666666,1,0,108,41,False,1.0,0.0046589726116661205,False,0.03048780487804878,0.11280579449358823,,,,,,False,0
