task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,3,4,2,False,1.0,nan,True,1.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,3,8,3,False,1.0,0.35355339059327373,False,0.0,0.9395769176926606,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,3,12,5,False,1.0,0.1924500897298753,False,0.1,0.8615563104383206,,,,,,False,0
alfworld-3,True,0.6666666666666666,1,3,16,6,False,1.0,0.08518354199999197,False,0.06666666666666667,0.7846970802072145,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,20,8,False,1.0,0.07560153527108575,False,0.07142857142857142,0.7318417235621096,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,3,24,9,False,1.0,0.04910463758239913,False,0.05555555555555555,0.6638577611832415,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,3,28,10,False,1.0,0.03968253968253968,False,0.044444444444444446,0.6072956129673982,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,3,32,11,False,1.0,0.043403811021918925,False,0.05454545454545454,0.5593986538526857,,,,,,False,0
alfworld-8,False,0.3333333333333333,1,3,36,11,False,1.0,0.04760705440701531,False,0.03636363636363636,0.4909549260345311,,,,,,False,0
alfworld-9,False,0.5,1,3,40,11,False,1.0,0.0191435774335088,False,0.03636363636363636,0.4349179412145089,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,3,44,11,False,1.0,0.022841768528618456,False,0.03636363636363636,0.3890387384325928,,,,,,False,0
alfworld-11,False,0.5,1,3,48,12,False,1.0,0.04606423319938056,False,0.030303030303030304,0.3904139182624741,,,,,,False,0
alfworld-12,False,0.3333333333333333,1,3,52,13,False,1.0,0.02590674284825244,False,0.05128205128205128,0.3859227555889193,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,3,56,13,False,1.0,0.028691389459925647,False,0.05128205128205128,0.3438544047627871,,,,,,False,0
alfworld-14,True,0.6666666666666666,1,3,60,14,False,1.0,0.03578710943388575,False,0.04395604395604396,0.345791680843575,,,,,,False,0
alfworld-15,True,1.0,1,3,64,15,False,1.0,0.018341457778303632,False,0.0380952380952381,0.3429875475089518,,,,,,False,0
alfworld-16,False,0.3333333333333333,1,3,68,16,False,1.0,0.019125843684974896,False,0.03333333333333333,0.3370928776842269,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,3,72,16,False,1.0,0.019736842105263157,False,0.03333333333333333,0.29864696146888337,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,3,76,17,False,1.0,0.01875,False,0.03676470588235294,0.2996148513887022,,,,,,False,0
alfworld-19,False,0.3333333333333333,1,3,80,18,False,1.0,0.019248859129867693,False,0.032679738562091505,0.2973019681336641,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,3,84,18,False,1.0,0.03035559414184674,False,0.032679738562091505,0.26355129169742075,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,3,88,19,False,1.0,0.015044825131628671,False,0.04093567251461988,0.2665929001258891,,,,,,False,0
alfworld-22,False,0.3333333333333333,1,3,92,20,False,1.0,0.010924558755741035,False,0.03684210526315789,0.26641787793714766,,,,,,False,0
alfworld-23,True,0.6666666666666666,1,3,96,20,False,1.0,0.027234161264420517,False,0.03684210526315789,0.2362514345291206,,,,,,False,0
alfworld-24,False,0.5,1,3,100,21,False,1.0,0.010841541709089889,False,0.03333333333333333,0.24046645452750606,,,,,,False,0
alfworld-25,False,0.5,1,3,104,21,False,1.0,0.01630363547740173,False,0.03333333333333333,0.21414101920739426,,,,,,False,0
alfworld-26,False,0.5,1,3,108,21,False,1.0,0.00727392967453308,False,0.03333333333333333,0.19258757572265342,,,,,,False,0
alfworld-27,False,0.5,1,3,112,21,False,1.0,0.01907915980205398,False,0.03333333333333333,0.17494110870696786,,,,,,False,0
alfworld-28,False,0.5,1,3,116,21,False,1.0,0.019321375697978493,False,0.03333333333333333,0.16049340347804986,,,,,,False,0
alfworld-29,True,0.6666666666666666,1,3,120,21,False,1.0,0.01763376890795898,False,0.03333333333333333,0.14866462289572913,,,,,,False,0
alfworld-30,False,0.5,1,3,124,22,False,1.0,0.01925451972670521,False,0.030303030303030304,0.1698777963077719,,,,,,False,0
alfworld-31,False,0.3333333333333333,1,3,128,22,False,1.0,0.014213381090374027,False,0.03463203463203463,0.15556319854974632,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,3,132,22,False,1.0,0.003948161413992786,False,0.03463203463203463,0.1438433971473096,,,,,,False,0
alfworld-33,True,0.6666666666666666,1,3,136,23,False,1.0,0.009735192527653444,False,0.03557312252964427,0.16400815348259487,,,,,,False,0
alfworld-34,False,0.3333333333333333,1,3,140,24,False,1.0,0.008230832133831899,False,0.03260869565217391,0.17790313267466265,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,3,144,24,False,1.0,0.01919115895342946,False,0.03260869565217391,0.16076053636649348,,,,,,False,0
alfworld-36,False,0.3333333333333333,1,3,148,25,False,1.0,0.009240187644243813,False,0.03,0.17360558108125787,,,,,,False,0
alfworld-37,True,0.6666666666666666,1,3,152,25,False,1.0,0.011244979919678716,False,0.03,0.15663776789096034,,,,,,False,0
alfworld-38,False,0.0,1,3,156,26,False,1.0,0.00784313725490196,False,0.027692307692307693,0.1687451226372123,,,,,,False,0
alfworld-39,True,0.6666666666666666,1,3,160,26,False,1.0,0.01337155466851255,False,0.03076923076923077,0.15210060955977187,,,,,,False,0
alfworld-40,False,0.3333333333333333,1,3,164,26,False,1.0,0.01867772715601753,False,0.03076923076923077,0.13847323483326274,,,,,,False,0
alfworld-41,False,0.3333333333333333,1,3,168,26,False,1.0,0.00904081474041274,False,0.027692307692307693,0.12731608406095207,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,3,172,26,False,1.0,0.01078301773955651,False,0.027692307692307693,0.11818138160693355,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,3,176,27,False,1.0,0.005883484054145522,False,0.02564102564102564,0.13692578768725502,,,,,,False,0
alfworld-44,True,0.6666666666666666,1,3,180,28,False,1.0,0.01806165890668732,False,0.0291005291005291,0.15028977804230487,,,,,,False,0
